date,Freiberg(Sachs).in,Freiberg(Sachs).out,Dresden_Hbf.in,Dresden_Hbf.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Elsterwerda.in,Elsterwerda.out,Riesa.in,Riesa.out,Doberlug-Kirchhain.in,Doberlug-Kirchhain.out,Flughafen_BER.in,Flughafen_BER.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Oranienburg.in,Oranienburg.out,Neustrelitz_Hbf.in,Neustrelitz_Hbf.out,Waren(Müritz).in,Waren(Müritz).out,Schwerin_Hbf.in,Schwerin_Hbf.out,Rostock_Hbf.in,Rostock_Hbf.out,Warnemünde.in,Warnemünde.out,Chemnitz_Hbf.in,Chemnitz_Hbf.out
2024-05-10,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,4.0,7.0,7.0,6.0,8.0,7.0,4.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0.0
2024-05-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
2024-05-08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,-1.0,0.0
2024-05-07,3.0,2.0,0.0,1.0,0.0,15.0,19.0,18.0,0.0,0.0,18.0,18.0,26.0,23.0,22.0,20.0,22.0,18.0,18.0,16.0,22.0,23.0,21.0,20.0,20.0,19.0,0.0,0.0,18.0,16.0,11.0,-1.0,-1.0,0.0
2024-05-06,35.0,35.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,2.0,6.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,36.0
2024-05-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,7.0,5.0,6.0,5.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
2024-04-15,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,4.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,26.0,24.0,20.0,-1.0,-1.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,26.0,26.0,19.0,-1.0,-1.0,0.0
2024-04-13,0.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,3.0,5.0,3.0,3.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,39.0,36.0,29.0,-1.0,-1.0,0.0
2024-04-12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,27.0,27.0,27.0,-1.0,-1.0,0.0
2024-04-11,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,30.0,29.0,28.0,-1.0,-1.0,1.0
2024-04-10,0.0,0.0,2.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0
2024-04-09,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,9.0,19.0,17.0,20.0,17.0,17.0,16.0,16.0,18.0,19.0,19.0,18.0,18.0,0.0,0.0,15.0,14.0,11.0,-1.0,-1.0,0.0
2024-04-08,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,10.0,9.0,10.0,8.0,6.0,5.0,6.0,6.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0
2024-04-07,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0,0.0
2024-04-06,-1.0,0.0,-1.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,-1.0,1.0
2024-04-05,0.0,0.0,0.0,1.0,1.0,0.0,10.0,9.0,0.0,0.0,10.0,10.0,11.0,10.0,12.0,11.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,-1.0,-1.0,0.0
2024-04-04,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,-1.0,-1.0,0.0
2024-04-03,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,6.0,5.0,6.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,0.0
2024-04-02,0.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,5.0,4.0,4.0,4.0,6.0,4.0,1.0,0.0,7.0,6.0,6.0,6.0,5.0,5.0,0.0,0.0,3.0,1.0,0.0,-1.0,-1.0,0.0
