date,Norddeich_Mole.in,Norddeich_Mole.out,Norddeich.in,Norddeich.out,Norden.in,Norden.out,Emden_Hbf.in,Emden_Hbf.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Papenburg(Ems).in,Papenburg(Ems).out,Papenburg.in,Papenburg.out,Meppen.in,Meppen.out,Lingen/ZOB.in,Lingen/ZOB.out,Lingen(Ems).in,Lingen(Ems).out,Rheine.in,Rheine.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Wanne-Eickel_Hbf.in,Wanne-Eickel_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Remagen.in,Remagen.out,Andernach.in,Andernach.out,Koblenz_Hbf.in,Koblenz_Hbf.out
2024-05-17,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,3.0,7.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,3.0,3.0,7.0,7.0,11.0,10.0,9.0,8.0,7.0,-1.0
2024-05-16,-1.0,1.0,0.0,0.0,0.0,2.0,8.0,13.0,11.0,11.0,10.0,11.0,10.0,10.0,12.0,12.0,11.0,11.0,11.0,10.0,12.0,12.0,13.0,12.0,11.0,10.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,5.0,4.0,10.0,23.0,27.0,26.0,25.0,25.0,26.0,-1.0
2024-05-15,-1.0,0.0,0.0,0.0,35.0,33.0,36.0,33.0,32.0,34.0,34.0,34.0,33.0,33.0,32.0,32.0,0.0,0.0,30.0,29.0,37.0,37.0,44.0,43.0,41.0,40.0,0.0,0.0,0.0,0.0,38.0,37.0,0.0,0.0,-1.0,-1.0,68.0,68.0,69.0,69.0,75.0,74.0,76.0,76.0,76.0,76.0,75.0,75.0,77.0,-1.0
2024-05-14,-1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,7.0,7.0,8.0,0.0,0.0,9.0,9.0,7.0,7.0,8.0,8.0,16.0,15.0,14.0,13.0,14.0,14.0,0.0,0.0,0.0,0.0,13.0,13.0,12.0,13.0,13.0,13.0,14.0,14.0,12.0,12.0,10.0,10.0,10.0,11.0,12.0,11.0,10.0,9.0,12.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,11.0,11.0,2.0,2.0,10.0,11.0,9.0,9.0,10.0,9.0,16.0,15.0,13.0,15.0,11.0,11.0,0.0,0.0,0.0,0.0,9.0,10.0,10.0,10.0,10.0,10.0,14.0,15.0,14.0,14.0,11.0,17.0,17.0,20.0,25.0,25.0,24.0,24.0,24.0,-1.0
2024-05-10,-1.0,1.0,2.0,0.0,0.0,12.0,18.0,15.0,13.0,13.0,20.0,21.0,0.0,0.0,18.0,18.0,17.0,17.0,17.0,16.0,18.0,17.0,15.0,14.0,12.0,11.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,13.0,13.0,13.0,20.0,26.0,25.0,25.0,30.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-09,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,3.0,2.0,5.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,6.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,5.0,6.0,5.0,5.0,4.0,3.0,3.0,-1.0
2024-05-07,-1.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,10.0,9.0,7.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,4.0,4.0,14.0,15.0,14.0,14.0,16.0,16.0,19.0,19.0,22.0,22.0,24.0,24.0,23.0,23.0,24.0,-1.0
2024-05-06,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,13.0,10.0,9.0,0.0,0.0,0.0,0.0,7.0,6.0,6.0,6.0,6.0,6.0,9.0,8.0,11.0,10.0,8.0,9.0,12.0,12.0,12.0,11.0,9.0,8.0,13.0,-1.0
