date,Emden_Hbf.in,Emden_Hbf.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Papenburg.in,Papenburg.out,Papenburg(Ems).in,Papenburg(Ems).out,Meppen.in,Meppen.out,Lingen(Ems).in,Lingen(Ems).out,Lingen/ZOB.in,Lingen/ZOB.out,Rheine.in,Rheine.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Wanne-Eickel_Hbf.in,Wanne-Eickel_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Bonn-Beuel.in,Bonn-Beuel.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Bingen(Rhein)_Hbf.in,Bingen(Rhein)_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Worms_Hbf.in,Worms_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out,Baden-Baden.in,Baden-Baden.out,Offenburg.in,Offenburg.out,Hausach.in,Hausach.out,Hornberg(Schwarzw).in,Hornberg(Schwarzw).out,Triberg.in,Triberg.out,St_Georgen(Schwarzw).in,St_Georgen(Schwarzw).out,Villingen(Schwarzw).in,Villingen(Schwarzw).out,Triberg_im_Schwarzwald.in,Triberg_im_Schwarzwald.out,St._Georgen_im_Schwarzwald.in,St._Georgen_im_Schwarzwald.out,Donaueschingen.in,Donaueschingen.out,Immendingen.in,Immendingen.out,Singen(Hohentwiel).in,Singen(Hohentwiel).out,Radolfzell.in,Radolfzell.out,Konstanz.in,Konstanz.out,Remagen.in,Remagen.out,Andernach.in,Andernach.out,Koblenz_Hbf.in,Koblenz_Hbf.out
2024-05-20,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,-1.0,0.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,4.0,3.0,2.0,1.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,8.0,7.0,7.0,6.0,3.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,12.0,11.0,12.0,-1.0
2024-05-13,-1.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,3.0,-1.0,-1.0,31.0,30.0,30.0,33.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,42.0,42.0,42.0,52.0,52.0,61.0,60.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,61.0,60.0,63.0,-1.0
2024-05-12,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-11,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,5.0,6.0,0.0,0.0,2.0,1.0,0.0,3.0,5.0,7.0,7.0,6.0,16.0,15.0,17.0,16.0,15.0,15.0,16.0,16.0,15.0,15.0,13.0,13.0,0.0,0.0,14.0,14.0,18.0,17.0,17.0,16.0,12.0,9.0,17.0,17.0,14.0,-1.0,8.0,8.0,6.0,5.0,3.0,3.0
2024-05-10,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0
2024-05-09,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,7.0,9.0,8.0,7.0,8.0,8.0,7.0,5.0,5.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,7.0,6.0,9.0,9.0,10.0,9.0,13.0,12.0,8.0,10.0,8.0,7.0,5.0,4.0,1.0,1.0,0.0,1.0,5.0,7.0,6.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,1.0,5.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,-1.0,12.0,12.0,12.0,11.0,8.0,8.0
2024-05-08,-1.0,0.0,0.0,1.0,0.0,0.0,6.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,6.0,7.0,7.0,8.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,8.0,8.0,6.0,5.0,12.0,12.0
2024-05-07,-1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,6.0,6.0,17.0,15.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,25.0,23.0,22.0,22.0,-1.0
2024-05-06,-1.0,10.0,9.0,9.0,7.0,7.0,8.0,8.0,9.0,9.0,8.0,7.0,8.0,8.0,7.0,6.0,13.0,11.0,10.0,11.0,11.0,10.0,9.0,10.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,10.0,11.0,14.0,14.0,15.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
