date,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bünde(Westf).in,Bünde(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Berlin-Lichtenberg.in,Berlin-Lichtenberg.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-30,-1.0,2.0,0.0,0.0,6.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,10.0,-1.0
2024-05-28,-1.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0
2024-05-27,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,34.0,33.0,34.0,-1.0
2024-05-25,-1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,-1.0
2024-05-24,-1.0,0.0,0.0,0.0,7.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,4.0,4.0,-1.0
2024-05-23,-1.0,2.0,0.0,1.0,14.0,15.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-22,-1.0,0.0,0.0,0.0,19.0,19.0,20.0,20.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,-1.0
2024-05-21,-1.0,0.0,0.0,0.0,14.0,15.0,13.0,12.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,4.0,-1.0
2024-05-20,-1.0,2.0,0.0,1.0,12.0,12.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-19,-1.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-18,-1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.0
2024-05-17,-1.0,0.0,0.0,0.0,3.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-16,-1.0,0.0,0.0,0.0,1.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,-1.0
