date,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-30,-1.0,5.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-29,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,14.0,15.0,13.0,14.0,11.0,11.0,7.0,5.0,9.0,8.0,12.0,-1.0
2024-05-28,-1.0,6.0,3.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,12.0,15.0,56.0,56.0,51.0,51.0,52.0,52.0,44.0,45.0,44.0,43.0,46.0,-1.0
2024-05-27,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,9.0,13.0,14.0,23.0,21.0,21.0,20.0,20.0,17.0,16.0,12.0,12.0,10.0,-1.0
2024-05-26,-1.0,6.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,5.0,2.0,1.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,17.0,-1.0,-1.0
2024-05-24,0.0,0.0,5.0,6.0,4.0,5.0,4.0,6.0,3.0,4.0,1.0,1.0,2.0,14.0,14.0,15.0,18.0,19.0,18.0,19.0,13.0,12.0,12.0,11.0,12.0,-1.0
2024-05-23,-1.0,3.0,0.0,1.0,6.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,54.0,53.0,54.0,55.0,50.0,51.0,44.0,44.0,44.0,44.0,44.0,-1.0
2024-05-22,-1.0,9.0,6.0,7.0,5.0,6.0,4.0,6.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,170.0,181.0,178.0,178.0,198.0,197.0,194.0,193.0,194.0,-1.0
2024-05-21,-1.0,4.0,-1.0,3.0,1.0,3.0,0.0,2.0,0.0,0.0,3.0,3.0,11.0,15.0,18.0,18.0,17.0,16.0,12.0,13.0,11.0,11.0,11.0,11.0,12.0,-1.0
2024-05-20,-1.0,5.0,3.0,3.0,2.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,6.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-1.0
2024-05-19,-1.0,4.0,1.0,4.0,5.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,8.0,8.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
2024-05-18,-1.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,5.0,7.0,7.0,16.0,17.0,19.0,19.0,12.0,12.0,9.0,8.0,8.0,-1.0
2024-05-17,-1.0,6.0,3.0,4.0,3.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,17.0,13.0,15.0,14.0,11.0,11.0,7.0,6.0,2.0,2.0,1.0,1.0,1.0,-1.0
2024-05-16,-1.0,7.0,5.0,5.0,5.0,6.0,4.0,5.0,3.0,4.0,2.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,14.0,13.0,12.0,12.0,11.0,-1.0
2024-05-15,-1.0,6.0,5.0,7.0,6.0,8.0,7.0,7.0,6.0,6.0,9.0,8.0,8.0,10.0,18.0,18.0,21.0,21.0,19.0,19.0,12.0,11.0,9.0,8.0,8.0,-1.0
2024-05-14,-1.0,3.0,1.0,6.0,5.0,6.0,5.0,6.0,4.0,4.0,3.0,3.0,5.0,10.0,14.0,15.0,19.0,21.0,20.0,21.0,16.0,14.0,12.0,12.0,10.0,-1.0
2024-05-13,-1.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,7.0,10.0,13.0,13.0,23.0,25.0,23.0,24.0,21.0,20.0,20.0,19.0,20.0,-1.0
2024-05-12,-1.0,5.0,2.0,8.0,10.0,13.0,12.0,15.0,13.0,14.0,11.0,10.0,10.0,19.0,20.0,23.0,27.0,31.0,28.0,29.0,21.0,21.0,17.0,17.0,17.0,-1.0
2024-05-11,-1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,5.0,1.0,6.0,2.0,2.0,23.0,22.0,21.0,20.0,21.0,-1.0
2024-05-10,-1.0,6.0,4.0,5.0,8.0,9.0,8.0,9.0,7.0,8.0,6.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,13.0,-1.0
2024-05-09,-1.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,5.0,5.0,21.0,21.0,-1.0,-1.0,71.0,74.0,-1.0,-1.0,-1.0,72.0,132.0,131.0,144.0,-1.0
2024-05-08,-1.0,9.0,6.0,7.0,6.0,8.0,7.0,9.0,7.0,8.0,7.0,5.0,8.0,10.0,11.0,11.0,9.0,10.0,6.0,6.0,1.0,1.0,2.0,2.0,3.0,-1.0
2024-05-07,-1.0,4.0,2.0,3.0,5.0,8.0,7.0,8.0,6.0,6.0,8.0,8.0,13.0,17.0,18.0,17.0,12.0,14.0,11.0,11.0,4.0,4.0,2.0,2.0,1.0,-1.0
2024-05-06,-1.0,3.0,-1.0,13.0,13.0,14.0,13.0,15.0,12.0,13.0,11.0,10.0,26.0,28.0,29.0,28.0,31.0,30.0,34.0,34.0,29.0,28.0,24.0,23.0,24.0,-1.0
2024-05-04,-1.0,2.0,0.0,2.0,10.0,10.0,11.0,11.0,18.0,20.0,19.0,18.0,31.0,43.0,48.0,48.0,44.0,44.0,42.0,44.0,40.0,40.0,38.0,38.0,35.0,-1.0
2024-05-03,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11.0,19.0,21.0,21.0,17.0,17.0,16.0,16.0,10.0,9.0,14.0,14.0,14.0,-1.0
2024-05-02,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,13.0,19.0,69.0,71.0,73.0,70.0,70.0,64.0,63.0,61.0,61.0,60.0,-1.0
2024-05-01,-1.0,30.0,-1.0,27.0,26.0,0.0,34.0,35.0,29.0,29.0,31.0,0.0,30.0,33.0,34.0,37.0,46.0,47.0,46.0,46.0,45.0,42.0,45.0,43.0,44.0,-1.0
2024-04-30,-1.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,36.0,36.0,39.0,37.0,38.0,35.0,35.0,30.0,29.0,31.0,24.0,31.0,-1.0
2024-04-29,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,16.0,17.0,16.0,23.0,26.0,24.0,25.0,27.0,26.0,31.0,30.0,32.0,-1.0
2024-04-28,-1.0,1.0,0.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,8.0,10.0,15.0,19.0,25.0,27.0,25.0,28.0,30.0,30.0,23.0,25.0,22.0,21.0,20.0,-1.0
2024-04-27,-1.0,5.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,19.0,22.0,21.0,18.0,19.0,16.0,17.0,8.0,9.0,4.0,5.0,2.0,-1.0
2024-04-26,-1.0,2.0,1.0,2.0,10.0,11.0,12.0,13.0,13.0,15.0,14.0,12.0,19.0,23.0,25.0,24.0,24.0,23.0,24.0,24.0,18.0,16.0,14.0,14.0,13.0,-1.0
2024-04-25,-1.0,9.0,6.0,8.0,8.0,8.0,6.0,7.0,4.0,5.0,2.0,3.0,5.0,21.0,21.0,22.0,21.0,20.0,18.0,18.0,13.0,13.0,10.0,10.0,9.0,-1.0
2024-04-24,-1.0,8.0,5.0,6.0,6.0,7.0,6.0,7.0,4.0,5.0,3.0,2.0,2.0,4.0,5.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-04-23,-1.0,15.0,13.0,15.0,16.0,17.0,15.0,17.0,15.0,15.0,14.0,13.0,11.0,12.0,13.0,12.0,7.0,8.0,5.0,4.0,1.0,1.0,1.0,2.0,12.0,-1.0
