date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Lüneburg.in,Lüneburg.out,Uelzen.in,Uelzen.out,Celle.in,Celle.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Steinach(b_Rothenburg_ob_der_Tauber).in,Steinach(b_Rothenburg_ob_der_Tauber).out,Ansbach.in,Ansbach.out,Treuchtlingen.in,Treuchtlingen.out,Donauwörth.in,Donauwörth.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Buchloe.in,Buchloe.out,Kaufbeuren.in,Kaufbeuren.out,Kempten(Allgäu)Hbf.in,Kempten(Allgäu)Hbf.out,Immenstadt.in,Immenstadt.out,Sonthofen.in,Sonthofen.out,Fischen.in,Fischen.out,Oberstdorf_Busbahnhof.in,Oberstdorf_Busbahnhof.out,Oberstdorf.in,Oberstdorf.out
2024-05-17,-1.0,3.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,12.0,13.0,11.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,1.0,4.0,5.0,4.0,7.0,5.0,5.0,-1.0,5.0,-1.0
2024-05-16,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,6.0,9.0,7.0,7.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,8.0,7.0,-1.0,7.0,-1.0
2024-05-15,-1.0,-1.0,0.0,-1.0,0.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,6.0,8.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,3.0,5.0,4.0,4.0,-1.0,5.0,-1.0
2024-05-14,-1.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,15.0,47.0,52.0,50.0,50.0,51.0,47.0,45.0,41.0,41.0,41.0,40.0,38.0,38.0,36.0,37.0,34.0,34.0,34.0,37.0,33.0,34.0,32.0,32.0,27.0,28.0,25.0,26.0,27.0,26.0,29.0,28.0,30.0,-1.0,32.0,-1.0
2024-05-13,-1.0,-1.0,0.0,-1.0,0.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.0,36.0,36.0,34.0,34.0,30.0,30.0,28.0,24.0,36.0,34.0,36.0,35.0,33.0,-1.0,33.0,-1.0
2024-05-11,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,13.0,-1.0,-1.0,-1.0,-1.0,19.0,20.0,15.0,19.0,15.0,9.0,8.0,8.0,6.0,6.0,1.0,2.0,0.0,1.0,3.0,2.0,6.0,5.0,4.0,-1.0,6.0,-1.0
2024-05-10,-1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,6.0,7.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,-1.0,2.0,-1.0
2024-05-09,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,-1.0,0.0,-1.0
2024-05-08,-1.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,8.0,6.0,6.0,2.0,6.0,5.0,4.0,4.0,6.0,7.0,8.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,6.0,8.0,10.0,9.0,0.0,0.0,9.0,-1.0
2024-05-07,-1.0,1.0,0.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,2.0,2.0,-1.0,2.0,-1.0
