date,Hamburg_Hbf.in,Hamburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Leipzig_Hbf.in,Leipzig_Hbf.out
2024-05-30,-1.0,7.0,6.0,6.0,0.0,0.0,4.0,2.0,0.0,-1.0
2024-05-27,-1.0,23.0,20.0,20.0,7.0,7.0,11.0,12.0,4.0,-1.0
2024-05-26,-1.0,2.0,1.0,1.0,9.0,10.0,11.0,9.0,4.0,-1.0
2024-05-25,-1.0,0.0,0.0,0.0,-1.0,1.0,4.0,4.0,0.0,-1.0
2024-05-24,-1.0,8.0,8.0,8.0,4.0,4.0,16.0,15.0,9.0,-1.0
2024-05-23,-1.0,7.0,6.0,6.0,28.0,28.0,33.0,34.0,26.0,-1.0
2024-05-19,-1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,-1.0
2024-05-18,-1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,-1.0
2024-05-17,-1.0,12.0,8.0,8.0,6.0,4.0,13.0,12.0,6.0,-1.0
2024-05-16,-1.0,25.0,0.0,0.0,23.0,23.0,24.0,23.0,18.0,-1.0
2024-05-13,-1.0,6.0,2.0,2.0,4.0,4.0,6.0,5.0,0.0,-1.0
2024-05-12,-1.0,2.0,0.0,0.0,0.0,4.0,5.0,8.0,0.0,-1.0
2024-05-11,-1.0,3.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,-1.0
2024-05-10,-1.0,4.0,3.0,3.0,4.0,4.0,6.0,12.0,0.0,-1.0
2024-05-09,-1.0,0.0,0.0,0.0,4.0,4.0,7.0,5.0,0.0,-1.0
2024-05-06,-1.0,23.0,10.0,10.0,32.0,33.0,36.0,36.0,29.0,-1.0
2024-05-05,-1.0,9.0,7.0,7.0,0.0,1.0,3.0,2.0,0.0,-1.0
2024-05-04,-1.0,3.0,4.0,4.0,0.0,1.0,2.0,1.0,0.0,-1.0
2024-05-03,-1.0,3.0,3.0,3.0,0.0,0.0,6.0,4.0,0.0,-1.0
2024-05-02,-1.0,1.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,-1.0
2024-04-28,-1.0,3.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,-1.0
2024-04-27,-1.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,-1.0
2024-04-26,-1.0,0.0,0.0,0.0,0.0,0.0,80.0,78.0,73.0,-1.0
2024-04-20,-1.0,50.0,0.0,0.0,36.0,37.0,39.0,38.0,32.0,-1.0
2024-04-19,-1.0,12.0,11.0,11.0,-1.0,0.0,1.0,1.0,0.0,-1.0
2024-04-18,-1.0,15.0,16.0,16.0,0.0,1.0,1.0,-1.0,0.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,-1.0
2024-04-13,-1.0,0.0,0.0,0.0,44.0,43.0,45.0,42.0,38.0,-1.0
2024-04-12,-1.0,0.0,0.0,0.0,36.0,36.0,36.0,35.0,29.0,-1.0
2024-04-11,-1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
2024-04-07,-1.0,14.0,14.0,14.0,0.0,0.0,1.0,2.0,0.0,-1.0
2024-04-06,-1.0,10.0,9.0,9.0,1.0,1.0,1.0,0.0,0.0,-1.0
2024-04-05,-1.0,6.0,0.0,0.0,2.0,7.0,7.0,5.0,0.0,-1.0
2024-04-01,-1.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,-1.0
