date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-04-29,-1.0,1.0,-1.0,2.0,-1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,20.0,21.0,21.0,31.0,0.0,0.0,0.0,0.0,21.0,21.0,24.0,23.0,25.0,-1.0
2024-04-28,-1.0,10.0,-1.0,8.0,8.0,11.0,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,9.0,11.0,19.0,19.0,23.0,-1.0
2024-04-27,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,11.0,9.0,15.0,14.0,17.0,-1.0
2024-04-26,-1.0,1.0,-1.0,2.0,-1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,7.0,9.0,9.0,5.0,-1.0
2024-04-25,-1.0,1.0,-1.0,6.0,4.0,6.0,2.0,2.0,3.0,4.0,0.0,0.0,5.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,10.0,10.0,23.0,22.0,20.0,-1.0
2024-04-23,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,4.0,9.0,0.0,0.0,0.0,0.0,10.0,10.0,13.0,12.0,14.0,-1.0
2024-04-22,-1.0,5.0,5.0,3.0,3.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,8.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,19.0,19.0,26.0,26.0,26.0,-1.0
2024-04-21,-1.0,1.0,1.0,2.0,0.0,3.0,7.0,8.0,4.0,7.0,0.0,0.0,10.0,11.0,13.0,14.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,9.0,-1.0
2024-04-20,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,3.0,-1.0
2024-04-19,-1.0,4.0,4.0,5.0,3.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,6.0,4.0,-1.0
2024-04-18,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,7.0,12.0,-1.0
2024-04-17,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5.0,3.0,-1.0
2024-04-16,-1.0,0.0,-1.0,1.0,-1.0,44.0,58.0,80.0,76.0,75.0,0.0,0.0,76.0,77.0,76.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-15,-1.0,0.0,-1.0,1.0,-1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,6.0,6.0,5.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-14,-1.0,1.0,1.0,14.0,14.0,13.0,14.0,15.0,10.0,12.0,0.0,0.0,17.0,17.0,17.0,21.0,0.0,0.0,0.0,0.0,22.0,20.0,23.0,23.0,22.0,-1.0
2024-04-13,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,7.0,4.0,-1.0
2024-04-12,-1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,10.0,11.0,-1.0
2024-04-11,-1.0,7.0,7.0,6.0,6.0,5.0,2.0,4.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,24.0,24.0,30.0,-1.0
2024-04-10,-1.0,0.0,-1.0,1.0,0.0,2.0,7.0,9.0,15.0,15.0,0.0,0.0,26.0,26.0,27.0,26.0,0.0,0.0,0.0,0.0,38.0,38.0,39.0,39.0,42.0,-1.0
2024-04-08,-1.0,0.0,-1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,6.0,0.0,0.0,24.0,24.0,-1.0,-1.0,-1.0,-1.0,27.0,-1.0
2024-04-07,-1.0,0.0,-1.0,2.0,-1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,9.0,6.0,6.0,7.0,18.0,18.0,4.0,-1.0
2024-04-06,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,13.0,14.0,17.0,0.0,0.0,12.0,8.0,16.0,16.0,16.0,16.0,6.0,-1.0
2024-04-05,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,7.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,1.0,-1.0
2024-04-04,-1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,11.0,0.0,0.0,4.0,7.0,12.0,12.0,12.0,12.0,2.0,-1.0
2024-04-03,-1.0,3.0,-1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,10.0,0.0,0.0,4.0,4.0,12.0,11.0,14.0,13.0,1.0,-1.0
2024-04-02,-1.0,4.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,-1.0,-1.0,41.0,44.0,0.0,0.0,36.0,32.0,43.0,43.0,45.0,45.0,28.0,-1.0
2024-04-01,-1.0,2.0,2.0,5.0,5.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,7.0,17.0,23.0,0.0,0.0,15.0,11.0,22.0,21.0,24.0,23.0,9.0,-1.0
