date,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-05-30,-1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-1.0
2024-05-29,-1.0,1.0,10.0,9.0,4.0,4.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,-1.0
2024-05-28,-1.0,1.0,0.0,0.0,0.0,0.0,11.0,13.0,18.0,18.0,20.0,20.0,21.0,20.0,0.0,0.0,25.0,24.0,25.0,19.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,-1.0
2024-05-27,-1.0,0.0,0.0,1.0,0.0,0.0,16.0,16.0,16.0,15.0,9.0,9.0,4.0,6.0,0.0,0.0,9.0,8.0,14.0,8.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-1.0
2024-05-26,-1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,30.0,-1.0
2024-05-24,-1.0,1.0,0.0,1.0,0.0,5.0,4.0,5.0,4.0,4.0,7.0,7.0,24.0,24.0,0.0,0.0,31.0,31.0,34.0,34.0,0.0,0.0,35.0,35.0,34.0,35.0,33.0,33.0,33.0,33.0,37.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,0.0,5.0,5.0,8.0,8.0,8.0,8.0,6.0,6.0,7.0,-1.0
2024-05-22,-1.0,0.0,2.0,1.0,4.0,5.0,2.0,3.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,2.0,2.0,5.0,5.0,3.0,-1.0
2024-05-21,-1.0,0.0,0.0,0.0,0.0,-1.0,4.0,8.0,8.0,10.0,5.0,7.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,6.0,6.0,2.0,4.0,8.0,-1.0
2024-05-20,-1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,9.0,7.0,7.0,8.0,0.0,0.0,17.0,17.0,18.0,17.0,0.0,0.0,22.0,21.0,19.0,19.0,18.0,20.0,18.0,18.0,20.0,-1.0
2024-05-19,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,-1.0
2024-05-18,-1.0,1.0,2.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,-1.0
2024-05-17,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,4.0,0.0,1.0,0.0,0.0,4.0,4.0,8.0,8.0,0.0,0.0,15.0,15.0,14.0,13.0,14.0,15.0,16.0,16.0,16.0,-1.0
