date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Bingen(Rhein)_Hbf.in,Bingen(Rhein)_Hbf.out,Bingen_Hbf.in,Bingen_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Andernach.in,Andernach.out,Remagen.in,Remagen.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Berlin_Zoologischer_Garten.in,Berlin_Zoologischer_Garten.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-15,-1.0,1.0,3.0,3.0,5.0,5.0,14.0,14.0,17.0,17.0,0.0,0.0,16.0,15.0,0.0,0.0,0.0,0.0,18.0,17.0,17.0,17.0,15.0,16.0,18.0,19.0,18.0,17.0,21.0,21.0,0.0,0.0,22.0,21.0,13.0,13.0,31.0,32.0,60.0,59.0,58.0,-1.0
2024-05-14,-1.0,3.0,3.0,3.0,4.0,5.0,9.0,10.0,11.0,11.0,-1.0,0.0,12.0,25.0,-1.0,-1.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.0,-1.0,65.0,-1.0,-1.0
2024-05-13,-1.0,1.0,2.0,2.0,8.0,9.0,7.0,9.0,9.0,10.0,-1.0,0.0,9.0,9.0,9.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,19.0,21.0,0.0,0.0,-1.0,-1.0,73.0,74.0,66.0,65.0,106.0,105.0,69.0,-1.0
2024-05-12,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,26.0,29.0,30.0,0.0,0.0,29.0,29.0,29.0,29.0,24.0,23.0,28.0,26.0,25.0,-1.0
2024-05-11,-1.0,1.0,0.0,0.0,2.0,4.0,3.0,3.0,2.0,1.0,-1.0,0.0,0.0,0.0,44.0,43.0,30.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,40.0,39.0,39.0,0.0,0.0,40.0,39.0,35.0,36.0,32.0,33.0,34.0,33.0,-1.0,-1.0
2024-05-10,-1.0,2.0,0.0,0.0,4.0,5.0,5.0,6.0,7.0,7.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,3.0,3.0,7.0,6.0,7.0,7.0,0.0,0.0,6.0,5.0,5.0,5.0,0.0,-1.0,3.0,2.0,0.0,-1.0
2024-05-09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,14.0,27.0,26.0,14.0,14.0,15.0,14.0,11.0,-1.0
2024-05-08,-1.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,16.0,17.0,14.0,13.0,18.0,16.0,0.0,0.0,10.0,11.0,36.0,35.0,5.0,4.0,31.0,28.0,36.0,-1.0
2024-05-07,-1.0,2.0,3.0,2.0,3.0,4.0,8.0,9.0,11.0,10.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,9.0,8.0,8.0,9.0,7.0,7.0,7.0,9.0,6.0,6.0,6.0,6.0,0.0,0.0,9.0,9.0,9.0,8.0,1.0,7.0,46.0,45.0,42.0,-1.0
2024-05-06,-1.0,1.0,2.0,2.0,2.0,4.0,14.0,14.0,14.0,13.0,0.0,0.0,13.0,12.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.0,38.0,37.0,37.0,37.0,37.0,0.0,0.0,29.0,30.0,43.0,52.0,25.0,26.0,56.0,48.0,54.0,-1.0
