date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Büchen.in,Büchen.out,Ludwigslust.in,Ludwigslust.out,Wittenberge.in,Wittenberge.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Lutherstadt_Wittenberg_Hbf.in,Lutherstadt_Wittenberg_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Bamberg.in,Bamberg.out,Erlangen.in,Erlangen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-09,-1.0,1.0,5.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
2024-05-06,-1.0,1.0,3.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,-1.0,-1.0,146.0,147.0,146.0,-1.0
2024-05-05,-1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,3.0,5.0,5.0,5.0,4.0,2.0,-1.0
2024-05-04,-1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,8.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,-1.0
2024-05-03,-1.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,12.0,13.0,-1.0
2024-05-02,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,7.0,-1.0
2024-05-01,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,5.0,5.0,6.0,6.0,3.0,-1.0
2024-04-30,-1.0,0.0,6.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,13.0,9.0,9.0,8.0,8.0,9.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,-1.0
2024-04-29,-1.0,1.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,-1.0
2024-04-28,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,-1.0
2024-04-27,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,3.0,3.0,3.0,3.0,8.0,6.0,8.0,-1.0
2024-04-26,-1.0,10.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,18.0,16.0,13.0,13.0,13.0,12.0,13.0,13.0,11.0,9.0,8.0,4.0,4.0,5.0,4.0,4.0,3.0,0.0,-1.0
2024-04-25,-1.0,0.0,-1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,14.0,9.0,9.0,8.0,8.0,9.0,4.0,3.0,1.0,1.0,3.0,3.0,5.0,6.0,5.0,3.0,6.0,-1.0
2024-04-24,-1.0,12.0,-1.0,11.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,12.0,11.0,10.0,11.0,11.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,-1.0
2024-04-23,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,29.0,25.0,23.0,22.0,32.0,32.0,33.0,31.0,27.0,28.0,22.0,21.0,23.0,22.0,27.0,26.0,27.0,-1.0
2024-04-22,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,14.0,10.0,8.0,8.0,8.0,8.0,5.0,4.0,1.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,0.0,-1.0
2024-04-21,-1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,6.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,-1.0
2024-04-19,-1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,4.0,5.0,0.0,0.0,1.0,1.0,2.0,2.0,6.0,6.0,21.0,-1.0
2024-04-18,-1.0,5.0,5.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,10.0,5.0,4.0,4.0,4.0,5.0,1.0,22.0,42.0,43.0,42.0,43.0,44.0,44.0,46.0,44.0,50.0,-1.0
2024-04-17,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,14.0,10.0,9.0,8.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,7.0,7.0,-1.0
2024-04-16,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,6.0,9.0,8.0,9.0,-1.0
2024-04-15,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,-1.0
2024-04-14,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,-1.0
2024-04-13,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,-1.0
2024-04-12,-1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,-1.0
2024-04-11,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,7.0,4.0,3.0,2.0,3.0,4.0,1.0,3.0,7.0,7.0,4.0,4.0,5.0,5.0,9.0,9.0,13.0,-1.0
2024-04-10,-1.0,3.0,3.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,10.0,6.0,6.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,140.0,140.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-09,-1.0,4.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,-1.0
2024-04-08,-1.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0,21.0,19.0,20.0,12.0,12.0,12.0,13.0,12.0,11.0,10.0,-1.0
2024-04-07,-1.0,0.0,0.0,-1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,0.0,-1.0
2024-04-06,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,-1.0
2024-04-05,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,-1.0
2024-04-04,-1.0,0.0,0.0,-1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,2.0,3.0,3.0,6.0,7.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0
2024-04-03,-1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,-1.0
2024-04-02,-1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,6.0,7.0,7.0,7.0,7.0,6.0,9.0,-1.0
2024-04-01,-1.0,0.0,0.0,-1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,6.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,3.0,-1.0
