date,Dresden_Hbf.in,Dresden_Hbf.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Riesa.in,Riesa.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Leipzig/Halle_Flughafen.in,Leipzig/Halle_Flughafen.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bad_Oeynhausen.in,Bad_Oeynhausen.out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Bruchsal.in,Bruchsal.out,Karlsruhe-Durlach.in,Karlsruhe-Durlach.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out
2024-05-16,-1.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,10.0,10.0,0.0,0.0,11.0,0.0,0.0,5.0,6.0,6.0,5.0,7.0,9.0,9.0,7.0,8.0,5.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,16.0,12.0,13.0,12.0,11.0,10.0,9.0,8.0,8.0,10.0,10.0,11.0,7.0,7.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-15,-1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,5.0,2.0,6.0,6.0,3.0,3.0,1.0,2.0,10.0,10.0,10.0,11.0,7.0,10.0,9.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,-1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,25.0,14.0,13.0,13.0,13.0,13.0,12.0,12.0,16.0,17.0,15.0,18.0,15.0,15.0,22.0,21.0,0.0,0.0,0.0,0.0,25.0,26.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,27.0,29.0,25.0,31.0,31.0,28.0,28.0,26.0,24.0,30.0,29.0,28.0,30.0,27.0,29.0,28.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,3.0,4.0,4.0,5.0,2.0,3.0,111.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,-1.0,1.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,9.0,10.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,10.0,8.0,13.0,13.0,14.0,15.0,11.0,11.0,13.0,13.0,13.0,14.0,15.0,16.0,16.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-11,-1.0,0.0,-1.0,1.0,2.0,3.0,0.0,27.0,26.0,27.0,28.0,22.0,28.0,29.0,33.0,33.0,29.0,28.0,0.0,0.0,25.0,12.0,7.0,8.0,7.0,6.0,7.0,8.0,11.0,12.0,10.0,10.0,9.0,11.0,11.0,10.0,0.0,0.0,0.0,0.0,13.0,13.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,31.0,27.0,30.0,30.0,29.0,43.0,64.0,64.0,64.0,65.0,-1.0,-1.0,55.0,58.0,58.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,-1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,7.0,6.0,16.0,16.0,17.0,18.0,14.0,15.0,16.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,6.0,6.0,7.0,8.0,4.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-08,-1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,4.0,2.0,3.0,9.0,9.0,0.0,0.0,0.0,0.0,12.0,12.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,30.0,26.0,29.0,29.0,32.0,32.0,27.0,27.0,27.0,26.0,28.0,29.0,25.0,26.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.0,2.0,5.0,5.0,8.0,8.0,7.0,7.0,8.0,8.0,9.0,10.0,13.0,14.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-04,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,7.0,6.0,7.0,6.0,7.0,5.0,5.0,7.0,8.0,10.0,9.0,0.0,0.0,0.0,0.0,15.0,15.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,19.0,16.0,20.0,20.0,24.0,24.0,23.0,23.0,26.0,27.0,-1.0,-1.0,15.0,15.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,-1.0
