date,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Wanne-Eickel_Hbf.in,Wanne-Eickel_Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Rheine.in,Rheine.out,Lingen/ZOB.in,Lingen/ZOB.out,Lingen(Ems).in,Lingen(Ems).out,Meppen.in,Meppen.out,Papenburg(Ems).in,Papenburg(Ems).out,Papenburg.in,Papenburg.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out,Emden_Außenhafen.in,Emden_Außenhafen.out
2024-05-12,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,4.0,4.0,1.0,2.0,1.0,5.0,9.0,0.0
2024-05-11,0.0,2.0,7.0,7.0,7.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,0.0,0.0,42.0,42.0,43.0,47.0,0.0,0.0,49.0,47.0,46.0,46.0,60.0,61.0,45.0,45.0,58.0,60.0,59.0,54.0,51.0,0.0
2024-05-10,0.0,1.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,6.0,6.0,6.0,6.0,3.0,4.0,2.0,3.0,0.0,0.0
2024-05-09,0.0,4.0,12.0,11.0,12.0,14.0,13.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,14.0,15.0,12.0,12.0,15.0,15.0,15.0,15.0,15.0,14.0,12.0,12.0,11.0,11.0,10.0,10.0,8.0,9.0,8.0,2.0,2.0,0.0
2024-05-08,0.0,3.0,14.0,13.0,12.0,13.0,11.0,12.0,11.0,11.0,12.0,13.0,13.0,13.0,14.0,14.0,13.0,13.0,12.0,12.0,11.0,11.0,12.0,11.0,9.0,10.0,9.0,10.0,8.0,8.0,7.0,8.0,6.0,2.0,1.0,0.0
2024-05-07,0.0,20.0,23.0,23.0,22.0,23.0,22.0,22.0,22.0,22.0,24.0,26.0,25.0,25.0,24.0,24.0,24.0,25.0,25.0,25.0,0.0,0.0,27.0,26.0,24.0,25.0,22.0,25.0,22.0,22.0,24.0,24.0,22.0,4.0,3.0,0.0
2024-05-06,0.0,2.0,10.0,10.0,11.0,12.0,11.0,11.0,0.0,0.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,8.0,8.0,10.0,9.0,7.0,7.0,6.0,7.0,6.0,6.0,5.0,6.0,4.0,2.0,1.0,0.0
2024-05-05,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,0.0,0.0,0.0
2024-05-04,0.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,5.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2024-05-03,0.0,1.0,8.0,6.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,10.0,12.0,45.0,98.0,98.0,97.0,97.0,99.0,97.0,97.0,97.0,96.0,97.0,96.0,96.0,95.0,97.0,95.0,77.0,76.0,0.0
2024-05-02,0.0,0.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,7.0,0.0,0.0,12.0,13.0,12.0,2.0,1.0,0.0
2024-05-01,0.0,25.0,52.0,52.0,60.0,60.0,61.0,60.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,56.0,55.0,56.0,57.0,57.0,56.0,57.0,56.0,54.0,54.0,72.0,75.0,71.0,72.0,81.0,82.0,79.0,61.0,67.0,0.0
2024-04-30,0.0,0.0,3.0,2.0,7.0,5.0,6.0,7.0,5.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,6.0,6.0,6.0,6.0,7.0,6.0,4.0,4.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
2024-04-29,0.0,4.0,8.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,22.0,26.0,27.0,24.0,22.0,24.0,23.0,24.0,24.0,25.0,23.0,21.0,21.0,19.0,20.0,19.0,19.0,16.0,17.0,15.0,5.0,0.0,0.0
