date,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(Main)Süd.in,Frankfurt(Main)Süd.out,Hanau_Hbf.in,Hanau_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Regensburg_Hbf.in,Regensburg_Hbf.out,Plattling.in,Plattling.out,Passau_Hbf.in,Passau_Hbf.out
2024-05-16,-1.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,14.0,15.0,9.0,9.0,7.0,6.0,5.0,1.0,0.0,0.0,4.0,5.0,4.0,4.0,0.0,1.0,4.0,2.0,7.0,7.0,11.0,11.0,8.0,-1.0
2024-05-15,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,13.0,16.0,16.0,19.0,19.0,18.0,17.0,17.0,15.0,17.0,17.0,0.0,0.0,-1.0,-1.0,44.0,45.0,43.0,42.0,42.0,36.0,39.0,45.0,48.0,48.0,45.0,-1.0
2024-05-14,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,6.0,7.0,10.0,10.0,15.0,17.0,13.0,11.0,18.0,16.0,18.0,15.0,0.0,0.0,17.0,16.0,13.0,14.0,8.0,7.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,-1.0
2024-05-13,-1.0,6.0,5.0,5.0,8.0,7.0,9.0,8.0,10.0,10.0,0.0,0.0,0.0,0.0,19.0,20.0,24.0,27.0,27.0,27.0,27.0,26.0,26.0,24.0,25.0,21.0,0.0,0.0,26.0,26.0,23.0,23.0,19.0,20.0,12.0,7.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,9.0,10.0,9.0,5.0,5.0,5.0,4.0,8.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-11,-1.0,5.0,5.0,4.0,3.0,6.0,6.0,11.0,10.0,9.0,0.0,0.0,0.0,0.0,8.0,10.0,13.0,13.0,11.0,11.0,0.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-10,-1.0,0.0,3.0,3.0,3.0,23.0,24.0,24.0,28.0,28.0,0.0,0.0,0.0,0.0,34.0,35.0,-1.0,-1.0,62.0,61.0,60.0,59.0,62.0,59.0,62.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-08,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,7.0,4.0,4.0,103.0,102.0,105.0,103.0,121.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-07,-1.0,9.0,9.0,8.0,6.0,6.0,6.0,7.0,9.0,10.0,0.0,0.0,0.0,0.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,13.0,11.0,0.0,0.0,18.0,19.0,17.0,19.0,13.0,13.0,7.0,6.0,2.0,2.0,0.0,0.0,1.0,-1.0
2024-05-06,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,10.0,16.0,17.0,27.0,33.0,36.0,35.0,36.0,35.0,36.0,33.0,0.0,0.0,38.0,38.0,38.0,39.0,40.0,40.0,37.0,31.0,22.0,22.0,22.0,22.0,18.0,-1.0
2024-05-05,-1.0,0.0,2.0,2.0,1.0,3.0,4.0,4.0,11.0,11.0,0.0,0.0,0.0,0.0,12.0,12.0,18.0,19.0,18.0,17.0,14.0,13.0,13.0,12.0,11.0,10.0,0.0,0.0,13.0,13.0,10.0,11.0,5.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0
2024-05-04,-1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,10.0,10.0,12.0,11.0,17.0,17.0,0.0,0.0,0.0,0.0,14.0,13.0,0.0,0.0,19.0,20.0,17.0,17.0,12.0,11.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-05-03,-1.0,3.0,2.0,4.0,6.0,6.0,8.0,9.0,11.0,11.0,0.0,0.0,0.0,0.0,11.0,12.0,11.0,11.0,25.0,25.0,24.0,26.0,26.0,24.0,29.0,27.0,0.0,0.0,32.0,33.0,37.0,39.0,36.0,37.0,33.0,26.0,22.0,22.0,16.0,16.0,15.0,-1.0
2024-05-02,-1.0,0.0,14.0,14.0,12.0,12.0,11.0,11.0,14.0,14.0,0.0,0.0,0.0,0.0,19.0,22.0,23.0,23.0,23.0,23.0,20.0,19.0,24.0,22.0,22.0,26.0,0.0,0.0,29.0,29.0,30.0,31.0,27.0,27.0,57.0,51.0,49.0,49.0,42.0,42.0,38.0,-1.0
2024-05-01,-1.0,8.0,8.0,10.0,11.0,10.0,11.0,11.0,13.0,13.0,0.0,0.0,0.0,0.0,11.0,10.0,14.0,13.0,13.0,14.0,15.0,14.0,18.0,18.0,18.0,16.0,0.0,0.0,16.0,16.0,17.0,18.0,16.0,16.0,10.0,4.0,0.0,1.0,0.0,1.0,1.0,-1.0
2024-04-30,-1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,12.0,12.0,14.0,14.0,15.0,15.0,13.0,13.0,15.0,14.0,13.0,30.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,148.0,148.0,149.0,144.0,134.0,135.0,128.0,128.0,126.0,-1.0
2024-04-29,-1.0,0.0,0.0,0.0,4.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,8.0,9.0,19.0,21.0,25.0,27.0,65.0,64.0,66.0,65.0,68.0,68.0,0.0,0.0,69.0,69.0,66.0,67.0,64.0,65.0,61.0,60.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-28,-1.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,10.0,11.0,15.0,14.0,33.0,34.0,33.0,31.0,34.0,33.0,0.0,0.0,33.0,33.0,31.0,32.0,29.0,28.0,28.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-27,-1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,8.0,8.0,0.0,0.0,0.0,0.0,11.0,11.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0,4.0,3.0,4.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,-1.0,2.0,4.0,4.0,2.0,3.0,6.0,8.0,10.0,10.0,0.0,0.0,0.0,0.0,11.0,11.0,16.0,17.0,24.0,26.0,34.0,34.0,36.0,33.0,38.0,34.0,0.0,0.0,54.0,54.0,54.0,54.0,49.0,49.0,44.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,16.0,15.0,18.0,18.0,20.0,20.0,17.0,16.0,15.0,15.0,14.0,14.0,0.0,0.0,18.0,19.0,17.0,18.0,13.0,13.0,15.0,10.0,9.0,9.0,2.0,2.0,0.0,-1.0
2024-04-23,-1.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,17.0,18.0,26.0,25.0,28.0,28.0,33.0,32.0,38.0,36.0,39.0,36.0,0.0,0.0,38.0,38.0,40.0,41.0,35.0,34.0,32.0,26.0,23.0,23.0,15.0,15.0,12.0,-1.0
2024-04-22,-1.0,0.0,-1.0,-1.0,23.0,25.0,24.0,24.0,29.0,29.0,0.0,0.0,0.0,0.0,36.0,36.0,38.0,39.0,52.0,53.0,53.0,53.0,52.0,51.0,51.0,48.0,0.0,0.0,49.0,49.0,49.0,49.0,43.0,42.0,36.0,30.0,26.0,26.0,19.0,19.0,15.0,-1.0
2024-04-21,-1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,6.0,7.0,0.0,0.0,0.0,0.0,7.0,6.0,12.0,17.0,17.0,17.0,17.0,16.0,16.0,15.0,14.0,12.0,0.0,0.0,17.0,17.0,18.0,19.0,14.0,15.0,27.0,28.0,25.0,25.0,18.0,17.0,13.0,-1.0
2024-04-20,-1.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,9.0,12.0,10.0,10.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,11.0,5.0,1.0,15.0,9.0,9.0,8.0,-1.0
2024-04-19,-1.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,18.0,18.0,29.0,32.0,35.0,36.0,33.0,33.0,35.0,34.0,38.0,40.0,0.0,0.0,41.0,41.0,60.0,61.0,63.0,64.0,68.0,61.0,63.0,64.0,57.0,57.0,56.0,-1.0
2024-04-18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,0.0,0.0,1.0,1.0,1.0,2.0,14.0,13.0,10.0,0.0,0.0,0.0,3.0,3.0,1.0,-1.0
2024-04-17,-1.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0,9.0,9.0,10.0,12.0,11.0,12.0,9.0,8.0,9.0,8.0,13.0,15.0,0.0,0.0,16.0,16.0,18.0,18.0,14.0,15.0,14.0,7.0,6.0,6.0,8.0,9.0,18.0,-1.0
2024-04-16,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,8.0,8.0,5.0,4.0,3.0,1.0,1.0,4.0,0.0,0.0,7.0,7.0,4.0,15.0,11.0,10.0,18.0,13.0,26.0,26.0,25.0,25.0,21.0,-1.0
2024-04-15,-1.0,0.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,-1.0,-1.0,94.0,94.0,91.0,91.0,92.0,90.0,90.0,89.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-14,-1.0,3.0,4.0,5.0,11.0,11.0,11.0,13.0,15.0,17.0,13.0,14.0,0.0,0.0,9.0,9.0,0.0,0.0,9.0,12.0,12.0,12.0,13.0,13.0,12.0,11.0,0.0,0.0,16.0,17.0,14.0,15.0,9.0,9.0,11.0,4.0,0.0,0.0,18.0,18.0,14.0,-1.0
2024-04-13,-1.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,-1.0
2024-04-12,-1.0,1.0,1.0,1.0,5.0,15.0,15.0,16.0,18.0,20.0,0.0,0.0,0.0,0.0,34.0,36.0,36.0,36.0,41.0,42.0,41.0,41.0,44.0,42.0,48.0,44.0,0.0,0.0,45.0,45.0,43.0,44.0,38.0,38.0,35.0,28.0,23.0,24.0,47.0,47.0,44.0,-1.0
2024-04-11,-1.0,0.0,4.0,4.0,6.0,6.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,8.0,6.0,7.0,7.0,6.0,5.0,4.0,4.0,6.0,0.0,0.0,7.0,7.0,5.0,6.0,1.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-10,-1.0,1.0,1.0,3.0,4.0,3.0,8.0,10.0,13.0,13.0,0.0,0.0,0.0,0.0,16.0,15.0,20.0,21.0,18.0,19.0,14.0,13.0,15.0,14.0,15.0,16.0,0.0,0.0,21.0,23.0,21.0,21.0,16.0,15.0,13.0,9.0,8.0,8.0,4.0,4.0,1.0,-1.0
2024-04-09,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,0.0,0.0,6.0,6.0,6.0,7.0,1.0,2.0,4.0,8.0,7.0,7.0,1.0,1.0,0.0,-1.0
2024-04-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-1.0,-1.0,44.0,45.0,43.0,43.0,45.0,43.0,44.0,41.0,0.0,0.0,36.0,71.0,-1.0,-1.0,123.0,123.0,126.0,120.0,113.0,113.0,106.0,106.0,103.0,-1.0
2024-04-04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,5.0,7.0,5.0,5.0,4.0,3.0,4.0,3.0,0.0,0.0,14.0,16.0,21.0,22.0,18.0,17.0,11.0,4.0,36.0,36.0,31.0,31.0,28.0,-1.0
2024-04-03,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,7.0,10.0,0.0,0.0,14.0,14.0,11.0,11.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,3.0,1.0,0.0,0.0,10.0,11.0,9.0,9.0,7.0,7.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-04-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0
