date,Koblenz_Hbf.in,Koblenz_Hbf.out,Andernach.in,Andernach.out,Remagen.in,Remagen.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Wanne-Eickel_Hbf.in,Wanne-Eickel_Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Rheine.in,Rheine.out,Lingen/ZOB.in,Lingen/ZOB.out,Lingen(Ems).in,Lingen(Ems).out,Papenburg.in,Papenburg.out,Meppen.in,Meppen.out,Papenburg(Ems).in,Papenburg(Ems).out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out,Norden.in,Norden.out,Norddeich.in,Norddeich.out,Norddeich_Mole.in,Norddeich_Mole.out
2024-05-30,-1.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,1.0,4.0,5.0,0.0,0.0,4.0,-1.0
2024-05-29,-1.0,8.0,9.0,8.0,8.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,12.0,9.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-28,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-27,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,20.0,13.0,11.0,11.0,10.0,9.0,10.0,10.0,8.0,8.0,7.0,8.0,8.0,7.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,6.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,4.0,5.0,3.0,3.0,1.0,-1.0
2024-05-26,-1.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,-1.0
2024-05-25,-1.0,9.0,9.0,8.0,7.0,8.0,7.0,8.0,0.0,0.0,0.0,0.0,8.0,5.0,11.0,8.0,6.0,6.0,5.0,5.0,0.0,0.0,4.0,5.0,4.0,4.0,3.0,3.0,0.0,1.0,2.0,5.0,9.0,9.0,9.0,7.0,3.0,3.0,6.0,5.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,-1.0
2024-05-24,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,13.0,14.0,14.0,13.0,-1.0,-1.0,31.0,31.0,31.0,32.0,31.0,31.0,31.0,30.0,24.0,24.0,28.0,27.0,24.0,24.0,25.0,25.0,26.0,11.0,10.0,10.0,8.0,8.0,8.0,-1.0
2024-05-23,-1.0,4.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,-1.0,-1.0,11.0,10.0,7.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,9.0,0.0,4.0,5.0,4.0,4.0,2.0,-1.0
2024-05-20,-1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,-1.0
2024-05-19,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
