date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Neuss_Hbf.in,Neuss_Hbf.out,Mönchengladbach_Hbf.in,Mönchengladbach_Hbf.out,Rheydt_Hbf.in,Rheydt_Hbf.out,Erkelenz.in,Erkelenz.out,Geilenkirchen.in,Geilenkirchen.out,Aachen_Hbf.in,Aachen_Hbf.out
2024-05-13,-1.0,11.0,5.0,12.0,8.0,12.0,6.0,7.0,7.0,8.0,0.0,0.0,10.0,11.0,15.0,18.0,14.0,14.0,14.0,14.0,17.0,18.0,17.0,17.0,13.0,12.0,12.0,10.0,9.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,-1.0,12.0,5.0,13.0,13.0,13.0,9.0,10.0,5.0,6.0,0.0,0.0,27.0,28.0,29.0,37.0,34.0,4.0,34.0,35.0,34.0,34.0,33.0,33.0,24.0,23.0,25.0,24.0,27.0,26.0,27.0,28.0,29.0,29.0,29.0,28.0,33.0,-1.0
2024-05-11,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,8.0,8.0,9.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,-1.0,10.0,-1.0,5.0,5.0,3.0,2.0,3.0,4.0,5.0,0.0,0.0,4.0,5.0,7.0,9.0,5.0,4.0,10.0,10.0,10.0,12.0,12.0,12.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,-1.0,1.0,1.0,14.0,10.0,16.0,-1.0,-1.0,165.0,164.0,0.0,0.0,164.0,170.0,170.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-08,-1.0,1.0,1.0,5.0,5.0,6.0,1.0,3.0,0.0,2.0,0.0,0.0,5.0,5.0,6.0,7.0,13.0,12.0,13.0,18.0,17.0,17.0,15.0,15.0,26.0,24.0,23.0,27.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-07,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,0.0,5.0,6.0,4.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,11.0,11.0,11.0,10.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-06,-1.0,7.0,3.0,7.0,3.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,5.0,3.0,1.0,26.0,27.0,27.0,27.0,26.0,25.0,25.0,25.0,75.0,-1.0,-1.0,-1.0,-1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-05,-1.0,1.0,-1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,5.0,5.0,4.0,3.0,9.0,9.0,7.0,10.0,9.0,9.0,15.0,13.0,13.0,12.0,10.0,9.0,9.0,8.0,8.0,7.0,5.0,4.0,2.0,-1.0
2024-05-04,-1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,6.0,8.0,8.0,8.0,9.0,10.0,9.0,12.0,12.0,22.0,22.0,12.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,-1.0,1.0,-1.0,1.0,-1.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,5.0,4.0,9.0,6.0,9.0,8.0,9.0,7.0,8.0,9.0,8.0,13.0,11.0,12.0,11.0,13.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-02,-1.0,26.0,26.0,25.0,25.0,30.0,39.0,43.0,40.0,43.0,45.0,55.0,48.0,48.0,50.0,53.0,59.0,64.0,65.0,65.0,67.0,66.0,66.0,67.0,-1.0,-1.0,-1.0,-1.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-01,-1.0,1.0,1.0,1.0,0.0,2.0,4.0,5.0,1.0,4.0,0.0,0.0,5.0,6.0,5.0,6.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,9.0,9.0,12.0,12.0,12.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,-1.0,3.0,3.0,4.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,13.0,10.0,9.0,17.0,18.0,17.0,17.0,14.0,13.0,21.0,22.0,21.0,24.0,27.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,-1.0,1.0,-1.0,2.0,-1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,20.0,21.0,21.0,21.0,18.0,17.0,16.0,17.0,28.0,27.0,25.0,25.0,27.0,27.0,30.0,30.0,27.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-28,-1.0,10.0,-1.0,8.0,8.0,11.0,6.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,6.0,3.0,3.0,7.0,7.0,10.0,11.0,9.0,9.0,8.0,10.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,7.0,6.0,2.0,-1.0
2024-04-27,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,5.0,4.0,9.0,10.0,9.0,10.0,7.0,7.0,0.0,1.0,3.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,-1.0,1.0,-1.0,2.0,-1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,9.0,13.0,13.0,13.0,13.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-25,-1.0,1.0,-1.0,6.0,4.0,6.0,2.0,2.0,3.0,4.0,0.0,0.0,5.0,5.0,6.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,20.0,4.0,4.0,11.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,-1.0,14.0,-1.0,12.0,-1.0,10.0,5.0,5.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,10.0,10.0,9.0,11.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-22,-1.0,5.0,5.0,3.0,3.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,8.0,9.0,9.0,10.0,7.0,7.0,6.0,7.0,9.0,10.0,8.0,10.0,13.0,13.0,12.0,12.0,12.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-21,-1.0,1.0,1.0,2.0,0.0,3.0,7.0,8.0,4.0,7.0,0.0,0.0,10.0,11.0,14.0,14.0,9.0,12.0,11.0,11.0,11.0,11.0,10.0,11.0,13.0,13.0,14.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,11.0,10.0,23.0,-1.0
2024-04-20,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,4.0,3.0,2.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,-1.0,4.0,4.0,5.0,3.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,5.0,1.0,1.0,7.0,8.0,15.0,15.0,15.0,17.0,20.0,18.0,17.0,17.0,14.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,1.0,5.0,6.0,6.0,9.0,9.0,9.0,9.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-16,-1.0,0.0,-1.0,1.0,-1.0,44.0,58.0,80.0,76.0,75.0,0.0,0.0,76.0,77.0,115.0,115.0,114.0,115.0,119.0,119.0,119.0,119.0,118.0,118.0,131.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,-1.0,0.0,-1.0,1.0,-1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,6.0,6.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-14,-1.0,1.0,1.0,14.0,14.0,13.0,14.0,15.0,10.0,12.0,0.0,0.0,17.0,17.0,18.0,20.0,15.0,14.0,13.0,13.0,15.0,16.0,16.0,20.0,25.0,25.0,25.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-13,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,50.0,55.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,-1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,-1.0,7.0,7.0,6.0,6.0,5.0,2.0,4.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,6.0,7.0,5.0,4.0,1.0,1.0,5.0,4.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,-1.0,0.0,-1.0,1.0,0.0,2.0,7.0,9.0,15.0,15.0,0.0,0.0,26.0,26.0,27.0,28.0,26.0,25.0,25.0,25.0,24.0,24.0,23.0,23.0,12.0,13.0,13.0,13.0,13.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,-1.0,0.0,-1.0,3.0,3.0,2.0,2.0,10.0,16.0,16.0,0.0,0.0,26.0,27.0,27.0,29.0,24.0,23.0,23.0,23.0,24.0,24.0,22.0,21.0,19.0,19.0,11.0,11.0,11.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,-1.0,0.0,-1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,4.0,5.0,4.0,11.0,12.0,11.0,11.0,11.0,10.0,8.0,8.0,10.0,10.0,12.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-07,-1.0,0.0,-1.0,2.0,-1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-06,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,13.0,15.0,17.0,13.0,12.0,13.0,13.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,6.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-04,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,8.0,5.0,3.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-03,-1.0,3.0,-1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,10.0,6.0,4.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-02,-1.0,4.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,-1.0,-1.0,41.0,44.0,44.0,-1.0,-1.0,-1.0,-1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-01,-1.0,2.0,2.0,5.0,5.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,7.0,17.0,24.0,19.0,18.0,18.0,18.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
