date,Dresden_Hbf.in,Dresden_Hbf.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Elsterwerda.in,Elsterwerda.out,Doberlug-Kirchhain.in,Doberlug-Kirchhain.out,Flughafen_BER.in,Flughafen_BER.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Oranienburg.in,Oranienburg.out,Neustrelitz_Hbf.in,Neustrelitz_Hbf.out,Waren(Müritz).in,Waren(Müritz).out,Schwerin_Hbf.in,Schwerin_Hbf.out,Rostock_Hbf.in,Rostock_Hbf.out,Warnemünde.in,Warnemünde.out
2024-05-30,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,8.0,9.0,9.0,9.0,0.0,0.0,4.0,3.0,0.0,-1.0
2024-05-29,-1.0,3.0,1.0,1.0,7.0,1.0,0.0,0.0,9.0,3.0,-1.0,-1.0,12.0,16.0,-1.0,-1.0,16.0,25.0,20.0,20.0,20.0,20.0,0.0,0.0,278.0,-1.0,-1.0,-1.0
2024-05-28,-1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,4.0,12.0,16.0,14.0,14.0,13.0,14.0,13.0,15.0,14.0,14.0,14.0,0.0,0.0,15.0,13.0,12.0,-1.0
2024-05-27,-1.0,19.0,17.0,16.0,22.0,20.0,17.0,17.0,26.0,25.0,26.0,25.0,26.0,25.0,24.0,23.0,23.0,23.0,19.0,19.0,19.0,18.0,0.0,0.0,15.0,12.0,13.0,-1.0
2024-05-26,-1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,8.0,7.0,13.0,14.0,19.0,19.0,19.0,20.0,20.0,20.0,16.0,16.0,15.0,15.0,0.0,0.0,11.0,11.0,11.0,-1.0
2024-05-25,-1.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,4.0,10.0,22.0,24.0,30.0,29.0,28.0,27.0,28.0,28.0,27.0,26.0,27.0,0.0,0.0,23.0,20.0,13.0,-1.0
2024-05-24,-1.0,9.0,8.0,9.0,9.0,6.0,4.0,4.0,8.0,8.0,8.0,8.0,10.0,12.0,12.0,11.0,13.0,13.0,8.0,8.0,7.0,7.0,0.0,0.0,2.0,-1.0,-1.0,-1.0
2024-05-23,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,7.0,41.0,45.0,49.0,49.0,48.0,47.0,46.0,46.0,41.0,41.0,40.0,40.0,0.0,0.0,35.0,31.0,26.0,-1.0
2024-05-17,-1.0,18.0,16.0,16.0,13.0,9.0,60.0,61.0,64.0,64.0,60.0,60.0,-1.0,-1.0,58.0,57.0,-1.0,-1.0,-1.0,-1.0,52.0,52.0,50.0,50.0,50.0,47.0,-1.0,-1.0
2024-05-16,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-14,-1.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-13,-1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,5.0,3.0,3.0,1.0,4.0,5.0,10.0,9.0,5.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,4.0,5.0,8.0,8.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-11,-1.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,3.0,3.0,3.0,5.0,8.0,6.0,5.0,5.0,8.0,8.0,6.0,6.0,5.0,5.0,0.0,0.0,3.0,2.0,0.0,-1.0
2024-05-10,-1.0,0.0,1.0,1.0,6.0,2.0,1.0,1.0,9.0,8.0,9.0,8.0,10.0,8.0,7.0,5.0,6.0,6.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-09,-1.0,0.0,1.0,18.0,27.0,24.0,22.0,22.0,24.0,22.0,25.0,24.0,24.0,22.0,21.0,20.0,19.0,19.0,19.0,19.0,18.0,18.0,0.0,0.0,14.0,11.0,10.0,-1.0
2024-05-08,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-07,-1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,4.0,6.0,6.0,6.0,3.0,4.0,3.0,4.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-06,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-05,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-04,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-02,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,7.0,6.0,8.0,9.0,8.0,7.0,7.0,7.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-30,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-29,-1.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,6.0,5.0,5.0,5.0,12.0,11.0,10.0,9.0,9.0,9.0,5.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-28,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,-1.0
2024-04-27,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,11.0,10.0,11.0,13.0,13.0,12.0,11.0,11.0,6.0,5.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-04-26,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-25,-1.0,0.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-24,-1.0,1.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-23,-1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,5.0,3.0,9.0,9.0,9.0,6.0,6.0,4.0,7.0,7.0,4.0,4.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-22,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,3.0,3.0,2.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-21,-1.0,3.0,2.0,3.0,2.0,2.0,0.0,1.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-20,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,5.0,9.0,11.0,10.0,8.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-19,-1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,6.0,9.0,12.0,13.0,12.0,14.0,12.0,18.0,18.0,13.0,12.0,11.0,11.0,0.0,0.0,9.0,6.0,0.0,-1.0
2024-04-18,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-17,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-16,-1.0,2.0,2.0,5.0,2.0,2.0,0.0,0.0,6.0,5.0,9.0,8.0,9.0,8.0,9.0,9.0,11.0,10.0,5.0,5.0,5.0,5.0,0.0,0.0,3.0,1.0,0.0,-1.0
2024-04-15,-1.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,17.0,13.0,10.0,-1.0
2024-04-14,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,17.0,13.0,10.0,-1.0
2024-04-13,-1.0,3.0,-1.0,2.0,0.0,1.0,1.0,1.0,12.0,12.0,10.0,9.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,33.0,29.0,25.0,-1.0
2024-04-12,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,3.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,34.0,32.0,25.0,-1.0
2024-04-10,-1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,6.0,4.0,2.0,1.0,1.0,1.0,3.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,50.0,47.0,43.0,-1.0
2024-04-09,-1.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,6.0,7.0,6.0,5.0,4.0,6.0,5.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-08,-1.0,3.0,1.0,0.0,0.0,0.0,10.0,11.0,13.0,11.0,13.0,13.0,13.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,0.0,0.0,6.0,-1.0,-1.0,-1.0
