date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,.in,.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Celle.in,Celle.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Uelzen.in,Uelzen.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Hannover_Hbf.in,Hannover_Hbf.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-20,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-05-19,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0
2024-05-18,0.0,8.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,8.0,4.0,2.0,0.0,0.0,10.0,11.0,0.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,1.0,8.0,11.0,0.0,0.0,0.0,0.0,8.0,10.0,10.0,7.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
2024-05-16,0.0,16.0,13.0,15.0,0.0,0.0,0.0,0.0,16.0,18.0,16.0,13.0,0.0,0.0,17.0,17.0,0.0,0.0,4.0,4.0,4.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,1.0,1.0,3.0,0.0
2024-05-15,0.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,9.0,8.0,5.0,0.0,0.0,8.0,7.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,3.0,3.0,2.0,1.0,0.0,0.0
2024-05-14,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,11.0,8.0,8.0,0.0,0.0,8.0,20.0,0.0,0.0,5.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,9.0,9.0,8.0,8.0,0.0,0.0,5.0,5.0,18.0,18.0,18.0,18.0,17.0,18.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,8.0,7.0,3.0,3.0,1.0,0.0
2024-05-12,0.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,2.0,0.0,0.0,4.0,6.0,0.0,0.0,9.0,9.0,6.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,2.0,3.0,18.0,0.0
2024-05-11,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,13.0,13.0,14.0,12.0,0.0,0.0,10.0,11.0,0.0,0.0,6.0,6.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0
2024-05-10,0.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,10.0,9.0,8.0,7.0,0.0,0.0,9.0,15.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
2024-05-09,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,17.0,7.0,5.0,0.0,0.0,19.0,20.0,0.0,0.0,22.0,23.0,18.0,21.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,10.0,9.0,3.0,4.0,4.0,0.0
2024-05-08,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,31.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,9.0,7.0,9.0,0.0
2024-05-07,0.0,4.0,1.0,5.0,5.0,5.0,0.0,0.0,11.0,15.0,5.0,4.0,0.0,0.0,14.0,14.0,0.0,0.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0
2024-05-06,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,15.0,5.0,4.0,0.0,0.0,15.0,17.0,0.0,0.0,25.0,26.0,22.0,22.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,26.0,20.0,20.0,19.0,19.0,22.0,0.0
2024-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,2.0,1.0,4.0,0.0
2024-05-04,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,14.0,9.0,8.0,0.0,0.0,14.0,14.0,0.0,0.0,14.0,15.0,11.0,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,3.0,2.0,8.0,0.0
2024-05-03,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,24.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,26.0,19.0,19.0,20.0,0.0
2024-05-02,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,12.0,22.0,9.0,11.0,0.0,0.0,21.0,39.0,0.0,0.0,39.0,39.0,36.0,36.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,25.0,20.0,20.0,13.0,13.0,14.0,0.0
2024-05-01,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,7.0,8.0,5.0,7.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,0.0
2024-04-30,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,9.0,6.0,5.0,0.0,0.0,8.0,7.0,0.0,0.0,8.0,9.0,5.0,6.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,8.0,8.0,13.0,0.0
2024-04-29,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,12.0,9.0,7.0,0.0,0.0,10.0,9.0,0.0,0.0,8.0,8.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-04-28,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-04-27,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,45.0,49.0,36.0,35.0,0.0,0.0,50.0,49.0,0.0,0.0,41.0,42.0,40.0,41.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,34.0,28.0,28.0,21.0,21.0,19.0,0.0
2024-04-26,0.0,3.0,10.0,10.0,0.0,0.0,0.0,0.0,8.0,8.0,10.0,7.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,4.0,0.0
2024-04-25,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,6.0,13.0,5.0,4.0,0.0,0.0,11.0,10.0,0.0,0.0,11.0,12.0,7.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,4.0,0.0
2024-04-24,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,8.0,4.0,5.0,0.0,0.0,7.0,6.0,0.0,0.0,2.0,2.0,0.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,4.0,5.0,5.0,6.0,0.0
2024-04-23,0.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,9.0,0.0,0.0,10.0,9.0,0.0,0.0,9.0,7.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,19.0,25.0,0.0
2024-04-22,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,11.0,5.0,7.0,0.0,0.0,8.0,8.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2024-04-21,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,19.0,7.0,4.0,0.0,0.0,20.0,20.0,0.0,0.0,9.0,10.0,6.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5.0,5.0,4.0,6.0,6.0,0.0
2024-04-20,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,14.0,5.0,6.0,0.0,0.0,14.0,13.0,0.0,0.0,15.0,16.0,16.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0
