date,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out
2024-05-26,-1.0,1.0,0.0,0.0,36.0,36.0,36.0,-1.0,42.0,-1.0
2024-05-25,-1.0,1.0,0.0,8.0,39.0,39.0,40.0,-1.0,44.0,-1.0
2024-05-24,-1.0,1.0,0.0,2.0,0.0,-1.0,13.0,-1.0,28.0,-1.0
2024-05-23,-1.0,0.0,0.0,1.0,11.0,9.0,25.0,-1.0,31.0,-1.0
2024-05-22,-1.0,0.0,0.0,0.0,2.0,1.0,3.0,-1.0,10.0,-1.0
2024-05-21,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0
2024-05-20,-1.0,0.0,1.0,2.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-05-19,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,-1.0
2024-05-18,-1.0,1.0,1.0,3.0,2.0,1.0,3.0,-1.0,2.0,-1.0
2024-05-17,-1.0,1.0,0.0,2.0,17.0,16.0,21.0,-1.0,22.0,-1.0
2024-05-16,-1.0,0.0,0.0,3.0,5.0,4.0,5.0,-1.0,8.0,-1.0
2024-05-15,-1.0,1.0,0.0,0.0,4.0,4.0,6.0,-1.0,4.0,-1.0
2024-05-14,0.0,0.0,-1.0,0.0,25.0,23.0,25.0,-1.0,24.0,-1.0
2024-05-13,0.0,0.0,-1.0,2.0,28.0,27.0,30.0,-1.0,35.0,-1.0
2024-05-12,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-11,0.0,0.0,-1.0,1.0,0.0,0.0,2.0,-1.0,9.0,-1.0
2024-05-10,-1.0,1.0,3.0,5.0,3.0,2.0,6.0,-1.0,4.0,-1.0
2024-05-09,-1.0,2.0,3.0,3.0,0.0,0.0,1.0,-1.0,3.0,-1.0
2024-05-08,-1.0,4.0,4.0,4.0,25.0,24.0,26.0,-1.0,26.0,-1.0
2024-05-07,-1.0,1.0,2.0,3.0,0.0,0.0,0.0,-1.0,0.0,-1.0
2024-05-06,-1.0,0.0,1.0,2.0,19.0,18.0,22.0,-1.0,22.0,-1.0
