date,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,8.0,8.0,4.0,5.0,30.0,31.0,28.0,26.0,23.0,20.0,11.0,11.0,9.0,-1.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,2.0,0.0,1.0,17.0,20.0,104.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,16.0,16.0,18.0,22.0,21.0,22.0,19.0,18.0,16.0,17.0,13.0,12.0,14.0,-1.0
2024-05-26,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,62.0,63.0,63.0,61.0,62.0,64.0,64.0,62.0,61.0,62.0,58.0,52.0,53.0,51.0,-1.0
2024-05-25,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,5.0,2.0,3.0,2.0,1.0,3.0,3.0,0.0,1.0,6.0,-1.0
2024-05-24,-1.0,3.0,0.0,1.0,2.0,5.0,2.0,2.0,0.0,2.0,0.0,2.0,19.0,19.0,16.0,15.0,12.0,6.0,1.0,2.0,4.0,-1.0
2024-05-23,-1.0,7.0,5.0,5.0,8.0,9.0,8.0,9.0,5.0,11.0,16.0,20.0,40.0,41.0,38.0,39.0,36.0,37.0,34.0,34.0,38.0,-1.0
2024-05-22,-1.0,7.0,5.0,5.0,6.0,8.0,7.0,7.0,5.0,5.0,3.0,5.0,6.0,8.0,3.0,2.0,0.0,6.0,2.0,3.0,3.0,-1.0
2024-05-21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,3.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,-1.0
2024-05-20,-1.0,5.0,3.0,3.0,5.0,7.0,15.0,16.0,17.0,18.0,18.0,24.0,20.0,20.0,17.0,15.0,14.0,8.0,7.0,7.0,15.0,-1.0
2024-05-19,-1.0,4.0,1.0,2.0,2.0,13.0,17.0,18.0,21.0,21.0,20.0,26.0,28.0,28.0,29.0,28.0,27.0,21.0,14.0,14.0,17.0,-1.0
2024-05-18,-1.0,16.0,12.0,14.0,12.0,12.0,23.0,24.0,20.0,19.0,18.0,19.0,17.0,17.0,12.0,10.0,4.0,6.0,2.0,1.0,2.0,-1.0
2024-05-17,-1.0,9.0,8.0,8.0,7.0,8.0,12.0,50.0,58.0,60.0,58.0,59.0,60.0,61.0,58.0,57.0,59.0,54.0,53.0,53.0,53.0,-1.0
2024-05-16,-1.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,2.0,4.0,5.0,3.0,6.0,4.0,2.0,2.0,0.0,-1.0
2024-05-15,-1.0,2.0,0.0,1.0,2.0,2.0,6.0,7.0,2.0,2.0,2.0,6.0,22.0,23.0,20.0,19.0,22.0,29.0,28.0,28.0,31.0,-1.0
2024-05-14,-1.0,8.0,5.0,5.0,8.0,10.0,30.0,31.0,26.0,26.0,24.0,27.0,24.0,25.0,21.0,20.0,23.0,19.0,13.0,13.0,10.0,-1.0
2024-05-13,-1.0,6.0,4.0,4.0,5.0,9.0,7.0,8.0,4.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,3.0,5.0,-1.0
