date,Enkhuizen.in,Enkhuizen.out,Bovenkarspel_Flora.in,Bovenkarspel_Flora.out,Bovenkarspel-Grootebroek.in,Bovenkarspel-Grootebroek.out,Warnemünde.in,Warnemünde.out,Hoogkarspel.in,Hoogkarspel.out,Rostock_Hbf.in,Rostock_Hbf.out,Hoorn_Kersenboogerd.in,Hoorn_Kersenboogerd.out,Hoorn.in,Hoorn.out,Amsterdam_Sloterdijk.in,Amsterdam_Sloterdijk.out,Amsterdam_Centraal.in,Amsterdam_Centraal.out,Amsterdam_Bijlmer_ArenA.in,Amsterdam_Bijlmer_ArenA.out,Utrecht_Centraal.in,Utrecht_Centraal.out,’s-Hertogenbosch.in,’s-Hertogenbosch.out,Eindhoven_Centraal.in,Eindhoven_Centraal.out,Weert.in,Weert.out,Roermond.in,Roermond.out,Sittard.in,Sittard.out,Maastricht.in,Maastricht.out,Schwerin_Hbf.in,Schwerin_Hbf.out,Waren(Müritz).in,Waren(Müritz).out,Neustrelitz_Hbf.in,Neustrelitz_Hbf.out,Oranienburg.in,Oranienburg.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Flughafen_BER.in,Flughafen_BER.out,Doberlug-Kirchhain.in,Doberlug-Kirchhain.out,Elsterwerda.in,Elsterwerda.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-05-19,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,21.0,21.0,22.0,20.0,19.0,19.0,23.0,24.0,26.0,26.0,27.0,-1.0
2024-05-18,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,5.0,6.0,5.0,6.0,-1.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,7.0,7.0,6.0,5.0,7.0,7.0,6.0,5.0,5.0,11.0,-1.0,-1.0,-1.0,-1.0,67.0,66.0,66.0,-1.0
2024-05-16,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,16.0,0.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,2.0,1.0,0.0,0.0,4.0,6.0,5.0,5.0,4.0,2.0,2.0,1.0,2.0,2.0,7.0,6.0,6.0,-1.0
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,30.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,20.0,21.0,16.0,25.0,30.0,30.0,30.0,31.0,30.0,29.0,30.0,29.0,27.0,27.0,30.0,30.0,33.0,32.0,32.0,-1.0
2024-05-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,5.0,4.0,-1.0
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,10.0,8.0,9.0,9.0,7.0,5.0,8.0,8.0,8.0,11.0,13.0,13.0,12.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,11.0,12.0,7.0,7.0,9.0,10.0,10.0,12.0,12.0,12.0,13.0,13.0,12.0,11.0,11.0,11.0,13.0,13.0,13.0,-1.0
2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,22.0,21.0,24.0,24.0,32.0,32.0,33.0,33.0,35.0,35.0,35.0,-1.0
