date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Herford.in,Herford.out,Bad_Oeynhausen.in,Bad_Oeynhausen.out,Minden(Westf).in,Minden(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Köthen.in,Köthen.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Leipzig/Halle_Flughafen.in,Leipzig/Halle_Flughafen.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Riesa.in,Riesa.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-05-30,-1.0,1.0,0.0,0.0,2.0,4.0,2.0,2.0,10.0,10.0,7.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,9.0,9.0,11.0,11.0,0.0,0.0,7.0,7.0,12.0,12.0,19.0,16.0,18.0,17.0,18.0,18.0,19.0,19.0,17.0,17.0,16.0,16.0,15.0,15.0,11.0,7.0,4.0,40.0,47.0,45.0,51.0,50.0,51.0,44.0,44.0,45.0,45.0,36.0,42.0,43.0,48.0,47.0,45.0,-1.0
2024-05-29,-1.0,1.0,0.0,0.0,2.0,4.0,2.0,3.0,19.0,20.0,26.0,26.0,48.0,47.0,0.0,0.0,0.0,0.0,53.0,53.0,58.0,59.0,0.0,0.0,55.0,55.0,56.0,56.0,67.0,64.0,68.0,68.0,71.0,71.0,70.0,71.0,68.0,69.0,68.0,69.0,69.0,70.0,67.0,51.0,55.0,55.0,59.0,57.0,61.0,60.0,60.0,53.0,53.0,53.0,54.0,51.0,51.0,51.0,63.0,63.0,61.0,-1.0
2024-05-28,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,5.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,13.0,13.0,13.0,18.0,22.0,22.0,25.0,19.0,19.0,20.0,20.0,12.0,14.0,15.0,15.0,15.0,14.0,-1.0
2024-05-27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,19.0,19.0,19.0,18.0,22.0,22.0,27.0,21.0,21.0,21.0,19.0,10.0,9.0,10.0,11.0,11.0,19.0,-1.0
2024-05-26,-1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,6.0,6.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,6.0,6.0,-1.0,-1.0,24.0,24.0,32.0,31.0,38.0,38.0,39.0,36.0,36.0,37.0,35.0,34.0,32.0,34.0,31.0,32.0,33.0,33.0,34.0,35.0,35.0,21.0,20.0,20.0,19.0,17.0,19.0,18.0,20.0,13.0,13.0,14.0,14.0,4.0,2.0,3.0,8.0,8.0,5.0,-1.0
2024-05-25,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,4.0,4.0,10.0,6.0,6.0,0.0,0.0,0.0,0.0,12.0,13.0,14.0,14.0,0.0,0.0,11.0,10.0,12.0,12.0,12.0,7.0,8.0,9.0,7.0,7.0,5.0,6.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,7.0,7.0,5.0,11.0,15.0,14.0,14.0,8.0,-1.0,-1.0,39.0,30.0,34.0,35.0,38.0,38.0,37.0,-1.0
2024-05-24,-1.0,7.0,5.0,5.0,3.0,5.0,3.0,5.0,8.0,8.0,28.0,28.0,53.0,54.0,0.0,0.0,0.0,0.0,62.0,62.0,69.0,77.0,0.0,0.0,74.0,74.0,73.0,75.0,77.0,72.0,72.0,72.0,73.0,72.0,76.0,76.0,73.0,74.0,74.0,74.0,73.0,76.0,83.0,68.0,66.0,66.0,70.0,78.0,84.0,84.0,85.0,78.0,79.0,80.0,80.0,75.0,89.0,90.0,90.0,88.0,92.0,-1.0
2024-05-23,-1.0,3.0,2.0,3.0,1.0,4.0,4.0,5.0,11.0,11.0,10.0,9.0,14.0,13.0,0.0,0.0,0.0,0.0,17.0,18.0,19.0,19.0,0.0,0.0,15.0,15.0,18.0,18.0,23.0,20.0,21.0,21.0,22.0,21.0,28.0,30.0,27.0,27.0,26.0,27.0,26.0,27.0,28.0,13.0,15.0,15.0,17.0,14.0,21.0,19.0,26.0,20.0,19.0,19.0,19.0,14.0,13.0,14.0,16.0,15.0,13.0,-1.0
2024-05-22,-1.0,0.0,0.0,1.0,0.0,2.0,2.0,5.0,5.0,5.0,7.0,7.0,7.0,6.0,0.0,0.0,0.0,0.0,10.0,11.0,10.0,10.0,0.0,0.0,8.0,8.0,8.0,8.0,6.0,2.0,3.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,1.0,1.0,2.0,5.0,6.0,9.0,8.0,11.0,5.0,5.0,7.0,7.0,1.0,0.0,2.0,4.0,3.0,1.0,-1.0
2024-05-21,-1.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,3.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,4.0,4.0,3.0,1.0,15.0,15.0,16.0,10.0,9.0,10.0,11.0,2.0,0.0,0.0,2.0,2.0,0.0,-1.0
