date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Bremen_Hbf.in,Bremen_Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Montabaur.in,Montabaur.out,Limburg_Süd.in,Limburg_Süd.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Köln_Hbf.in,Köln_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Augsburg_Hbf.in,Augsburg_Hbf.out,München-Pasing.in,München-Pasing.out,München_Hbf.in,München_Hbf.out
2024-05-13,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,16.0,10.0,9.0,15.0,40.0,46.0,44.0,56.0,56.0,61.0,62.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,64.0,60.0,62.0,64.0,58.0,58.0,59.0,59.0,61.0,62.0,62.0,59.0,58.0,71.0,-1.0
2024-05-12,-1.0,1.0,0.0,0.0,1.0,2.0,6.0,7.0,3.0,3.0,1.0,2.0,4.0,6.0,3.0,2.0,3.0,5.0,13.0,14.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,26.0,21.0,23.0,49.0,48.0,46.0,46.0,35.0,37.0,38.0,37.0,34.0,33.0,30.0,-1.0
2024-05-11,-1.0,1.0,1.0,2.0,3.0,3.0,7.0,9.0,4.0,6.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,4.0,5.0,17.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,28.0,29.0,31.0,26.0,24.0,24.0,10.0,11.0,11.0,9.0,7.0,7.0,5.0,-1.0
2024-05-10,-1.0,5.0,12.0,13.0,6.0,16.0,15.0,19.0,13.0,13.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,18.0,19.0,19.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,16.0,18.0,21.0,18.0,18.0,18.0,10.0,10.0,8.0,6.0,3.0,3.0,2.0,-1.0
2024-05-08,-1.0,2.0,0.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,10.0,11.0,9.0,9.0,13.0,12.0,15.0,15.0,18.0,18.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,9.0,11.0,13.0,18.0,16.0,15.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,-1.0
2024-05-07,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,5.0,4.0,7.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,12.0,14.0,17.0,12.0,12.0,13.0,5.0,5.0,5.0,4.0,1.0,1.0,0.0,-1.0
2024-05-05,-1.0,18.0,20.0,21.0,21.0,67.0,67.0,75.0,71.0,71.0,65.0,67.0,66.0,67.0,65.0,63.0,69.0,70.0,76.0,75.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,73.0,74.0,77.0,75.0,78.0,77.0,64.0,64.0,62.0,60.0,58.0,57.0,54.0,-1.0
2024-04-29,-1.0,0.0,0.0,-1.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,14.0,15.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,17.0,25.0,24.0,19.0,20.0,19.0,8.0,9.0,13.0,13.0,11.0,11.0,7.0,-1.0
2024-04-28,-1.0,10.0,5.0,11.0,11.0,12.0,16.0,16.0,10.0,10.0,4.0,4.0,3.0,5.0,3.0,2.0,4.0,4.0,7.0,8.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,6.0,6.0,14.0,14.0,3.0,4.0,5.0,5.0,4.0,4.0,0.0,-1.0
2024-04-27,-1.0,15.0,13.0,12.0,12.0,15.0,14.0,21.0,16.0,16.0,13.0,45.0,34.0,35.0,49.0,48.0,59.0,60.0,67.0,68.0,66.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,72.0,68.0,69.0,92.0,87.0,86.0,85.0,73.0,74.0,73.0,72.0,69.0,69.0,66.0,-1.0
2024-04-26,-1.0,15.0,13.0,13.0,13.0,13.0,15.0,15.0,12.0,12.0,4.0,5.0,7.0,7.0,6.0,5.0,14.0,13.0,16.0,16.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,25.0,30.0,32.0,35.0,32.0,29.0,43.0,-1.0,-1.0,125.0,124.0,123.0,122.0,125.0,-1.0
2024-04-25,-1.0,15.0,14.0,15.0,14.0,14.0,18.0,20.0,17.0,18.0,16.0,17.0,15.0,15.0,23.0,22.0,29.0,32.0,61.0,63.0,62.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,60.0,59.0,59.0,64.0,59.0,58.0,60.0,48.0,52.0,48.0,48.0,45.0,44.0,42.0,-1.0
2024-04-24,-1.0,3.0,2.0,10.0,14.0,15.0,17.0,18.0,12.0,11.0,6.0,6.0,4.0,4.0,6.0,4.0,6.0,6.0,12.0,13.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,8.0,9.0,15.0,12.0,11.0,11.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-23,-1.0,26.0,26.0,26.0,27.0,27.0,29.0,30.0,24.0,24.0,17.0,17.0,17.0,17.0,21.0,19.0,19.0,17.0,29.0,28.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,23.0,23.0,24.0,30.0,28.0,27.0,26.0,10.0,10.0,7.0,7.0,8.0,8.0,5.0,-1.0
2024-04-22,-1.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,8.0,9.0,8.0,9.0,14.0,16.0,19.0,17.0,24.0,22.0,30.0,30.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,43.0,50.0,52.0,55.0,51.0,49.0,49.0,44.0,45.0,42.0,42.0,41.0,41.0,38.0,-1.0
2024-04-21,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,10.0,9.0,9.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,6.0,8.0,9.0,9.0,8.0,6.0,8.0,5.0,6.0,13.0,15.0,11.0,-1.0
2024-04-20,-1.0,1.0,0.0,-1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,7.0,7.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,10.0,11.0,20.0,15.0,20.0,18.0,4.0,5.0,0.0,0.0,4.0,4.0,2.0,-1.0
2024-04-19,-1.0,1.0,0.0,-1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,7.0,5.0,5.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,7.0,16.0,11.0,17.0,16.0,16.0,17.0,13.0,13.0,29.0,-1.0,0.0,0.0
2024-04-18,-1.0,0.0,3.0,3.0,6.0,7.0,6.0,7.0,9.0,9.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,16.0,16.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,14.0,16.0,27.0,22.0,22.0,22.0,7.0,8.0,5.0,5.0,9.0,-1.0,0.0,0.0
2024-04-17,-1.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,2.0,2.0,1.0,1.0,0.0,1.0,6.0,4.0,6.0,4.0,8.0,9.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,10.0,12.0,20.0,15.0,15.0,14.0,23.0,23.0,25.0,26.0,25.0,-1.0,0.0,0.0
2024-04-15,-1.0,17.0,16.0,16.0,16.0,16.0,17.0,18.0,15.0,15.0,20.0,20.0,18.0,22.0,20.0,19.0,18.0,16.0,21.0,22.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,22.0,25.0,39.0,34.0,33.0,37.0,25.0,25.0,22.0,22.0,21.0,-1.0,0.0,0.0
2024-04-14,-1.0,1.0,20.0,19.0,19.0,19.0,23.0,24.0,22.0,22.0,18.0,18.0,17.0,25.0,28.0,27.0,28.0,35.0,36.0,36.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,35.0,34.0,36.0,38.0,33.0,30.0,29.0,28.0,31.0,35.0,34.0,37.0,36.0,36.0,-1.0
2024-04-13,-1.0,1.0,0.0,-1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,4.0,3.0,3.0,3.0,4.0,9.0,11.0,10.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,6.0,8.0,11.0,9.0,13.0,73.0,-1.0,-1.0,179.0,180.0,182.0,182.0,179.0,-1.0
2024-04-12,-1.0,0.0,2.0,3.0,3.0,3.0,5.0,6.0,5.0,5.0,1.0,2.0,1.0,2.0,6.0,6.0,7.0,7.0,7.0,8.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.0,5.0,3.0,1.0,8.0,10.0,5.0,6.0,6.0,4.0,9.0,9.0,5.0,-1.0
2024-04-10,-1.0,0.0,0.0,-1.0,0.0,8.0,9.0,9.0,9.0,9.0,3.0,4.0,2.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,23.0,81.0,0.0,0.0,74.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,72.0,80.0,84.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-03,-1.0,0.0,19.0,19.0,20.0,20.0,22.0,23.0,22.0,23.0,17.0,17.0,16.0,17.0,16.0,14.0,15.0,16.0,22.0,23.0,63.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,97.0,107.0,110.0,114.0,109.0,113.0,112.0,102.0,103.0,121.0,121.0,120.0,119.0,117.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,6.0,7.0,9.0,11.0,12.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,12.0,15.0,18.0,14.0,-1.0,-1.0,0.0,1.0,19.0,21.0,18.0,19.0,15.0,-1.0
2024-04-01,-1.0,0.0,0.0,-1.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,2.0,3.0,5.0,5.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,5.0,5.0,2.0,4.0,3.0,1.0,1.0,21.0,21.0,21.0,21.0,20.0,-1.0
