date,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Unna.in,Unna.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Soest.in,Soest.out,Lippstadt.in,Lippstadt.out,Paderborn_Hbf.in,Paderborn_Hbf.out,Altenbeken.in,Altenbeken.out,Warburg(Westf).in,Warburg(Westf).out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,14.0,28.0,36.0,36.0,36.0,33.0,35.0,34.0,34.0,35.0,35.0,38.0,35.0,35.0,35.0,35.0,34.0,35.0,33.0,33.0,30.0,27.0,26.0,25.0,20.0,-1.0
2024-05-17,-1.0,2.0,4.0,8.0,7.0,10.0,-1.0,0.0,10.0,4.0,4.0,5.0,4.0,5.0,1.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,0.0,0.0,4.0,7.0,5.0,6.0,7.0,2.0,6.0,5.0,5.0,6.0,6.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,40.0,41.0,40.0,37.0,-1.0
2024-05-16,-1.0,0.0,7.0,5.0,2.0,2.0,-1.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,8.0,7.0,2.0,-1.0
2024-05-15,-1.0,0.0,0.0,9.0,6.0,9.0,-1.0,0.0,9.0,2.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,7.0,8.0,2.0,7.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-14,-1.0,1.0,1.0,4.0,2.0,3.0,-1.0,0.0,4.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,9.0,0.0,0.0,8.0,8.0,6.0,6.0,10.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,3.0,3.0,4.0,3.0,7.0,7.0,5.0,6.0,1.0,6.0,12.0,12.0,6.0,-1.0
2024-05-13,-1.0,1.0,3.0,4.0,1.0,1.0,-1.0,0.0,1.0,1.0,0.0,1.0,19.0,19.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,22.0,23.0,0.0,0.0,24.0,25.0,22.0,23.0,24.0,22.0,26.0,25.0,24.0,24.0,24.0,22.0,20.0,20.0,19.0,18.0,17.0,17.0,15.0,14.0,11.0,5.0,4.0,4.0,2.0,-1.0
2024-05-12,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,-1.0
2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,8.0,8.0,3.0,2.0,6.0,4.0,0.0,-1.0
2024-05-10,-1.0,0.0,5.0,3.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,-1.0
2024-05-09,-1.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,16.0,15.0,14.0,11.0,-1.0
