date,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out,Pforzheim_Hbf.in,Pforzheim_Hbf.out,Mühlacker.in,Mühlacker.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Schwäbisch_Gmünd.in,Schwäbisch_Gmünd.out,Aalen_Hbf.in,Aalen_Hbf.out,Ellwangen.in,Ellwangen.out,Crailsheim.in,Crailsheim.out,Ansbach.in,Ansbach.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out
2024-05-13,-1.0,21.0,24.0,24.0,23.0,22.0,21.0,21.0,20.0,20.0,21.0,21.0,19.0,19.0,24.0,24.0,26.0,25.0,24.0,25.0,20.0,-1.0
2024-05-12,-1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,5.0,0.0,-1.0
2024-05-11,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,14.0,14.0,19.0,-1.0
2024-05-10,-1.0,6.0,7.0,9.0,8.0,7.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,20.0,21.0,19.0,-1.0
2024-05-09,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,15.0,16.0,16.0,16.0,14.0,15.0,14.0,14.0,15.0,15.0,24.0,24.0,19.0,-1.0
2024-05-07,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,0.0,-1.0
2024-05-06,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,4.0,6.0,4.0,5.0,6.0,5.0,4.0,4.0,0.0,-1.0
2024-05-05,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,8.0,8.0,8.0,11.0,11.0,12.0,11.0,11.0,11.0,5.0,-1.0
2024-05-04,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,5.0,5.0,4.0,4.0,0.0,-1.0
2024-05-03,-1.0,1.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,5.0,6.0,5.0,5.0,6.0,5.0,4.0,4.0,0.0,-1.0
2024-04-30,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,3.0,3.0,7.0,8.0,13.0,13.0,13.0,15.0,15.0,13.0,15.0,13.0,-1.0
2024-04-29,-1.0,5.0,6.0,7.0,5.0,5.0,4.0,3.0,2.0,4.0,4.0,5.0,3.0,6.0,5.0,6.0,7.0,7.0,7.0,8.0,1.0,-1.0
2024-04-28,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,-1.0
2024-04-27,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,-1.0
2024-04-26,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,19.0,24.0,24.0,22.0,22.0,27.0,28.0,35.0,34.0,32.0,33.0,28.0,-1.0
2024-04-25,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4.0,5.0,3.0,6.0,10.0,11.0,13.0,14.0,13.0,13.0,12.0,-1.0
2024-04-24,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,6.0,0.0,-1.0
2024-04-23,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,-1.0
2024-04-22,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,7.0,9.0,9.0,10.0,10.0,10.0,11.0,12.0,10.0,9.0,9.0,7.0,-1.0
2024-04-21,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,9.0,9.0,71.0,71.0,67.0,68.0,97.0,96.0,95.0,96.0,92.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-19,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,8.0,9.0,9.0,10.0,10.0,12.0,11.0,11.0,11.0,13.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,0.0,-1.0
2024-04-17,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,7.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,4.0,-1.0
2024-04-15,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,0.0,-1.0
2024-04-14,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,0.0,-1.0
2024-04-13,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,4.0,4.0,2.0,2.0,14.0,17.0,19.0,18.0,17.0,19.0,21.0,-1.0
2024-04-12,-1.0,13.0,0.0,0.0,0.0,0.0,11.0,10.0,9.0,9.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,4.0,0.0,-1.0
2024-04-11,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,6.0,5.0,6.0,4.0,8.0,12.0,11.0,10.0,11.0,11.0,-1.0
2024-04-10,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,0.0,-1.0
2024-04-09,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,0.0,-1.0
2024-04-08,-1.0,13.0,0.0,0.0,0.0,0.0,7.0,6.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,0.0,-1.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,1.0,-1.0
2024-04-06,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,0.0,-1.0
2024-04-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,4.0,0.0,-1.0
