date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Remagen.in,Remagen.out,Andernach.in,Andernach.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Bingen(Rhein)_Hbf.in,Bingen(Rhein)_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out
2024-05-13,-1.0,2.0,-1.0,3.0,3.0,3.0,2.0,2.0,-1.0,-1.0,77.0,79.0,79.0,80.0,0.0,0.0,0.0,0.0,92.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-12,-1.0,2.0,-1.0,1.0,0.0,28.0,0.0,1.0,16.0,17.0,22.0,22.0,23.0,23.0,0.0,0.0,0.0,0.0,24.0,25.0,27.0,27.0,28.0,28.0,30.0,29.0,28.0,28.0,30.0,30.0,28.0,28.0,32.0,33.0,33.0,33.0,27.0,-1.0
2024-05-11,-1.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0,10.0,12.0,15.0,16.0,41.0,41.0,0.0,0.0,0.0,0.0,41.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,-1.0,1.0,1.0,5.0,3.0,3.0,11.0,12.0,8.0,9.0,9.0,9.0,10.0,10.0,0.0,0.0,0.0,0.0,9.0,9.0,10.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,-1.0,5.0,-1.0,7.0,3.0,3.0,0.0,0.0,1.0,1.0,5.0,5.0,14.0,14.0,0.0,0.0,0.0,0.0,18.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,-1.0,1.0,-1.0,2.0,0.0,1.0,1.0,2.0,7.0,7.0,16.0,16.0,17.0,17.0,0.0,0.0,0.0,0.0,17.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,-1.0,3.0,2.0,1.0,1.0,1.0,8.0,7.0,2.0,3.0,16.0,17.0,23.0,23.0,0.0,0.0,0.0,0.0,22.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-05,-1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,5.0,16.0,15.0,21.0,21.0,0.0,0.0,0.0,0.0,17.0,17.0,20.0,19.0,21.0,20.0,19.0,18.0,18.0,18.0,19.0,18.0,13.0,13.0,15.0,16.0,23.0,23.0,26.0,-1.0
2024-05-04,-1.0,1.0,-1.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,20.0,20.0,23.0,22.0,0.0,0.0,0.0,0.0,28.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,-1.0,6.0,-1.0,4.0,8.0,9.0,18.0,17.0,21.0,22.0,48.0,49.0,54.0,54.0,0.0,0.0,0.0,0.0,55.0,57.0,57.0,56.0,67.0,66.0,68.0,67.0,66.0,68.0,69.0,69.0,71.0,72.0,78.0,79.0,-1.0,-1.0,64.0,-1.0
