date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Mainz_Hbf.in,Mainz_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Andernach.in,Andernach.out,Remagen.in,Remagen.out,Bonn_Hbf.in,Bonn_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-12,-1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,-1.0
2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,2.0,-1.0,-1.0,58.0,59.0,-1.0,190.0,191.0,191.0,190.0,-1.0
2024-05-08,-1.0,5.0,2.0,2.0,1.0,2.0,0.0,0.0,8.0,6.0,4.0,3.0,0.0,0.0,3.0,3.0,2.0,4.0,3.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,8.0,9.0,8.0,8.0,4.0,3.0,22.0,22.0,26.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,15.0,15.0,13.0,13.0,16.0,15.0,2.0,3.0,3.0,5.0,2.0,-1.0
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,5.0,5.0,5.0,8.0,9.0,18.0,19.0,25.0,24.0,12.0,12.0,17.0,16.0,15.0,-1.0
2024-05-05,-1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,6.0,14.0,14.0,5.0,6.0,6.0,6.0,7.0,-1.0
2024-05-04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,7.0,12.0,12.0,10.0,9.0,8.0,7.0,2.0,1.0,0.0,0.0,0.0,-1.0
2024-05-03,-1.0,2.0,8.0,8.0,8.0,8.0,0.0,0.0,10.0,8.0,11.0,11.0,0.0,0.0,10.0,11.0,10.0,11.0,10.0,10.0,12.0,13.0,9.0,9.0,9.0,10.0,68.0,70.0,72.0,71.0,12.0,11.0,10.0,10.0,9.0,-1.0
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,5.0,4.0,5.0,5.0,6.0,5.0,31.0,30.0,24.0,23.0,1.0,0.0,0.0,-1.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,5.0,4.0,4.0,4.0,5.0,4.0,6.0,5.0,38.0,36.0,0.0,0.0,2.0,-1.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,9.0,12.0,12.0,20.0,20.0,16.0,18.0,32.0,32.0,27.0,26.0,25.0,25.0,23.0,-1.0
