date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out
2024-05-20,-1.0,2.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,-1.0
2024-05-18,-1.0,2.0,2.0,1.0,0.0,1.0,6.0,7.0,6.0,6.0,21.0,22.0,25.0,27.0,23.0,22.0,24.0,26.0,24.0,24.0,22.0,22.0,25.0,25.0,26.0,-1.0
2024-05-17,-1.0,1.0,-1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,4.0,3.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-16,-1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,20.0,-1.0,-1.0,33.0,34.0,32.0,32.0,31.0,30.0,29.0,-1.0
2024-05-15,-1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,9.0,9.0,11.0,12.0,12.0,12.0,7.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,0.0,-1.0
2024-05-14,-1.0,7.0,7.0,4.0,4.0,5.0,0.0,1.0,8.0,9.0,12.0,12.0,11.0,13.0,7.0,7.0,8.0,8.0,8.0,7.0,14.0,14.0,14.0,14.0,14.0,-1.0
2024-05-13,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,-1.0,-1.0,64.0,67.0,62.0,64.0,66.0,66.0,64.0,65.0,63.0,63.0,63.0,63.0,61.0,-1.0
2024-05-12,-1.0,6.0,-1.0,4.0,4.0,3.0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,9.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,21.0,24.0,23.0,22.0,-1.0
2024-05-11,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,13.0,8.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,-1.0
2024-05-10,-1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,8.0,9.0,9.0,11.0,8.0,7.0,6.0,7.0,6.0,6.0,4.0,3.0,3.0,2.0,2.0,-1.0
2024-05-09,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,7.0,8.0,10.0,11.0,12.0,14.0,10.0,9.0,9.0,9.0,8.0,9.0,7.0,8.0,11.0,11.0,9.0,-1.0
2024-05-08,-1.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,10.0,25.0,26.0,27.0,34.0,30.0,29.0,32.0,32.0,31.0,31.0,30.0,31.0,33.0,33.0,32.0,-1.0
2024-05-07,-1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,19.0,19.0,19.0,21.0,19.0,19.0,20.0,20.0,18.0,22.0,20.0,21.0,24.0,24.0,24.0,-1.0
2024-05-06,-1.0,1.0,-1.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,14.0,14.0,17.0,19.0,21.0,21.0,23.0,24.0,24.0,24.0,24.0,25.0,-1.0,28.0,25.0,-1.0
2024-05-05,-1.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,14.0,14.0,15.0,-1.0
2024-05-04,-1.0,1.0,-1.0,16.0,2.0,18.0,14.0,15.0,11.0,11.0,16.0,17.0,27.0,27.0,23.0,23.0,23.0,23.0,24.0,24.0,23.0,24.0,28.0,30.0,30.0,-1.0
2024-05-03,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,32.0,33.0,33.0,37.0,38.0,38.0,39.0,39.0,38.0,40.0,40.0,38.0,38.0,37.0,37.0,40.0,40.0,39.0,-1.0
2024-05-02,-1.0,1.0,-1.0,5.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,6.0,7.0,5.0,5.0,6.0,7.0,10.0,9.0,13.0,-1.0
2024-05-01,-1.0,0.0,-1.0,3.0,-1.0,3.0,1.0,2.0,0.0,0.0,3.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,5.0,6.0,5.0,5.0,8.0,8.0,6.0,-1.0
2024-04-30,-1.0,7.0,-1.0,5.0,4.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,9.0,13.0,13.0,14.0,14.0,12.0,12.0,10.0,10.0,15.0,15.0,14.0,-1.0
