date,Wiesbaden_Hbf.in,Wiesbaden_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Messe/Laatzen.in,Hannover_Messe/Laatzen.out,Hannover_Hbf.in,Hannover_Hbf.out,Celle.in,Celle.out,Uelzen.in,Uelzen.out,Lüneburg.in,Lüneburg.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,13.0,14.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,48.0,48.0,16.0,22.0,17.0,13.0,0.0,0.0,4.0,4.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,115.0,-1.0
2024-05-10,-1.0,0.0,0.0,1.0,3.0,2.0,2.0,3.0,7.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-09,-1.0,1.0,0.0,0.0,1.0,2.0,8.0,8.0,9.0,22.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,6.0,5.0,5.0,5.0,1.0,1.0,4.0,-1.0
2024-05-07,-1.0,0.0,3.0,3.0,6.0,4.0,3.0,3.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,6.0,7.0,8.0,-1.0
2024-05-06,-1.0,0.0,0.0,1.0,7.0,5.0,3.0,4.0,4.0,4.0,2.0,2.0,5.0,2.0,0.0,0.0,7.0,6.0,5.0,6.0,3.0,2.0,0.0,0.0,5.0,-1.0,1.0,-1.0
2024-05-05,-1.0,1.0,0.0,0.0,1.0,1.0,2.0,5.0,-1.0,-1.0,0.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,7.0,20.0,-1.0
2024-05-04,-1.0,3.0,3.0,4.0,7.0,7.0,8.0,10.0,-1.0,-1.0,19.0,19.0,19.0,7.0,0.0,0.0,7.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-1.0
2024-05-03,-1.0,0.0,1.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-02,-1.0,1.0,1.0,1.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,-1.0
2024-05-01,-1.0,1.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,-1.0
2024-04-30,-1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0,14.0,15.0,12.0,12.0,13.0,13.0,9.0,10.0,10.0,-1.0
2024-04-29,-1.0,1.0,11.0,10.0,12.0,9.0,8.0,8.0,9.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,7.0,-1.0
2024-04-28,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-27,-1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,-1.0
2024-04-26,-1.0,0.0,0.0,1.0,2.0,2.0,4.0,9.0,9.0,8.0,3.0,15.0,11.0,5.0,4.0,5.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,-1.0
2024-04-25,-1.0,1.0,0.0,0.0,4.0,3.0,1.0,2.0,2.0,2.0,12.0,13.0,12.0,8.0,5.0,6.0,5.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,15.0,14.0,15.0,-1.0
2024-04-24,-1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,8.0,10.0,33.0,34.0,29.0,24.0,21.0,23.0,22.0,21.0,18.0,19.0,15.0,14.0,15.0,14.0,14.0,14.0,15.0,-1.0
2024-04-23,-1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,55.0,56.0,57.0,-1.0
2024-04-22,-1.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,5.0,4.0,10.0,10.0,9.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,6.0,7.0,7.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,4.0,5.0,-1.0
2024-04-19,-1.0,0.0,4.0,6.0,10.0,8.0,10.0,10.0,19.0,20.0,15.0,15.0,9.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,7.0,7.0,9.0,-1.0
2024-04-18,-1.0,0.0,0.0,1.0,2.0,1.0,1.0,10.0,10.0,9.0,90.0,90.0,97.0,96.0,0.0,0.0,90.0,88.0,86.0,86.0,81.0,81.0,79.0,79.0,83.0,83.0,86.0,-1.0
