date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Limburg_Süd.in,Limburg_Süd.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-19,-1.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,10.0,9.0,8.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,7.0,9.0,5.0,5.0,1.0,2.0,5.0,4.0,6.0,6.0,19.0,19.0,17.0,-1.0
2024-05-18,-1.0,0.0,-1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,6.0,15.0,14.0,12.0,12.0,6.0,7.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,-1.0
2024-05-17,-1.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,11.0,34.0,38.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,145.0,0.0,0.0,145.0,145.0,144.0,144.0,143.0,143.0,143.0,143.0,145.0,144.0,147.0,149.0,151.0,156.0,154.0,153.0,166.0,-1.0,-1.0,149.0,-1.0,-1.0
2024-05-16,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,22.0,0.0,0.0,36.0,36.0,34.0,34.0,39.0,39.0,44.0,43.0,44.0,43.0,85.0,87.0,86.0,87.0,82.0,82.0,83.0,82.0,84.0,83.0,81.0,-1.0
2024-05-15,-1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,5.0,4.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,12.0,13.0,11.0,11.0,11.0,11.0,10.0,9.0,9.0,8.0,5.0,6.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,2.0,-1.0
2024-05-14,-1.0,0.0,0.0,2.0,0.0,0.0,3.0,14.0,14.0,14.0,15.0,11.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,0.0,0.0,26.0,26.0,25.0,25.0,30.0,29.0,28.0,27.0,30.0,29.0,27.0,29.0,23.0,24.0,22.0,22.0,27.0,27.0,31.0,29.0,29.0,-1.0
2024-05-13,-1.0,2.0,2.0,3.0,0.0,0.0,4.0,5.0,23.0,23.0,24.0,32.0,38.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,43.0,0.0,0.0,45.0,46.0,45.0,44.0,46.0,46.0,45.0,44.0,44.0,42.0,40.0,41.0,35.0,36.0,33.0,32.0,34.0,34.0,35.0,35.0,33.0,-1.0
2024-05-12,-1.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,20.0,0.0,0.0,26.0,26.0,24.0,24.0,24.0,25.0,24.0,32.0,38.0,38.0,40.0,43.0,44.0,45.0,40.0,39.0,46.0,45.0,49.0,49.0,47.0,-1.0
2024-05-11,-1.0,7.0,6.0,8.0,3.0,4.0,1.0,2.0,5.0,5.0,2.0,4.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,0.0,0.0,22.0,22.0,20.0,19.0,20.0,21.0,19.0,18.0,18.0,17.0,15.0,15.0,16.0,16.0,11.0,11.0,12.0,11.0,14.0,13.0,10.0,-1.0
2024-05-10,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,0.0,0.0,27.0,37.0,40.0,55.0,55.0,56.0,55.0,55.0,56.0,56.0,59.0,58.0,53.0,54.0,50.0,49.0,53.0,52.0,54.0,53.0,52.0,-1.0
