date,Dresden_Hbf.in,Dresden_Hbf.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Riesa.in,Riesa.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Leipzig/Halle_Flughafen.in,Leipzig/Halle_Flughafen.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bad_Oeynhausen.in,Bad_Oeynhausen.out,Herford.in,Herford.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Gütersloh_Hbf.in,Gütersloh_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Hbf.in,Köln_Hbf.out,Remagen.in,Remagen.out,Andernach.in,Andernach.out,Bonn-Beuel.in,Bonn-Beuel.out,Bonn_Hbf.in,Bonn_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out
2024-05-30,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,8.0,7.0,8.0,7.0,0.0,0.0,12.0,12.0,14.0,12.0,11.0,11.0,10.0,10.0,0.0,0.0,0.0,0.0,-1.0,-1.0,27.0,27.0,12.0,-1.0
2024-05-29,-1.0,13.0,13.0,13.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,4.0,3.0,5.0,4.0,5.0,4.0,0.0,0.0,3.0,3.0,10.0,10.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,22.0,-1.0
2024-05-28,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,7.0,6.0,8.0,7.0,10.0,10.0,0.0,0.0,10.0,10.0,15.0,15.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,0.0,0.0,17.0,-1.0
2024-05-27,-1.0,1.0,7.0,7.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
2024-05-26,-1.0,1.0,1.0,2.0,8.0,8.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,3.0,16.0,17.0,16.0,19.0,20.0,21.0,21.0,0.0,0.0,23.0,24.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,36.0,-1.0
2024-05-25,-1.0,4.0,4.0,3.0,0.0,1.0,0.0,-1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,5.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0,1.0,2.0,5.0,5.0,2.0,2.0,2.0,1.0,5.0,4.0,0.0,0.0,8.0,8.0,7.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,0.0,0.0,12.0,-1.0
2024-05-24,-1.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,4.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,6.0,6.0,7.0,7.0,0.0,0.0,5.0,5.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,-1.0
2024-05-23,-1.0,0.0,0.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,4.0,2.0,0.0,13.0,11.0,6.0,16.0,16.0,14.0,14.0,13.0,13.0,14.0,15.0,18.0,19.0,19.0,19.0,26.0,25.0,28.0,28.0,29.0,29.0,0.0,0.0,28.0,28.0,28.0,28.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,34.0,-1.0
2024-05-22,-1.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,21.0,24.0,25.0,24.0,24.0,24.0,25.0,27.0,29.0,44.0,44.0,44.0,52.0,50.0,51.0,59.0,58.0,64.0,74.0,0.0,0.0,82.0,82.0,85.0,85.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,123.0,0.0,0.0,125.0,-1.0
2024-05-21,-1.0,6.0,5.0,7.0,7.0,7.0,10.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,10.0,9.0,0.0,0.0,11.0,11.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.0,0.0,17.0,-1.0
2024-05-20,-1.0,8.0,3.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,5.0,4.0,10.0,9.0,0.0,0.0,7.0,8.0,6.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,1.0,-1.0
2024-05-19,-1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,2.0,-1.0
