date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out
2024-05-30,-1.0,1.0,-1.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,4.0,4.0,6.0,7.0,6.0,5.0,7.0,7.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,-1.0
2024-05-29,-1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,13.0,21.0,20.0,22.0,22.0,21.0,21.0,19.0,20.0,20.0,20.0,19.0,-1.0
2024-05-28,-1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,9.0,9.0,7.0,6.0,7.0,9.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,1.0,0.0,-1.0,-1.0,-1.0
2024-05-27,-1.0,1.0,1.0,1.0,1.0,8.0,5.0,6.0,6.0,7.0,7.0,9.0,8.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,9.0,-1.0
2024-05-26,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,3.0,3.0,5.0,5.0,6.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,7.0,7.0,6.0,-1.0
2024-05-25,-1.0,6.0,-1.0,4.0,3.0,5.0,1.0,2.0,2.0,3.0,5.0,5.0,5.0,19.0,15.0,14.0,15.0,16.0,15.0,16.0,16.0,16.0,15.0,15.0,15.0,-1.0
2024-05-24,-1.0,1.0,-1.0,1.0,1.0,5.0,1.0,2.0,0.0,1.0,5.0,6.0,11.0,13.0,15.0,14.0,17.0,17.0,20.0,25.0,26.0,26.0,27.0,26.0,26.0,-1.0
2024-05-23,-1.0,35.0,34.0,35.0,34.0,35.0,33.0,34.0,30.0,30.0,33.0,34.0,41.0,42.0,41.0,39.0,39.0,41.0,39.0,39.0,37.0,38.0,37.0,37.0,36.0,-1.0
2024-05-22,-1.0,1.0,1.0,5.0,5.0,3.0,0.0,2.0,1.0,1.0,8.0,10.0,8.0,5.0,11.0,10.0,13.0,13.0,12.0,12.0,12.0,12.0,11.0,10.0,10.0,-1.0
2024-05-21,-1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,-1.0
2024-05-14,-1.0,1.0,1.0,2.0,1.0,5.0,4.0,4.0,1.0,35.0,39.0,38.0,37.0,41.0,37.0,36.0,36.0,36.0,38.0,40.0,39.0,40.0,40.0,39.0,44.0,-1.0
2024-05-13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
