date,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-04-28,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,-1.0
2024-04-27,-1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,24.0,26.0,23.0,25.0,21.0,22.0,15.0,15.0,15.0,14.0,12.0,-1.0
2024-04-26,-1.0,1.0,3.0,3.0,2.0,2.0,4.0,5.0,6.0,6.0,-1.0,-1.0,33.0,33.0,30.0,32.0,33.0,33.0,30.0,31.0,27.0,28.0,22.0,22.0,19.0,19.0,17.0,-1.0
2024-04-25,-1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,15.0,15.0,30.0,33.0,30.0,31.0,34.0,33.0,37.0,36.0,40.0,-1.0
2024-04-24,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,12.0,15.0,18.0,18.0,15.0,15.0,21.0,21.0,14.0,14.0,11.0,10.0,8.0,-1.0
2024-04-23,-1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,0.0,27.0,29.0,29.0,24.0,25.0,22.0,22.0,16.0,16.0,14.0,13.0,26.0,-1.0
2024-04-22,-1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,8.0,8.0,8.0,11.0,10.0,66.0,67.0,61.0,60.0,74.0,62.0,89.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,14.0,14.0,14.0,11.0,13.0,9.0,9.0,3.0,3.0,3.0,2.0,2.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,6.0,5.0,6.0,2.0,2.0,0.0,3.0,6.0,6.0,3.0,3.0,2.0,-1.0
2024-04-19,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,6.0,7.0,8.0,5.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,18.0,18.0,17.0,18.0,14.0,15.0,14.0,14.0,11.0,11.0,19.0,-1.0
2024-04-17,-1.0,0.0,1.0,5.0,4.0,3.0,9.0,10.0,9.0,9.0,7.0,7.0,5.0,4.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,-1.0
2024-04-16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-15,-1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0
2024-04-13,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,8.0,8.0,22.0,18.0,19.0,15.0,16.0,15.0,15.0,11.0,12.0,18.0,-1.0
2024-04-12,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,0.0,1.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-11,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,19.0,18.0,14.0,14.0,10.0,11.0,6.0,6.0,3.0,3.0,1.0,-1.0
2024-04-10,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,12.0,17.0,17.0,16.0,15.0,14.0,15.0,15.0,14.0,12.0,11.0,17.0,-1.0
2024-04-09,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,20.0,21.0,24.0,23.0,22.0,24.0,23.0,18.0,18.0,16.0,16.0,18.0,-1.0
2024-04-08,-1.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,38.0,40.0,39.0,44.0,45.0,59.0,61.0,54.0,55.0,53.0,52.0,51.0,-1.0
