date,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Oberhausen(Rheinl)Hbf.in,Oberhausen(Rheinl)Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Rheine.in,Rheine.out,Lingen/ZOB.in,Lingen/ZOB.out,Lingen(Ems).in,Lingen(Ems).out,Meppen.in,Meppen.out,Papenburg.in,Papenburg.out,Papenburg(Ems).in,Papenburg(Ems).out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out
2024-05-09,-1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2024-05-08,-1.0,2.0,10.0,6.0,5.0,4.0,4.0,3.0,0.0,0.0,3.0,3.0,5.0,4.0,5.0,5.0,8.0,9.0,10.0,10.0,10.0,9.0,7.0,7.0,5.0,5.0,6.0,6.0,4.0,4.0,3.0,-1.0
2024-05-07,-1.0,25.0,24.0,19.0,19.0,19.0,22.0,21.0,0.0,0.0,28.0,28.0,31.0,31.0,29.0,30.0,28.0,28.0,0.0,0.0,29.0,28.0,26.0,26.0,0.0,0.0,22.0,31.0,32.0,33.0,31.0,-1.0
2024-05-06,-1.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,5.0,5.0,6.0,5.0,4.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,-1.0
2024-04-26,-1.0,3.0,1.0,18.0,56.0,55.0,55.0,55.0,39.0,39.0,0.0,0.0,58.0,57.0,53.0,51.0,51.0,50.0,49.0,49.0,51.0,50.0,48.0,48.0,47.0,47.0,48.0,48.0,46.0,46.0,45.0,-1.0
2024-04-25,-1.0,9.0,10.0,15.0,17.0,16.0,15.0,14.0,14.0,14.0,0.0,0.0,24.0,24.0,22.0,21.0,24.0,23.0,23.0,23.0,24.0,23.0,21.0,21.0,17.0,17.0,18.0,18.0,16.0,17.0,14.0,-1.0
2024-04-17,-1.0,1.0,21.0,21.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,23.0,22.0,22.0,22.0,22.0,21.0,19.0,19.0,15.0,15.0,15.0,16.0,13.0,14.0,11.0,-1.0
2024-04-16,-1.0,2.0,5.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,17.0,16.0,0.0,0.0,18.0,17.0,15.0,15.0,11.0,11.0,12.0,12.0,10.0,11.0,10.0,-1.0
2024-04-15,-1.0,2.0,2.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,9.0,10.0,9.0,9.0,10.0,8.0,6.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,-1.0
2024-04-14,-1.0,2.0,4.0,9.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0
