date,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Köthen.in,Köthen.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Helmstedt.in,Helmstedt.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Nienburg(Weser).in,Nienburg(Weser).out,Minden(Westf).in,Minden(Westf).out,Verden(Aller).in,Verden(Aller).out,Bremen_Hbf.in,Bremen_Hbf.out,Delmenhorst.in,Delmenhorst.out,Hude.in,Hude.out,Oldenburg(Oldb)Hbf.in,Oldenburg(Oldb)Hbf.out,Bad_Zwischenahn.in,Bad_Zwischenahn.out,Westerstede-Ocholt.in,Westerstede-Ocholt.out,Augustfehn.in,Augustfehn.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Emden_Hbf.in,Emden_Hbf.out,Emden_Außenhafen.in,Emden_Außenhafen.out
2024-05-12,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,3.0,2.0,8.0,7.0,9.0,9.0,10.0,10.0,12.0,10.0,11.0,14.0,13.0,14.0,16.0,16.0,15.0,14.0,13.0,11.0,11.0,-1.0
2024-05-11,-1.0,77.0,82.0,77.0,79.0,79.0,79.0,77.0,76.0,76.0,74.0,73.0,77.0,57.0,52.0,51.0,0.0,0.0,52.0,52.0,57.0,55.0,55.0,54.0,54.0,54.0,54.0,52.0,53.0,53.0,52.0,52.0,51.0,51.0,50.0,47.0,50.0,-1.0,-1.0,-1.0
2024-05-10,-1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-09,-1.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,14.0,10.0,11.0,12.0,7.0,-1.0
2024-05-08,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,7.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,0.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,6.0,6.0,-1.0
2024-05-07,-1.0,1.0,0.0,5.0,5.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,3.0,7.0,5.0,5.0,1.0,4.0,-1.0
2024-05-06,-1.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,6.0,5.0,5.0,0.0,0.0,4.0,4.0,6.0,13.0,13.0,12.0,12.0,12.0,9.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,-1.0
2024-05-05,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,19.0,19.0,0.0,0.0,18.0,17.0,21.0,20.0,20.0,19.0,22.0,22.0,20.0,13.0,14.0,14.0,13.0,13.0,13.0,12.0,12.0,15.0,15.0,-1.0,-1.0,-1.0
2024-05-04,-1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,-1.0
2024-05-01,-1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,6.0,6.0,5.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-04-30,-1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,6.0,4.0,4.0,3.0,2.0,2.0,0.0,8.0,9.0,9.0,8.0,8.0,7.0,7.0,5.0,3.0,2.0,12.0,12.0,-1.0
2024-04-29,-1.0,2.0,3.0,0.0,1.0,1.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,8.0,7.0,7.0,8.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,1.0,1.0,1.0,1.0,-1.0
2024-04-24,-1.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,30.0,31.0,28.0,29.0,63.0,44.0,47.0,46.0,0.0,0.0,46.0,47.0,64.0,64.0,65.0,64.0,63.0,64.0,61.0,56.0,57.0,57.0,57.0,58.0,60.0,60.0,60.0,58.0,63.0,-1.0,63.0,-1.0
2024-04-23,-1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,19.0,17.0,19.0,22.0,22.0,-1.0
2024-04-22,-1.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,4.0,4.0,3.0,3.0,0.0,2.0,10.0,10.0,0.0,0.0,9.0,8.0,9.0,9.0,8.0,7.0,10.0,10.0,12.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,-1.0
2024-04-21,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,2.0,-1.0
2024-04-20,-1.0,0.0,1.0,1.0,0.0,0.0,9.0,7.0,6.0,6.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,-1.0
2024-04-19,-1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,7.0,7.0,11.0,11.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,-1.0
2024-04-18,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,-1.0
2024-04-17,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,30.0,31.0,31.0,30.0,30.0,31.0,13.0,19.0,18.0,0.0,0.0,16.0,15.0,16.0,16.0,17.0,16.0,17.0,17.0,15.0,9.0,12.0,12.0,11.0,11.0,10.0,11.0,10.0,7.0,10.0,9.0,9.0,-1.0
2024-04-16,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,6.0,2.0,5.0,-1.0
2024-04-15,-1.0,1.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,2.0,3.0,4.0,0.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,-1.0
2024-04-13,-1.0,1.0,2.0,1.0,0.0,0.0,6.0,6.0,8.0,9.0,7.0,7.0,4.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,-1.0
2024-04-12,-1.0,1.0,2.0,2.0,1.0,0.0,14.0,11.0,11.0,11.0,7.0,7.0,8.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,9.0,8.0,4.0,7.0,-1.0
2024-04-11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,13.0,12.0,0.0,0.0,11.0,10.0,8.0,8.0,9.0,8.0,8.0,9.0,10.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,0.0,-1.0
2024-04-10,-1.0,2.0,3.0,2.0,1.0,0.0,9.0,10.0,9.0,9.0,5.0,9.0,14.0,4.0,5.0,4.0,0.0,0.0,3.0,2.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,-1.0
2024-04-09,-1.0,0.0,2.0,2.0,2.0,1.0,14.0,12.0,16.0,16.0,12.0,12.0,12.0,2.0,5.0,5.0,0.0,0.0,5.0,4.0,2.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,-1.0
2024-04-08,-1.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,5.0,1.0,2.0,2.0,5.0,-1.0
2024-04-07,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,-1.0
2024-04-06,-1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,-1.0
2024-04-05,-1.0,1.0,2.0,1.0,0.0,0.0,6.0,3.0,5.0,4.0,1.0,3.0,0.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,-1.0
2024-04-04,-1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,1.0,4.0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,7.0,8.0,8.0,3.0,-1.0
2024-04-02,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,11.0,14.0,14.0,0.0,0.0,12.0,12.0,11.0,11.0,16.0,16.0,20.0,20.0,19.0,12.0,12.0,12.0,11.0,11.0,10.0,9.0,9.0,8.0,7.0,3.0,5.0,-1.0
2024-04-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,-1.0
