date,Dresden_Hbf.in,Dresden_Hbf.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Elsterwerda.in,Elsterwerda.out,Doberlug-Kirchhain.in,Doberlug-Kirchhain.out,Flughafen_BER.in,Flughafen_BER.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Oranienburg.in,Oranienburg.out,Neustrelitz_Hbf.in,Neustrelitz_Hbf.out,Waren(Müritz).in,Waren(Müritz).out,Schwerin_Hbf.in,Schwerin_Hbf.out,Rostock_Hbf.in,Rostock_Hbf.out,Warnemünde.in,Warnemünde.out
2024-05-30,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,3.0,1.0,0.0,1.0,4.0,4.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-29,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,10.0,8.0,8.0,9.0,8.0,7.0,6.0,11.0,11.0,6.0,6.0,6.0,6.0,0.0,0.0,3.0,0.0,0.0,-1.0
2024-05-27,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,10.0,13.0,13.0,21.0,86.0,85.0,84.0,84.0,84.0,79.0,78.0,78.0,77.0,0.0,0.0,73.0,-1.0,-1.0,-1.0
2024-05-26,-1.0,5.0,3.0,6.0,4.0,2.0,0.0,0.0,0.0,1.0,6.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-25,-1.0,1.0,1.0,1.0,6.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-24,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,6.0,7.0,6.0,11.0,11.0,16.0,16.0,17.0,17.0,11.0,11.0,10.0,10.0,0.0,0.0,5.0,1.0,0.0,-1.0
2024-05-23,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,9.0,9.0,9.0,14.0,15.0,15.0,16.0,16.0,10.0,10.0,10.0,10.0,0.0,0.0,8.0,5.0,1.0,-1.0
2024-05-22,-1.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,10.0,10.0,9.0,8.0,11.0,15.0,15.0,11.0,11.0,9.0,9.0,0.0,0.0,4.0,0.0,0.0,-1.0
2024-05-21,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,9.0,10.0,15.0,16.0,16.0,16.0,22.0,22.0,22.0,21.0,0.0,0.0,16.0,13.0,9.0,-1.0
2024-05-20,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-19,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,3.0,0.0,-1.0
2024-05-18,-1.0,3.0,3.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,6.0,-1.0,-1.0,-1.0
2024-05-17,-1.0,2.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,39.0,37.0,37.0,37.0,38.0,35.0,34.0,33.0,33.0,33.0,31.0,32.0,31.0,31.0,26.0,26.0,26.0,21.0,10.0,-1.0
2024-05-16,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-15,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,5.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-14,-1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,4.0,4.0,6.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-11,-1.0,1.0,1.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-05-10,-1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0
