date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-13,-1.0,3.0,-1.0,6.0,-1.0,9.0,5.0,6.0,1.0,2.0,3.0,4.0,3.0,6.0,0.0,0.0,8.0,7.0,0.0,0.0,9.0,8.0,8.0,-1.0
2024-05-12,-1.0,1.0,-1.0,2.0,2.0,6.0,2.0,3.0,8.0,8.0,7.0,8.0,7.0,8.0,0.0,0.0,9.0,8.0,0.0,0.0,9.0,10.0,5.0,-1.0
2024-05-11,-1.0,1.0,-1.0,3.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,18.0,17.0,20.0,-1.0
2024-05-10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,0.0,0.0,16.0,16.0,0.0,0.0,19.0,19.0,17.0,-1.0
2024-05-09,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,101.0,101.0,111.0,153.0,158.0,164.0,0.0,0.0,161.0,161.0,0.0,0.0,161.0,160.0,162.0,-1.0
2024-05-08,-1.0,1.0,-1.0,3.0,-1.0,1.0,0.0,1.0,0.0,6.0,4.0,4.0,3.0,6.0,0.0,0.0,20.0,20.0,0.0,0.0,22.0,22.0,37.0,-1.0
2024-05-07,-1.0,1.0,-1.0,3.0,-1.0,3.0,0.0,1.0,2.0,6.0,11.0,12.0,10.0,14.0,0.0,0.0,20.0,20.0,0.0,0.0,24.0,24.0,30.0,-1.0
2024-05-06,-1.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,17.0,0.0,0.0,30.0,30.0,0.0,0.0,35.0,35.0,42.0,-1.0
2024-05-05,-1.0,1.0,-1.0,11.0,2.0,10.0,28.0,28.0,24.0,23.0,29.0,28.0,27.0,41.0,0.0,0.0,48.0,48.0,0.0,0.0,53.0,53.0,54.0,-1.0
2024-05-04,-1.0,37.0,30.0,37.0,37.0,35.0,35.0,36.0,50.0,68.0,91.0,92.0,92.0,92.0,0.0,0.0,104.0,103.0,0.0,0.0,108.0,109.0,123.0,-1.0
2024-05-03,-1.0,27.0,27.0,25.0,25.0,33.0,33.0,35.0,31.0,31.0,30.0,31.0,30.0,32.0,0.0,0.0,33.0,32.0,0.0,0.0,35.0,35.0,45.0,-1.0
2024-05-01,-1.0,1.0,-1.0,1.0,1.0,2.0,4.0,6.0,2.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,12.0,15.0,0.0,0.0,25.0,25.0,27.0,-1.0
2024-04-29,-1.0,2.0,-1.0,15.0,14.0,15.0,10.0,11.0,6.0,6.0,14.0,14.0,13.0,16.0,0.0,0.0,67.0,65.0,0.0,0.0,71.0,70.0,76.0,-1.0
2024-04-28,-1.0,2.0,2.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,3.0,3.0,2.0,4.0,0.0,0.0,14.0,18.0,0.0,0.0,21.0,22.0,26.0,-1.0
