date,Köln_Hbf.in,Köln_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Itzehoe.in,Itzehoe.out,Heide(Holst).in,Heide(Holst).out,Husum.in,Husum.out,Niebüll.in,Niebüll.out,Niebüll_neg.in,Niebüll_neg.out,Dagebüll_Mole.in,Dagebüll_Mole.out
2024-05-20,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,22.0,27.0,26.0,24.0,26.0,20.0,20.0,20.0,19.0,20.0,24.0,23.0,24.0,25.0,22.0,26.0,27.0,28.0,32.0,31.0,31.0,30.0,31.0,29.0,-1.0
2024-05-19,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,1.0,1.0,7.0,8.0,5.0,6.0,2.0,11.0,8.0,8.0,11.0,14.0,14.0,15.0,17.0,17.0,25.0,27.0,30.0,30.0,32.0,32.0,31.0,32.0,27.0,-1.0
2024-05-18,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,5.0,7.0,7.0,7.0,6.0,5.0,13.0,14.0,17.0,18.0,18.0,18.0,-1.0,18.0,-1.0,-1.0
2024-05-17,-1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,5.0,13.0,14.0,18.0,18.0,20.0,20.0,18.0,20.0,21.0,-1.0
2024-05-16,-1.0,17.0,0.0,0.0,13.0,14.0,12.0,12.0,11.0,10.0,10.0,10.0,8.0,6.0,4.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,5.0,8.0,8.0,8.0,10.0,10.0,19.0,20.0,24.0,24.0,32.0,32.0,30.0,32.0,39.0,-1.0
2024-05-15,-1.0,5.0,0.0,0.0,3.0,5.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,6.0,6.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,4.0,4.0,6.0,12.0,12.0,14.0,14.0,17.0,17.0,6.0,6.0,14.0,-1.0
2024-05-14,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,5.0,5.0,6.0,8.0,9.0,9.0,8.0,10.0,16.0,16.0,19.0,19.0,20.0,20.0,17.0,17.0,12.0,-1.0
2024-05-13,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-12,-1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,6.0,9.0,10.0,11.0,11.0,8.0,11.0,3.0,-1.0
2024-05-10,-1.0,2.0,0.0,0.0,21.0,24.0,29.0,29.0,29.0,30.0,31.0,32.0,31.0,30.0,36.0,38.0,38.0,40.0,36.0,38.0,35.0,36.0,39.0,41.0,41.0,42.0,43.0,43.0,45.0,46.0,46.0,46.0,46.0,46.0,54.0,55.0,54.0,-1.0
