date,Schwerin_Hbf.in,Schwerin_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Recklinghausen_Hbf.in,Recklinghausen_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Köln_Messe/Deutz.in,Köln_Messe/Deutz.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Bonn-Beuel.in,Bonn-Beuel.out,Solingen_Hbf.in,Solingen_Hbf.out,Köln_Hbf.in,Köln_Hbf.out,Bonn_Hbf.in,Bonn_Hbf.out,Koblenz_Hbf.in,Koblenz_Hbf.out,Bingen(Rhein)_Hbf.in,Bingen(Rhein)_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(Main)Süd.in,Frankfurt(Main)Süd.out,Hanau_Hbf.in,Hanau_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Ostseebad_Binz.in,Ostseebad_Binz.out,Bergen_auf_Rügen.in,Bergen_auf_Rügen.out,Stralsund_Hbf.in,Stralsund_Hbf.out,Velgast.in,Velgast.out,Ribnitz-Damgarten_West.in,Ribnitz-Damgarten_West.out,Rostock_Hbf.in,Rostock_Hbf.out,Bützow.in,Bützow.out,Fürth(Bay)Hbf.in,Fürth(Bay)Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out
2024-05-19,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,29.0,28.0,0.0,0.0,0.0,0.0,28.0,27.0,26.0,26.0,15.0,14.0,0.0,0.0,0.0,0.0,26.0,26.0,58.0,58.0,38.0,38.0,38.0,38.0,34.0,33.0,33.0,32.0,32.0,29.0,0.0,0.0,28.0,27.0,26.0,27.0,-1.0,3.0,2.0,2.0,8.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,17.0,17.0,11.0,-1.0
2024-05-18,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,14.0,15.0,0.0,0.0,0.0,0.0,18.0,20.0,22.0,23.0,10.0,8.0,0.0,0.0,0.0,0.0,32.0,33.0,35.0,35.0,37.0,37.0,40.0,40.0,39.0,40.0,43.0,42.0,41.0,39.0,0.0,0.0,41.0,41.0,41.0,42.0,-1.0,0.0,0.0,0.0,11.0,4.0,6.0,5.0,3.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,46.0,47.0,43.0,-1.0
2024-05-17,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,19.0,24.0,25.0,26.0,25.0,25.0,29.0,29.0,31.0,30.0,31.0,29.0,0.0,0.0,30.0,29.0,27.0,28.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,47.0,-1.0
2024-05-16,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,2.0,3.0,8.0,8.0,8.0,0.0,0.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,12.0,-1.0
2024-05-15,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,2.0,7.0,6.0,5.0,0.0,0.0,0.0,0.0,6.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,18.0,18.0,20.0,20.0,19.0,18.0,17.0,17.0,18.0,18.0,23.0,21.0,0.0,0.0,20.0,19.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,31.0,-1.0,-1.0
2024-05-13,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,7.0,4.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-1.0
2024-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,20.0,20.0,0.0,0.0,0.0,0.0,22.0,22.0,24.0,24.0,-1.0,0.0,0.0,0.0,0.0,0.0,34.0,35.0,36.0,37.0,35.0,35.0,34.0,33.0,31.0,31.0,36.0,35.0,36.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,3.0,-1.0,3.0,0.0,0.0,0.0,0.0,9.0,10.0,14.0,14.0,16.0,16.0,17.0,19.0,0.0,0.0,0.0,0.0,22.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-05-10,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,8.0,13.0,13.0,13.0,12.0,12.0,11.0,10.0,6.0,6.0,6.0,5.0,4.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
2024-05-09,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
