date,Oldenburg(Oldb)Hbf.in,Oldenburg(Oldb)Hbf.out,Delmenhorst.in,Delmenhorst.out,Bremen_Hbf.in,Bremen_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,-1.0,1.0,1.0,1.0,1.0,0.0,9.0,-1.0,7.0,8.0,7.0,7.0,12.0,12.0,8.0,8.0,4.0,3.0,1.0,1.0,0.0,-1.0
2024-05-29,-1.0,1.0,2.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,18.0,17.0,18.0,18.0,22.0,21.0,19.0,18.0,62.0,62.0,68.0,-1.0
2024-05-28,-1.0,0.0,-1.0,0.0,3.0,3.0,0.0,-1.0,21.0,22.0,17.0,18.0,34.0,34.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-27,-1.0,1.0,0.0,0.0,0.0,0.0,23.0,-1.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,5.0,1.0,-1.0
