date,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out,Pforzheim_Hbf.in,Pforzheim_Hbf.out,Mühlacker.in,Mühlacker.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Schwäbisch_Gmünd.in,Schwäbisch_Gmünd.out,Aalen_Hbf.in,Aalen_Hbf.out,Ellwangen.in,Ellwangen.out,Crailsheim.in,Crailsheim.out,Ansbach.in,Ansbach.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Erlangen.in,Erlangen.out,Bamberg.in,Bamberg.out,Lichtenfels.in,Lichtenfels.out,Kronach.in,Kronach.out,Ludwigsstadt.in,Ludwigsstadt.out,Saalfeld(Saale).in,Saalfeld(Saale).out,Rudolstadt(Thür).in,Rudolstadt(Thür).out,Jena-Göschwitz.in,Jena-Göschwitz.out,Jena_Paradies.in,Jena_Paradies.out,Naumburg(Saale)Hbf.in,Naumburg(Saale)Hbf.out,Weißenfels.in,Weißenfels.out,Leipzig_Hbf.in,Leipzig_Hbf.out
2024-05-02,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-1.0
2024-05-01,-1.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,6.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,3.0,4.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,-1.0
2024-04-30,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,0.0,0.0,1.0,30.0,30.0,30.0,34.0,34.0,32.0,31.0,30.0,29.0,26.0,26.0,24.0,24.0,23.0,23.0,22.0,21.0,18.0,18.0,19.0,18.0,20.0,-1.0
2024-04-29,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,0.0,1.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,6.0,7.0,8.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,-1.0
2024-04-27,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-26,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,0.0,3.0,6.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-25,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,9.0,10.0,10.0,10.0,8.0,7.0,7.0,6.0,5.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,6.0,6.0,5.0,6.0,7.0,6.0,6.0,6.0,2.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,-1.0
2024-04-23,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,5.0,6.0,6.0,6.0,5.0,5.0,7.0,7.0,5.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
