date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Esslingen(Neckar).in,Esslingen(Neckar).out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-04-25,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,-1.0
2024-04-24,-1.0,1.0,0.0,0.0,4.0,4.0,23.0,22.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,-1.0
2024-04-23,-1.0,1.0,-1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,-1.0
2024-04-22,-1.0,-1.0,-1.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,-1.0,2.0,-1.0
2024-04-21,-1.0,21.0,20.0,20.0,29.0,29.0,27.0,27.0,0.0,0.0,27.0,24.0,27.0,26.0,30.0,-1.0
2024-04-20,-1.0,4.0,3.0,3.0,7.0,7.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,8.0,-1.0
2024-04-19,-1.0,3.0,2.0,2.0,31.0,31.0,32.0,33.0,0.0,0.0,29.0,27.0,24.0,23.0,27.0,-1.0
2024-04-18,-1.0,5.0,3.0,4.0,19.0,19.0,18.0,18.0,0.0,0.0,20.0,18.0,15.0,14.0,18.0,-1.0
2024-04-17,-1.0,4.0,3.0,4.0,16.0,15.0,21.0,21.0,0.0,0.0,19.0,16.0,14.0,12.0,20.0,-1.0
2024-04-16,-1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,2.0,-1.0
2024-04-15,-1.0,2.0,0.0,2.0,8.0,8.0,22.0,23.0,0.0,0.0,23.0,21.0,18.0,16.0,24.0,-1.0
2024-04-14,-1.0,1.0,0.0,1.0,8.0,8.0,13.0,13.0,0.0,0.0,15.0,12.0,15.0,15.0,15.0,-1.0
2024-04-13,-1.0,1.0,-1.0,1.0,6.0,8.0,-1.0,-1.0,0.0,0.0,128.0,129.0,127.0,128.0,129.0,-1.0
2024-04-12,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,8.0,7.0,11.0,-1.0
2024-04-11,-1.0,14.0,-1.0,13.0,15.0,14.0,15.0,15.0,0.0,0.0,21.0,18.0,15.0,16.0,19.0,-1.0
2024-04-10,-1.0,0.0,0.0,3.0,4.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0
2024-04-09,-1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,7.0,-1.0
2024-04-08,-1.0,1.0,-1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,4.0,5.0,4.0,6.0,-1.0
2024-04-07,-1.0,1.0,-1.0,1.0,7.0,7.0,5.0,5.0,0.0,0.0,30.0,28.0,25.0,30.0,27.0,-1.0
2024-04-06,-1.0,6.0,-1.0,4.0,5.0,4.0,2.0,3.0,0.0,0.0,1.0,2.0,4.0,12.0,14.0,-1.0
2024-04-05,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,6.0,10.0,19.0,37.0,-1.0
2024-04-03,-1.0,7.0,-1.0,6.0,5.0,5.0,1.0,4.0,0.0,0.0,3.0,2.0,3.0,1.0,16.0,-1.0
2024-04-02,-1.0,8.0,7.0,6.0,7.0,6.0,4.0,4.0,4.0,4.0,14.0,12.0,20.0,20.0,37.0,-1.0
2024-04-01,-1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,12.0,-1.0
