date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Fulda.in,Fulda.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Göttingen.in,Göttingen.out,Hannover_Hbf.in,Hannover_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-30,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,8.0,6.0,5.0,5.0,48.0,50.0,-1.0
2024-05-29,-1.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,3.0,4.0,4.0,4.0,6.0,6.0,6.0,7.0,9.0,-1.0
2024-05-28,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,4.0,6.0,7.0,38.0,39.0,38.0,37.0,41.0,42.0,43.0,-1.0
2024-05-27,-1.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,5.0,5.0,6.0,-1.0
2024-05-26,-1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,11.0,11.0,10.0,10.0,9.0,8.0,13.0,14.0,22.0,-1.0
2024-05-25,-1.0,0.0,1.0,1.0,1.0,1.0,14.0,13.0,9.0,10.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-24,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,2.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-22,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0,-1.0
2024-05-21,-1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,6.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-19,-1.0,19.0,20.0,20.0,19.0,19.0,24.0,23.0,19.0,19.0,15.0,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-18,-1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,2.0,-1.0
2024-05-17,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-16,-1.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,7.0,8.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-05-15,-1.0,0.0,6.0,6.0,5.0,4.0,5.0,4.0,3.0,3.0,6.0,6.0,5.0,1.0,0.0,0.0,8.0,8.0,7.0,-1.0
2024-05-14,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-05-13,-1.0,4.0,10.0,11.0,10.0,10.0,8.0,7.0,7.0,10.0,7.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-11,-1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,4.0,4.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-10,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,27.0,7.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-09,-1.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,8.0,8.0,7.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-07,-1.0,3.0,5.0,5.0,7.0,6.0,6.0,5.0,2.0,4.0,4.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-06,-1.0,1.0,0.0,0.0,2.0,1.0,0.0,6.0,1.0,2.0,1.0,8.0,-1.0,-1.0,40.0,39.0,0.0,0.0,45.0,-1.0
2024-05-05,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-04,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0
2024-05-03,-1.0,3.0,2.0,2.0,1.0,5.0,12.0,11.0,7.0,7.0,7.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
