date,Dresden_Hbf.in,Dresden_Hbf.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Riesa.in,Riesa.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Gotha.in,Gotha.out,Eisenach.in,Eisenach.out,Bad_Hersfeld.in,Bad_Hersfeld.out,Fulda.in,Fulda.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-02,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,16.0,-1.0
2024-05-01,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,3.0,2.0,2.0,5.0,5.0,10.0,10.0,14.0,-1.0
2024-04-30,-1.0,0.0,-1.0,1.0,1.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,116.0,-1.0
2024-04-29,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,-1.0
2024-04-28,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,20.0,-1.0
2024-04-27,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,12.0,-1.0
2024-04-26,-1.0,1.0,1.0,1.0,22.0,23.0,19.0,21.0,15.0,15.0,14.0,14.0,12.0,11.0,9.0,9.0,7.0,10.0,17.0,-1.0
2024-04-25,-1.0,1.0,0.0,0.0,6.0,6.0,6.0,6.0,15.0,15.0,14.0,14.0,12.0,11.0,8.0,9.0,8.0,9.0,21.0,-1.0
2024-04-24,-1.0,20.0,20.0,18.0,16.0,17.0,10.0,12.0,7.0,7.0,6.0,6.0,4.0,4.0,2.0,2.0,1.0,6.0,0.0,-1.0
2024-04-23,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,-1.0
2024-04-22,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-21,-1.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-20,-1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0
2024-04-19,-1.0,0.0,0.0,1.0,6.0,6.0,0.0,2.0,0.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-04-18,-1.0,0.0,2.0,1.0,4.0,5.0,2.0,4.0,3.0,4.0,4.0,5.0,2.0,3.0,2.0,4.0,6.0,6.0,2.0,-1.0
2024-04-16,-1.0,5.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,-1.0
