date,Dresden_Hbf.in,Dresden_Hbf.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Riesa.in,Riesa.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Gotha.in,Gotha.out,Eisenach.in,Eisenach.out,Bad_Hersfeld.in,Bad_Hersfeld.out,Fulda.in,Fulda.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-30,-1.0,0.0,-1.0,1.0,5.0,5.0,0.0,-1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-1.0
2024-05-29,-1.0,4.0,5.0,4.0,10.0,10.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,-1.0
2024-05-28,-1.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-1.0
2024-05-27,-1.0,13.0,12.0,10.0,17.0,17.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-05-26,-1.0,1.0,-1.0,1.0,4.0,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-25,-1.0,38.0,36.0,34.0,44.0,45.0,36.0,42.0,49.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,-1.0
2024-05-24,-1.0,1.0,-1.0,1.0,4.0,5.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-1.0
2024-05-23,-1.0,1.0,-1.0,3.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0
2024-05-22,-1.0,4.0,-1.0,2.0,5.0,6.0,6.0,6.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-1.0
2024-05-21,-1.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-20,-1.0,23.0,-1.0,19.0,19.0,19.0,6.0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-19,-1.0,0.0,-1.0,0.0,3.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18,-1.0,8.0,7.0,7.0,6.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-1.0
2024-05-17,-1.0,19.0,19.0,17.0,16.0,16.0,8.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,-1.0
2024-05-16,-1.0,1.0,-1.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,0.0,-1.0
2024-05-15,-1.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,12.0,13.0,12.0,13.0,6.0,-1.0
2024-05-13,-1.0,0.0,0.0,1.0,5.0,5.0,5.0,8.0,4.0,6.0,5.0,5.0,3.0,3.0,2.0,2.0,4.0,2.0,0.0,-1.0
2024-05-12,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,-1.0
2024-05-11,-1.0,2.0,-1.0,1.0,6.0,7.0,0.0,1.0,0.0,2.0,6.0,6.0,4.0,4.0,3.0,3.0,2.0,2.0,0.0,-1.0
2024-05-10,-1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,-1.0
2024-05-09,-1.0,1.0,-1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,0.0,-1.0
2024-05-08,-1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,-1.0
2024-05-07,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,20.0,20.0
2024-05-06,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,20.0,-1.0
2024-05-05,-1.0,0.0,-1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,20.0,-1.0
2024-05-04,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,20.0,-1.0
2024-05-03,-1.0,13.0,11.0,11.0,10.0,11.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,20.0,-1.0
2024-05-02,-1.0,1.0,-1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,-1.0
2024-05-01,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,20.0,-1.0
2024-04-30,-1.0,1.0,-1.0,0.0,0.0,0.0,16.0,28.0,25.0,26.0,29.0,31.0,29.0,29.0,30.0,31.0,33.0,76.0,127.0,-1.0
