date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Minden(Westf).in,Minden(Westf).out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out
2024-05-05,-1.0,1.0,-1.0,3.0,0.0,1.0,6.0,6.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,0.0,2.0,5.0,7.0,16.0,14.0,19.0,-1.0
2024-05-04,-1.0,0.0,-1.0,1.0,2.0,4.0,16.0,16.0,16.0,15.0,20.0,19.0,27.0,28.0,35.0,37.0,31.0,32.0,31.0,31.0,30.0,30.0,29.0,30.0,32.0,31.0,29.0,-1.0
2024-05-03,-1.0,1.0,-1.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,5.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,-1.0
2024-05-02,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,4.0,8.0,8.0,6.0,-1.0
2024-05-01,-1.0,4.0,-1.0,7.0,6.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,10.0,12.0,14.0,24.0,27.0,27.0,25.0,25.0,26.0,26.0,29.0,28.0,29.0,-1.0
2024-04-30,-1.0,8.0,-1.0,6.0,4.0,3.0,0.0,1.0,0.0,2.0,3.0,5.0,9.0,10.0,7.0,10.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,-1.0
2024-04-29,-1.0,2.0,-1.0,2.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,4.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,-1.0
2024-04-28,-1.0,1.0,-1.0,3.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,3.0,-1.0
2024-04-27,-1.0,2.0,-1.0,3.0,0.0,1.0,24.0,24.0,19.0,18.0,16.0,16.0,14.0,15.0,18.0,21.0,19.0,18.0,22.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,-1.0
2024-04-26,-1.0,1.0,-1.0,3.0,1.0,1.0,14.0,15.0,15.0,15.0,16.0,16.0,16.0,18.0,20.0,23.0,19.0,19.0,18.0,18.0,16.0,17.0,17.0,16.0,22.0,21.0,19.0,-1.0
2024-04-25,-1.0,14.0,-1.0,1.0,0.0,0.0,14.0,15.0,0.0,1.0,17.0,17.0,0.0,1.0,18.0,20.0,15.0,16.0,16.0,16.0,13.0,14.0,14.0,14.0,17.0,16.0,15.0,-1.0
2024-04-24,-1.0,5.0,-1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,6.0,6.0,6.0,5.0,5.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,-1.0
2024-04-23,-1.0,3.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,39.0,39.0,3.0,5.0,12.0,11.0,11.0,10.0,9.0,8.0,9.0,9.0,11.0,10.0,9.0,-1.0
2024-04-22,-1.0,2.0,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,0.0,-1.0,-1.0,-1.0,35.0,35.0,36.0,35.0,38.0,37.0,36.0,-1.0
2024-04-20,-1.0,1.0,-1.0,4.0,4.0,5.0,0.0,2.0,0.0,1.0,2.0,2.0,3.0,3.0,6.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,15.0,17.0,17.0,16.0,-1.0
2024-04-19,-1.0,0.0,-1.0,5.0,6.0,7.0,2.0,2.0,7.0,7.0,14.0,14.0,14.0,14.0,14.0,16.0,11.0,12.0,12.0,12.0,14.0,15.0,17.0,17.0,21.0,22.0,21.0,-1.0
2024-04-18,-1.0,2.0,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,4.0,0.0,0.0,1.0,1.0,7.0,7.0,6.0,8.0,15.0,15.0,13.0,-1.0
2024-04-17,-1.0,1.0,-1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,3.0,5.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,6.0,6.0,4.0,-1.0
2024-04-16,-1.0,0.0,-1.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,8.0,3.0,3.0,2.0,2.0,3.0,5.0,5.0,5.0,8.0,7.0,6.0,-1.0
2024-04-15,-1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,8.0,7.0,6.0,-1.0
2024-04-14,-1.0,-1.0,-1.0,1.0,1.0,2.0,0.0,0.0,16.0,16.0,12.0,12.0,18.0,19.0,16.0,24.0,19.0,18.0,17.0,17.0,17.0,17.0,17.0,18.0,21.0,20.0,21.0,-1.0
2024-04-13,-1.0,0.0,-1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,4.0,7.0,7.0,5.0,-1.0
2024-04-12,-1.0,0.0,-1.0,1.0,0.0,1.0,5.0,6.0,4.0,15.0,3.0,4.0,19.0,19.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,6.0,7.0,6.0,5.0,-1.0
2024-04-10,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,2.0,13.0,14.0,17.0,18.0,19.0,19.0,20.0,23.0,18.0,17.0,18.0,18.0,17.0,17.0,26.0,26.0,27.0,27.0,26.0,-1.0
2024-04-09,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,2.0,14.0,13.0,73.0,73.0,77.0,78.0,81.0,83.0,78.0,77.0,76.0,76.0,75.0,75.0,74.0,75.0,75.0,74.0,75.0,-1.0
2024-04-08,-1.0,4.0,-1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,6.0,14.0,17.0,17.0,17.0,18.0,16.0,16.0,17.0,18.0,18.0,19.0,17.0,-1.0
2024-04-07,-1.0,0.0,-1.0,1.0,10.0,11.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-06,-1.0,0.0,-1.0,1.0,1.0,3.0,22.0,22.0,0.0,1.0,20.0,20.0,11.0,10.0,26.0,28.0,25.0,25.0,24.0,24.0,27.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0,5.0,4.0,4.0,5.0,2.0,1.0,2.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-04,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,10.0,12.0,9.0,9.0,9.0,9.0,8.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,-1.0,1.0,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,14.0,15.0,12.0,11.0,12.0,12.0,12.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,7.0,7.0,12.0,14.0,12.0,11.0,11.0,11.0,10.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,-1.0,1.0,-1.0,2.0,0.0,1.0,1.0,1.0,5.0,13.0,20.0,19.0,30.0,32.0,39.0,42.0,38.0,39.0,39.0,39.0,37.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
