date,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Gelsenkirchen_Hbf.in,Gelsenkirchen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-05,-1.0,1.0,-1.0,11.0,2.0,10.0,28.0,28.0,24.0,23.0,29.0,28.0,27.0,28.0,24.0,21.0,0.0,0.0,24.0,25.0,26.0,25.0,25.0,24.0,27.0,28.0,29.0,28.0,26.0,-1.0
2024-05-04,-1.0,37.0,30.0,37.0,37.0,35.0,35.0,36.0,50.0,68.0,91.0,92.0,93.0,93.0,100.0,100.0,0.0,0.0,101.0,101.0,100.0,100.0,98.0,98.0,-1.0,-1.0,96.0,97.0,135.0,-1.0
2024-05-02,-1.0,8.0,-1.0,9.0,-1.0,9.0,6.0,7.0,15.0,18.0,27.0,25.0,26.0,29.0,27.0,26.0,0.0,0.0,27.0,28.0,28.0,28.0,28.0,28.0,33.0,36.0,36.0,35.0,34.0,-1.0
2024-05-01,-1.0,1.0,-1.0,1.0,1.0,2.0,4.0,6.0,2.0,1.0,2.0,3.0,3.0,5.0,5.0,7.0,0.0,0.0,7.0,7.0,5.0,5.0,4.0,4.0,7.0,7.0,5.0,5.0,6.0,-1.0
2024-04-30,-1.0,10.0,-1.0,13.0,11.0,13.0,8.0,9.0,4.0,4.0,5.0,5.0,5.0,7.0,16.0,15.0,0.0,0.0,17.0,17.0,16.0,15.0,14.0,16.0,20.0,19.0,17.0,17.0,15.0,-1.0
2024-04-29,-1.0,2.0,-1.0,15.0,14.0,15.0,10.0,11.0,6.0,6.0,14.0,14.0,14.0,15.0,46.0,59.0,0.0,0.0,58.0,59.0,59.0,59.0,59.0,61.0,-1.0,-1.0,60.0,59.0,59.0,-1.0
2024-04-28,-1.0,2.0,2.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,-1.0
2024-04-27,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,8.0,-1.0
2024-04-26,-1.0,34.0,10.0,42.0,42.0,46.0,41.0,41.0,41.0,41.0,43.0,44.0,50.0,52.0,52.0,51.0,0.0,0.0,55.0,55.0,54.0,53.0,52.0,51.0,51.0,51.0,50.0,51.0,53.0,-1.0
2024-04-25,-1.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,7.0,8.0,12.0,20.0,22.0,22.0,0.0,0.0,24.0,25.0,24.0,24.0,24.0,24.0,29.0,29.0,27.0,27.0,30.0,-1.0
