date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Esslingen(Neckar).in,Esslingen(Neckar).out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out
2024-05-07,-1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,6.0,6.0,3.0,3.0,5.0,5.0,5.0,5.0,8.0,9.0,4.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
2024-05-06,-1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,10.0,12.0,10.0,11.0,7.0,9.0,8.0,7.0,5.0,6.0,4.0,5.0,4.0,5.0,3.0,-1.0
2024-05-05,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,16.0,16.0,13.0,13.0,10.0,11.0,9.0,8.0,6.0,7.0,5.0,5.0,4.0,4.0,1.0,-1.0
2024-05-04,-1.0,18.0,17.0,17.0,14.0,13.0,0.0,0.0,8.0,8.0,2.0,7.0,3.0,6.0,6.0,7.0,16.0,17.0,18.0,19.0,17.0,19.0,17.0,17.0,16.0,16.0,15.0,15.0,14.0,-1.0
2024-05-03,-1.0,0.0,-1.0,1.0,3.0,9.0,0.0,0.0,4.0,5.0,5.0,28.0,24.0,24.0,27.0,27.0,25.0,26.0,25.0,25.0,28.0,27.0,28.0,29.0,28.0,29.0,28.0,29.0,27.0,-1.0
2024-05-02,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,6.0,6.0,3.0,3.0,6.0,6.0,5.0,7.0,12.0,13.0,15.0,17.0,19.0,19.0,19.0,20.0,19.0,21.0,19.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,6.0,7.0,3.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,-1.0
2024-04-30,-1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,9.0,9.0,8.0,9.0,8.0,8.0,7.0,7.0,6.0,-1.0
2024-04-29,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0,9.0,6.0,7.0,2.0,2.0,18.0,18.0,21.0,22.0,20.0,21.0,19.0,20.0,18.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,2.0,19.0,15.0,17.0,15.0,16.0,18.0,18.0,23.0,23.0,23.0,24.0,23.0,24.0,21.0,-1.0
2024-04-27,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,17.0,17.0,10.0,10.0,12.0,12.0,10.0,10.0,6.0,6.0,43.0,42.0,43.0,42.0,42.0,43.0,43.0,44.0,48.0,-1.0
2024-04-26,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,102.0,360.0,359.0,359.0,359.0,359.0,356.0,356.0,352.0,352.0,350.0,349.0,-1.0,-1.0,347.0,347.0,346.0,346.0,344.0,-1.0
2024-04-25,-1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,5.0,7.0,7.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,7.0,5.0,6.0,4.0,5.0,1.0,-1.0
2024-04-24,-1.0,0.0,1.0,1.0,9.0,9.0,0.0,0.0,6.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,-1.0
2024-04-23,-1.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,6.0,8.0,9.0,10.0,6.0,7.0,28.0,25.0,27.0,27.0,26.0,28.0,28.0,28.0,26.0,-1.0
2024-04-22,-1.0,0.0,-1.0,1.0,2.0,2.0,0.0,0.0,6.0,6.0,3.0,3.0,2.0,2.0,5.0,5.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,-1.0
2024-04-21,-1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,3.0,17.0,17.0,14.0,15.0,11.0,12.0,12.0,13.0,11.0,12.0,11.0,13.0,11.0,12.0,9.0,-1.0
2024-04-19,0.0,0.0,-1.0,1.0,10.0,10.0,0.0,0.0,8.0,9.0,3.0,7.0,3.0,3.0,5.0,7.0,6.0,7.0,3.0,3.0,7.0,6.0,12.0,13.0,11.0,12.0,10.0,11.0,10.0,-1.0
2024-04-18,0.0,0.0,-1.0,2.0,9.0,10.0,0.0,0.0,9.0,9.0,14.0,14.0,9.0,10.0,13.0,14.0,11.0,12.0,8.0,9.0,7.0,6.0,5.0,6.0,4.0,4.0,4.0,5.0,5.0,-1.0
2024-04-17,0.0,0.0,-1.0,4.0,4.0,4.0,0.0,0.0,12.0,12.0,10.0,9.0,7.0,9.0,9.0,9.0,5.0,5.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,-1.0
2024-04-16,0.0,0.0,-1.0,0.0,10.0,11.0,0.0,0.0,7.0,7.0,1.0,2.0,0.0,1.0,13.0,13.0,11.0,12.0,11.0,12.0,16.0,17.0,17.0,18.0,16.0,16.0,16.0,17.0,14.0,-1.0
2024-04-15,0.0,0.0,-1.0,1.0,9.0,9.0,0.0,0.0,7.0,7.0,4.0,4.0,2.0,3.0,3.0,3.0,5.0,6.0,3.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,-1.0
2024-04-14,0.0,0.0,-1.0,56.0,71.0,71.0,0.0,0.0,70.0,71.0,68.0,67.0,67.0,67.0,70.0,71.0,76.0,78.0,76.0,76.0,78.0,78.0,76.0,76.0,74.0,79.0,80.0,81.0,81.0,-1.0
2024-04-13,-1.0,7.0,-1.0,6.0,12.0,12.0,0.0,0.0,5.0,5.0,17.0,23.0,17.0,19.0,23.0,22.0,24.0,25.0,20.0,21.0,22.0,22.0,21.0,22.0,21.0,22.0,22.0,24.0,22.0,-1.0
2024-04-12,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,5.0,6.0,0.0,0.0,1.0,1.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,-1.0
2024-04-09,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,-1.0
2024-04-08,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,9.0,4.0,4.0,5.0,5.0,2.0,3.0,1.0,2.0,5.0,12.0,21.0,23.0,21.0,21.0,21.0,22.0,21.0,-1.0
2024-04-07,-1.0,17.0,-1.0,20.0,17.0,17.0,0.0,0.0,12.0,12.0,6.0,7.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-1.0
2024-04-06,-1.0,33.0,-1.0,32.0,35.0,36.0,0.0,0.0,36.0,37.0,33.0,33.0,28.0,29.0,30.0,29.0,32.0,32.0,27.0,27.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,-1.0
2024-04-04,-1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,12.0,34.0,36.0,36.0,38.0,39.0,40.0,39.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,-1.0
2024-04-03,-1.0,1.0,-1.0,1.0,1.0,1.0,2.0,4.0,3.0,4.0,0.0,0.0,1.0,8.0,10.0,11.0,12.0,13.0,9.0,10.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,-1.0
