date,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-04-27,-1.0,3.0,2.0,3.0,4.0,4.0,6.0,5.0,1.0,2.0,0.0,2.0,19.0,22.0,20.0,19.0,13.0,14.0,19.0,-1.0
2024-04-26,-1.0,1.0,0.0,1.0,3.0,33.0,32.0,31.0,25.0,27.0,37.0,38.0,38.0,39.0,35.0,34.0,30.0,31.0,28.0,-1.0
2024-04-25,-1.0,2.0,0.0,0.0,2.0,5.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0,3.0,3.0,5.0,0.0,1.0,0.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,6.0,6.0,3.0,2.0,0.0,6.0,3.0,86.0,89.0,89.0,92.0,91.0,87.0,-1.0,-1.0,-1.0
2024-04-23,-1.0,1.0,0.0,0.0,5.0,7.0,4.0,3.0,10.0,11.0,9.0,11.0,7.0,8.0,15.0,13.0,13.0,14.0,9.0,-1.0
2024-04-21,-1.0,1.0,0.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,7.0,9.0,10.0,18.0,18.0,33.0,34.0,41.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,3.0,4.0,5.0,3.0,0.0,1.0,0.0,5.0,24.0,27.0,26.0,25.0,27.0,28.0,28.0,-1.0
2024-04-19,-1.0,4.0,3.0,3.0,8.0,9.0,9.0,8.0,6.0,7.0,3.0,5.0,10.0,11.0,13.0,13.0,17.0,18.0,15.0,-1.0
2024-04-18,-1.0,4.0,5.0,6.0,7.0,9.0,6.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,2.0,2.0,0.0,-1.0
2024-04-17,-1.0,6.0,4.0,4.0,7.0,9.0,6.0,5.0,1.0,1.0,0.0,25.0,41.0,43.0,44.0,44.0,42.0,43.0,46.0,-1.0
