date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Limburg_Süd.in,Limburg_Süd.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out
2024-04-30,-1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,-1.0,-1.0,3.0,-1.0
2024-04-29,-1.0,1.0,1.0,2.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,-1.0
2024-04-28,-1.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-1.0
2024-04-26,-1.0,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,-1.0
2024-04-25,-1.0,2.0,-1.0,0.0,2.0,3.0,-1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,-1.0
2024-04-24,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,6.0,-1.0
2024-04-23,-1.0,1.0,-1.0,0.0,2.0,2.0,-1.0,0.0,0.0,1.0,6.0,6.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,-1.0
2024-04-22,-1.0,2.0,-1.0,0.0,2.0,2.0,-1.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0,1.0,-1.0
2024-04-21,-1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,-1.0
2024-04-20,-1.0,0.0,2.0,3.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
2024-04-19,-1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-04-18,-1.0,2.0,3.0,4.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,-1.0
2024-04-17,-1.0,0.0,4.0,4.0,4.0,40.0,-1.0,0.0,41.0,42.0,40.0,39.0,35.0,33.0,37.0,38.0,38.0,37.0,39.0,-1.0
2024-04-16,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,-1.0
2024-04-15,-1.0,4.0,4.0,6.0,2.0,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,4.0,4.0,-1.0
2024-04-14,-1.0,6.0,6.0,6.0,5.0,5.0,-1.0,0.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,-1.0
2024-04-13,-1.0,0.0,1.0,2.0,5.0,5.0,-1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,-1.0
2024-04-12,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,-1.0
2024-04-11,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,-1.0
2024-04-10,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.0,5.0,8.0,-1.0
2024-04-08,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,13.0,13.0,13.0,-1.0
2024-04-07,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,-1.0,0.0,0.0,0.0,0.0
2024-04-06,-1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
2024-04-04,-1.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-03,-1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,5.0,5.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-01,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
