date,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Montabaur.in,Montabaur.out,Köln_Hbf.in,Köln_Hbf.out,Limburg_Süd.in,Limburg_Süd.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Hanau_Hbf.in,Hanau_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out
2024-05-06,0.0,0.0,0.0,0.0,16.0,12.0,10.0,11.0,0.0,0.0,9.0,9.0,-1.0,0.0,7.0,7.0,0.0,0.0,5.0,10.0,23.0,23.0,22.0,20.0,17.0,7.0,21.0,20.0,22.0,-1.0,0.0,16.0
2024-05-05,-1.0,2.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,5.0,0.0,0.0,4.0,6.0,21.0,23.0,20.0,18.0,27.0,27.0,17.0,17.0,15.0,-1.0,7.0,7.0
2024-05-04,-1.0,2.0,2.0,5.0,11.0,7.0,23.0,24.0,0.0,0.0,23.0,23.0,-1.0,0.0,22.0,27.0,0.0,0.0,25.0,33.0,50.0,50.0,49.0,48.0,42.0,32.0,29.0,29.0,26.0,-1.0,8.0,10.0
2024-05-03,-1.0,5.0,5.0,6.0,10.0,6.0,6.0,6.0,0.0,0.0,3.0,4.0,-1.0,0.0,2.0,1.0,0.0,0.0,5.0,7.0,21.0,22.0,19.0,18.0,14.0,4.0,2.0,1.0,1.0,-1.0,8.0,9.0
2024-05-02,-1.0,6.0,4.0,3.0,7.0,3.0,2.0,9.0,0.0,0.0,7.0,7.0,-1.0,0.0,4.0,4.0,0.0,0.0,3.0,5.0,8.0,9.0,6.0,6.0,55.0,48.0,43.0,43.0,42.0,-1.0,7.0,8.0
2024-05-01,-1.0,4.0,5.0,5.0,12.0,7.0,5.0,8.0,0.0,0.0,7.0,7.0,-1.0,0.0,4.0,4.0,0.0,0.0,4.0,9.0,24.0,25.0,20.0,21.0,20.0,17.0,14.0,13.0,14.0,-1.0,10.0,10.0
2024-04-30,-1.0,1.0,1.0,0.0,5.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,2.0,28.0,28.0,1.0,22.0,78.0,81.0,80.0,78.0,77.0,68.0,65.0,64.0,67.0,-1.0,4.0,4.0
2024-04-29,-1.0,4.0,3.0,2.0,5.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,-1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,3.0,0.0,1.0,1.0,1.0,3.0,-1.0,3.0,4.0
2024-04-28,-1.0,6.0,5.0,4.0,12.0,9.0,7.0,7.0,0.0,0.0,6.0,6.0,-1.0,0.0,15.0,18.0,0.0,0.0,18.0,19.0,57.0,58.0,55.0,53.0,59.0,49.0,50.0,50.0,63.0,-1.0,7.0,9.0
2024-04-27,-1.0,4.0,1.0,1.0,11.0,6.0,4.0,8.0,0.0,0.0,6.0,6.0,-1.0,0.0,3.0,3.0,0.0,0.0,2.0,3.0,22.0,22.0,18.0,16.0,11.0,2.0,3.0,1.0,2.0,-1.0,6.0,6.0
2024-04-26,-1.0,2.0,2.0,1.0,9.0,5.0,3.0,5.0,0.0,0.0,2.0,2.0,-1.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,19.0,19.0,17.0,15.0,10.0,2.0,3.0,3.0,1.0,-1.0,7.0,6.0
2024-04-25,-1.0,2.0,2.0,3.0,13.0,8.0,5.0,5.0,0.0,0.0,3.0,2.0,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,25.0,25.0,20.0,20.0,16.0,5.0,2.0,3.0,1.0,-1.0,10.0,11.0
2024-04-24,-1.0,7.0,5.0,6.0,19.0,16.0,12.0,13.0,0.0,0.0,11.0,12.0,-1.0,0.0,9.0,10.0,0.0,0.0,10.0,13.0,33.0,34.0,31.0,30.0,24.0,13.0,13.0,13.0,19.0,-1.0,16.0,17.0
2024-04-16,-1.0,5.0,3.0,2.0,9.0,5.0,6.0,7.0,0.0,0.0,8.0,9.0,-1.0,0.0,6.0,6.0,0.0,0.0,4.0,5.0,1.0,2.0,1.0,7.0,10.0,1.0,5.0,5.0,2.0,-1.0,5.0,5.0
2024-04-15,-1.0,5.0,12.0,12.0,17.0,13.0,9.0,10.0,0.0,0.0,8.0,7.0,-1.0,0.0,5.0,5.0,0.0,0.0,7.0,32.0,55.0,58.0,55.0,53.0,59.0,50.0,47.0,47.0,60.0,-1.0,19.0,19.0
2024-04-14,-1.0,0.0,0.0,0.0,8.0,5.0,4.0,5.0,0.0,0.0,2.0,3.0,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,11.0,1.0,2.0,1.0,3.0,-1.0,3.0,4.0
2024-04-13,-1.0,1.0,0.0,1.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,-1.0,3.0,6.0
2024-04-12,-1.0,5.0,5.0,4.0,7.0,3.0,4.0,7.0,0.0,0.0,5.0,6.0,-1.0,0.0,6.0,6.0,0.0,0.0,8.0,10.0,6.0,8.0,5.0,5.0,1.0,4.0,2.0,2.0,2.0,-1.0,5.0,5.0
2024-04-11,-1.0,3.0,1.0,3.0,11.0,7.0,4.0,5.0,0.0,0.0,3.0,3.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,1.0,2.0,2.0,1.0,4.0,0.0,-1.0,7.0,9.0
2024-04-10,-1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,9.0,9.0,9.0,10.0,4.0,1.0,1.0,1.0,-1.0,2.0,2.0
