date,München_Hbf.in,München_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Bamberg.in,Bamberg.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Bitterfeld.in,Bitterfeld.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-05,-1.0,0.0,3.0,4.0,5.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,5.0,-1.0
2024-05-04,-1.0,0.0,2.0,3.0,7.0,6.0,4.0,3.0,0.0,3.0,15.0,15.0,0.0,0.0,13.0,12.0,1.0,2.0,1.0,1.0,0.0,1.0,5.0,4.0,4.0,2.0,2.0,-1.0
2024-05-03,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,7.0,6.0,6.0,5.0,-1.0
2024-05-02,-1.0,3.0,5.0,6.0,4.0,3.0,2.0,2.0,4.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,10.0,12.0,12.0,1.0,2.0,2.0,4.0,12.0,12.0,12.0,9.0,-1.0
2024-05-01,-1.0,1.0,2.0,3.0,2.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,5.0,4.0,3.0,-1.0
2024-04-30,-1.0,0.0,1.0,3.0,9.0,7.0,7.0,9.0,5.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,4.0,4.0,6.0,5.0,4.0,-1.0
2024-04-29,-1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,5.0,5.0,1.0,1.0,0.0,-1.0,-1.0,-1.0
2024-04-28,-1.0,0.0,3.0,4.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,-1.0
2024-04-27,-1.0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-25,-1.0,1.0,1.0,1.0,1.0,7.0,5.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,5.0,4.0,3.0,-1.0
2024-04-24,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,9.0,3.0,0.0,0.0,2.0,3.0,4.0,5.0,2.0,2.0,3.0,1.0,1.0,3.0,5.0,3.0,4.0,4.0,4.0,-1.0
2024-04-23,-1.0,1.0,7.0,8.0,9.0,12.0,11.0,10.0,8.0,3.0,0.0,0.0,6.0,6.0,11.0,11.0,14.0,14.0,14.0,1.0,2.0,1.0,4.0,3.0,4.0,4.0,4.0,-1.0
2024-04-22,-1.0,0.0,0.0,1.0,13.0,12.0,16.0,16.0,12.0,6.0,0.0,0.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,8.0,8.0,9.0,9.0,8.0,-1.0
2024-04-21,-1.0,1.0,2.0,2.0,0.0,9.0,14.0,14.0,9.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,49.0,50.0,37.0,38.0,37.0,35.0,-1.0,-1.0,35.0,-1.0,-1.0
2024-04-20,-1.0,0.0,1.0,10.0,9.0,8.0,17.0,17.0,11.0,12.0,0.0,0.0,9.0,10.0,10.0,12.0,14.0,14.0,15.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,-1.0
2024-04-19,-1.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,4.0,6.0,6.0,5.0,-1.0
2024-04-18,-1.0,1.0,2.0,2.0,4.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0
