date,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hannover_Hbf.in,Hannover_Hbf.out,Göttingen.in,Göttingen.out,Kassel-Wilhelmshöhe.in,Kassel-Wilhelmshöhe.out,Fulda.in,Fulda.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Ingolstadt_Hbf.in,Ingolstadt_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-30,-1.0,10.0,-1.0,4.0,13.0,12.0,11.0,12.0,19.0,20.0,18.0,18.0,15.0,14.0,13.0,9.0,6.0,7.0,9.0,-1.0
2024-05-29,-1.0,0.0,8.0,4.0,1.0,2.0,4.0,5.0,7.0,7.0,9.0,9.0,5.0,4.0,0.0,0.0,0.0,1.0,4.0,-1.0
2024-05-28,-1.0,0.0,7.0,4.0,27.0,2.0,5.0,7.0,7.0,7.0,12.0,13.0,17.0,15.0,14.0,11.0,6.0,6.0,5.0,-1.0
2024-05-27,-1.0,25.0,40.0,37.0,30.0,29.0,58.0,59.0,66.0,92.0,130.0,130.0,126.0,125.0,137.0,142.0,143.0,143.0,140.0,-1.0
2024-05-26,-1.0,22.0,22.0,19.0,7.0,5.0,9.0,10.0,9.0,10.0,8.0,10.0,15.0,14.0,17.0,12.0,9.0,9.0,8.0,-1.0
2024-05-25,-1.0,4.0,0.0,0.0,2.0,10.0,6.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,5.0,-1.0
2024-05-24,-1.0,29.0,0.0,0.0,39.0,39.0,40.0,17.0,19.0,18.0,3.0,6.0,11.0,10.0,11.0,7.0,3.0,3.0,2.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,5.0,5.0,13.0,-1.0
2024-05-22,-1.0,70.0,0.0,0.0,84.0,84.0,81.0,58.0,38.0,43.0,38.0,38.0,34.0,33.0,29.0,25.0,28.0,27.0,27.0,-1.0
2024-05-21,-1.0,20.0,0.0,0.0,27.0,27.0,28.0,11.0,11.0,10.0,5.0,6.0,3.0,2.0,1.0,4.0,0.0,0.0,4.0,-1.0
2024-05-20,-1.0,4.0,0.0,0.0,3.0,3.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,11.0,-1.0
2024-05-19,-1.0,4.0,0.0,0.0,6.0,6.0,5.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,-1.0
2024-05-18,-1.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,-1.0
2024-05-17,-1.0,3.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,10.0,6.0,0.0,0.0,1.0,-1.0
2024-05-16,-1.0,0.0,0.0,0.0,3.0,5.0,3.0,1.0,16.0,17.0,13.0,13.0,10.0,8.0,3.0,8.0,9.0,9.0,5.0,-1.0
2024-05-15,-1.0,1.0,0.0,0.0,1.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,-1.0
2024-05-14,-1.0,1.0,0.0,0.0,3.0,4.0,41.0,19.0,21.0,23.0,27.0,28.0,29.0,31.0,37.0,56.0,54.0,54.0,51.0,-1.0
2024-05-13,-1.0,1.0,0.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-12,-1.0,9.0,0.0,0.0,13.0,13.0,20.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,8.0,4.0,0.0,1.0,0.0,-1.0
2024-05-11,-1.0,1.0,0.0,0.0,6.0,7.0,7.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,19.0,15.0,14.0,14.0,14.0,-1.0
2024-05-09,-1.0,5.0,0.0,0.0,15.0,15.0,44.0,22.0,21.0,22.0,18.0,18.0,14.0,12.0,10.0,6.0,0.0,0.0,1.0,-1.0
2024-05-08,-1.0,2.0,0.0,0.0,3.0,6.0,7.0,5.0,5.0,5.0,20.0,21.0,17.0,15.0,12.0,8.0,5.0,4.0,1.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,7.0,2.0,2.0,8.0,6.0,2.0,2.0,0.0,0.0,0.0,-1.0
2024-05-06,-1.0,11.0,0.0,0.0,19.0,18.0,20.0,1.0,5.0,5.0,7.0,7.0,11.0,9.0,7.0,2.0,4.0,3.0,6.0,-1.0
2024-05-05,-1.0,8.0,0.0,0.0,9.0,9.0,13.0,1.0,5.0,6.0,3.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,-1.0
2024-05-04,-1.0,15.0,0.0,0.0,15.0,14.0,17.0,1.0,6.0,75.0,72.0,72.0,69.0,69.0,66.0,62.0,56.0,56.0,62.0,-1.0
