date,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Limburg_(Lahn)_Süd_(ICE).in,Limburg_(Lahn)_Süd_(ICE).out,Limburg_Süd.in,Limburg_Süd.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Montabaur.in,Montabaur.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-13,7.0,23.0,-1.0,7.0,26.0,25.0,24.0,24.0,28.0,29.0,34.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,33.0,35.0,35.0,32.0,31.0,38.0,37.0,36.0,36.0,33.0,-1.0,0.0,0.0
2024-05-11,7.0,17.0,-1.0,10.0,18.0,18.0,23.0,24.0,25.0,27.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,14.0,13.0,27.0,27.0,13.0,12.0,11.0,11.0,8.0,-1.0,0.0,0.0
2024-05-10,2.0,8.0,-1.0,4.0,5.0,5.0,2.0,2.0,1.0,3.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,25.0,25.0,1.0,3.0,25.0,26.0,25.0,26.0,23.0,-1.0,0.0,0.0
2024-05-09,0.0,1.0,-1.0,0.0,3.0,4.0,1.0,1.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,51.0,51.0,10.0,10.0,53.0,53.0,52.0,53.0,57.0,-1.0,0.0,0.0
2024-05-08,1.0,7.0,-1.0,1.0,6.0,5.0,0.0,0.0,3.0,5.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,13.0,12.0,6.0,5.0,13.0,13.0,17.0,18.0,15.0,-1.0,0.0,0.0
2024-05-07,26.0,27.0,-1.0,9.0,26.0,25.0,24.0,26.0,41.0,46.0,66.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,65.0,70.0,69.0,44.0,46.0,69.0,69.0,102.0,102.0,65.0,-1.0,0.0,0.0
2024-05-06,21.0,23.0,-1.0,22.0,26.0,25.0,23.0,25.0,40.0,43.0,39.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,40.0,41.0,41.0,42.0,43.0,0.0,0.0,50.0,50.0,47.0,-1.0,0.0,0.0
2024-05-05,1.0,11.0,-1.0,1.0,10.0,10.0,5.0,8.0,20.0,29.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,31.0,32.0,25.0,25.0,23.0,23.0,20.0,-1.0,0.0,0.0
2024-05-04,2.0,8.0,-1.0,2.0,6.0,5.0,4.0,11.0,28.0,31.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,43.0,47.0,31.0,32.0,47.0,46.0,46.0,47.0,56.0,-1.0,0.0,0.0
2024-05-03,0.0,3.0,-1.0,0.0,1.0,1.0,0.0,1.0,44.0,46.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,39.0,41.0,40.0,46.0,46.0,40.0,39.0,38.0,38.0,35.0,-1.0,0.0,0.0
