date,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Witten_Hbf.in,Witten_Hbf.out,Letmathe.in,Letmathe.out,Altena(Westf).in,Altena(Westf).out,Werdohl.in,Werdohl.out,Plettenberg.in,Plettenberg.out,Finnentrop.in,Finnentrop.out,Lennestadt-Grevenbrück.in,Lennestadt-Grevenbrück.out,Lennestadt-Altenhundem.in,Lennestadt-Altenhundem.out,Kreuztal.in,Kreuztal.out,Siegen-Weidenau.in,Siegen-Weidenau.out,Siegen.in,Siegen.out
2024-05-30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-29,-1.0,0.0,9.0,8.0,16.0,16.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0,2.0,3.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0
2024-05-28,-1.0,8.0,8.0,6.0,12.0,12.0,13.0,13.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,11.0,11.0,12.0,11.0,12.0,12.0,11.0,-1.0
2024-05-27,-1.0,0.0,3.0,2.0,6.0,6.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,7.0,8.0,11.0,11.0,11.0,-1.0
2024-05-26,-1.0,2.0,1.0,1.0,3.0,8.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,-1.0
2024-05-25,-1.0,1.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,-1.0
2024-05-24,-1.0,0.0,3.0,1.0,4.0,3.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,9.0,8.0,8.0,7.0,7.0,9.0,9.0,12.0,12.0,11.0,-1.0
2024-05-23,-1.0,0.0,9.0,7.0,7.0,7.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,9.0,8.0,0.0,0.0,10.0,9.0,10.0,9.0,8.0,-1.0
2024-05-22,-1.0,1.0,2.0,1.0,4.0,6.0,6.0,5.0,6.0,6.0,6.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,12.0,13.0,14.0,15.0,15.0,14.0,-1.0
2024-05-21,-1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,-1.0
