date,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Karlsruhe_Hbf.in,Karlsruhe_Hbf.out,Baden-Baden.in,Baden-Baden.out,Offenburg.in,Offenburg.out,Freiburg(Breisgau)_Hbf.in,Freiburg(Breisgau)_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0
2024-05-23,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,8.0,8.0,4.0,0.0
2024-05-16,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,13.0,13.0,12.0,0.0
2024-05-09,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0
2024-05-03,0.0,0.0,0.0,0.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,0.0
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,9.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,9.0,9.0,8.0,8.0,4.0,4.0,2.0,0.0
2024-04-11,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,2.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0
