date,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Minden(Westf).in,Minden(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-20,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-19,-1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,-1.0
2024-05-18,-1.0,27.0,27.0,29.0,27.0,28.0,27.0,28.0,29.0,29.0,28.0,27.0,26.0,26.0,9.0,9.0,23.0,23.0,10.0,11.0,33.0,34.0,1.0,1.0,26.0,25.0,28.0,-1.0
2024-05-17,-1.0,9.0,8.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,9.0,22.0,49.0,51.0,5.0,6.0,54.0,54.0,55.0,56.0,54.0,54.0,56.0,56.0,55.0,54.0,56.0,-1.0
2024-05-16,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,17.0,17.0,0.0,1.0,18.0,21.0,1.0,1.0,23.0,21.0,1.0,1.0,1.0,-1.0
2024-05-15,-1.0,0.0,-1.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,5.0,30.0,30.0,19.0,19.0,42.0,36.0,45.0,45.0,40.0,39.0,36.0,35.0,34.0,-1.0
2024-05-13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,1.0,1.0,1.0,6.0,10.0,11.0,12.0,15.0,15.0,35.0,34.0,29.0,30.0,31.0,30.0,62.0,59.0,61.0,-1.0
2024-05-12,-1.0,1.0,1.0,3.0,2.0,7.0,6.0,8.0,6.0,7.0,5.0,5.0,6.0,5.0,4.0,5.0,8.0,8.0,2.0,3.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-05-11,-1.0,0.0,1.0,2.0,2.0,3.0,4.0,7.0,5.0,5.0,4.0,3.0,5.0,5.0,1.0,1.0,3.0,4.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-10,-1.0,5.0,4.0,5.0,4.0,6.0,6.0,7.0,5.0,5.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
