date,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Düsseldorf_Flughafen.in,Düsseldorf_Flughafen.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Hamm(Westf)Hbf.in,Hamm(Westf)Hbf.out,Bielefeld_Hbf.in,Bielefeld_Hbf.out,Minden(Westf).in,Minden(Westf).out,Hannover_Hbf.in,Hannover_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-05,-1.0,6.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,6.0,5.0,6.0,5.0,4.0,5.0,5.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-04,-1.0,10.0,7.0,8.0,7.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,6.0,5.0,4.0,4.0,14.0,14.0,1.0,1.0,14.0,14.0,2.0,4.0,0.0,-1.0,6.0,5.0,1.0,-1.0
2024-05-03,-1.0,4.0,4.0,5.0,5.0,5.0,6.0,8.0,17.0,18.0,22.0,23.0,22.0,21.0,22.0,22.0,15.0,14.0,23.0,23.0,9.0,9.0,24.0,25.0,18.0,17.0,1.0,1.0,13.0,-1.0
2024-05-02,-1.0,8.0,5.0,7.0,6.0,7.0,8.0,8.0,10.0,10.0,9.0,10.0,8.0,7.0,6.0,6.0,25.0,28.0,15.0,15.0,30.0,32.0,138.0,140.0,160.0,160.0,164.0,159.0,143.0,-1.0
2024-04-30,-1.0,4.0,7.0,7.0,7.0,7.0,8.0,6.0,7.0,7.0,6.0,7.0,5.0,6.0,52.0,52.0,75.0,74.0,48.0,49.0,74.0,73.0,50.0,50.0,64.0,65.0,67.0,65.0,50.0,-1.0
2024-04-29,-1.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,15.0,13.0,13.0,13.0,14.0,25.0,24.0,15.0,18.0,24.0,24.0,19.0,19.0,14.0,13.0,17.0,16.0,10.0,-1.0
2024-04-28,-1.0,59.0,57.0,57.0,56.0,56.0,58.0,58.0,58.0,59.0,59.0,59.0,58.0,58.0,59.0,60.0,62.0,63.0,62.0,62.0,6.0,5.0,60.0,60.0,71.0,71.0,71.0,67.0,70.0,-1.0
2024-04-27,-1.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,18.0,17.0,5.0,5.0,20.0,19.0,2.0,3.0,14.0,13.0,17.0,13.0,1.0,-1.0
2024-04-26,-1.0,4.0,2.0,3.0,2.0,15.0,20.0,31.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
2024-04-25,-1.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,7.0,7.0,8.0,7.0,6.0,18.0,21.0,19.0,19.0,11.0,10.0,16.0,15.0,40.0,-1.0
