date,Essen_Hbf.in,Essen_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Köln_Messe/Deutz_Gl.11-12.in,Köln_Messe/Deutz_Gl.11-12.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Aschaffenburg_Hbf.in,Aschaffenburg_Hbf.out,Würzburg_Hbf.in,Würzburg_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-04-21,-1.0,2.0,2.0,4.0,7.0,9.0,8.0,9.0,0.0,0.0,7.0,8.0,5.0,6.0,5.0,6.0,5.0,4.0,1.0,0.0,0.0,-1.0
2024-04-20,-1.0,16.0,16.0,16.0,21.0,22.0,22.0,22.0,0.0,0.0,27.0,29.0,27.0,32.0,48.0,49.0,53.0,52.0,54.0,53.0,48.0,-1.0
2024-04-19,-1.0,1.0,7.0,8.0,10.0,11.0,10.0,11.0,0.0,0.0,8.0,10.0,7.0,11.0,11.0,13.0,10.0,10.0,8.0,7.0,7.0,-1.0
2024-04-18,-1.0,5.0,4.0,4.0,7.0,9.0,8.0,8.0,0.0,0.0,6.0,7.0,3.0,5.0,10.0,10.0,10.0,10.0,5.0,3.0,5.0,-1.0
2024-04-17,-1.0,17.0,17.0,19.0,27.0,27.0,28.0,30.0,0.0,0.0,30.0,31.0,27.0,31.0,31.0,32.0,27.0,26.0,23.0,22.0,17.0,-1.0
2024-04-16,-1.0,1.0,0.0,1.0,4.0,5.0,4.0,5.0,0.0,0.0,8.0,9.0,6.0,13.0,14.0,15.0,10.0,9.0,7.0,6.0,2.0,-1.0
2024-04-15,-1.0,0.0,0.0,0.0,3.0,3.0,5.0,6.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,-1.0
2024-04-14,-1.0,2.0,1.0,2.0,5.0,8.0,9.0,11.0,0.0,0.0,13.0,18.0,16.0,21.0,18.0,19.0,15.0,15.0,13.0,12.0,13.0,-1.0
2024-04-13,-1.0,2.0,1.0,0.0,4.0,4.0,8.0,8.0,0.0,0.0,11.0,13.0,10.0,15.0,16.0,17.0,14.0,13.0,8.0,8.0,3.0,-1.0
2024-04-12,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,-1.0
