date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Weinheim(Bergstr)Hbf.in,Weinheim(Bergstr)Hbf.out,Bensheim.in,Bensheim.out,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-18,-1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,-1.0
2024-05-17,-1.0,7.0,0.0,0.0,3.0,3.0,5.0,6.0,7.0,7.0,7.0,6.0,6.0,-1.0
2024-05-15,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0
2024-05-14,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-13,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-11,-1.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-1.0
2024-05-10,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,4.0,4.0,2.0,2.0,8.0,-1.0
2024-05-09,-1.0,6.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,-1.0
2024-05-07,-1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,-1.0
2024-05-06,-1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,4.0,2.0,2.0,7.0,-1.0
2024-05-05,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-04,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-1.0
2024-05-03,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,-1.0
2024-05-02,-1.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,8.0,6.0,6.0,6.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,7.0,7.0,-1.0
2024-04-30,-1.0,3.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,31.0,29.0,29.0,32.0,-1.0
2024-04-29,-1.0,17.0,0.0,0.0,0.0,0.0,-1.0,0.0,12.0,13.0,11.0,11.0,14.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0
2024-04-27,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-1.0
2024-04-20,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-1.0
2024-04-19,-1.0,4.0,0.0,0.0,0.0,0.0,9.0,8.0,8.0,8.0,7.0,6.0,6.0,-1.0
2024-04-17,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0
2024-04-16,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,-1.0,5.0,-1.0
2024-04-15,-1.0,5.0,0.0,0.0,0.0,0.0,11.0,11.0,23.0,23.0,21.0,20.0,22.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-13,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-12,-1.0,3.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,7.0,5.0,4.0,8.0,-1.0
2024-04-11,-1.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,6.0,3.0,3.0,3.0,-1.0
2024-04-10,-1.0,3.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0
2024-04-09,-1.0,15.0,0.0,0.0,0.0,0.0,6.0,5.0,8.0,8.0,7.0,6.0,5.0,-1.0
2024-04-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,-1.0
2024-04-07,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,4.0,-1.0
2024-04-06,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,5.0,4.0,10.0,-1.0
2024-04-05,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0
