date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Böblingen.in,Böblingen.out,Herrenberg.in,Herrenberg.out,Gäufelden.in,Gäufelden.out,Bondorf(b_Herrenberg).in,Bondorf(b_Herrenberg).out,Horb.in,Horb.out,Berlin-Spandau.in,Berlin-Spandau.out,Oberndorf(Neckar).in,Oberndorf(Neckar).out,Sulz(Neckar).in,Sulz(Neckar).out,Rottweil.in,Rottweil.out
2024-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0
2024-05-16,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-15,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-14,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-13,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-12,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-11,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-10,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-09,-1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,18.0,18.0,17.0,17.0,0.0,0.0,19.0,17.0,17.0,17.0,17.0,-1.0
2024-05-08,-1.0,4.0,-1.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,0.0,3.0,0.0,3.0,3.0,9.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,1.0,2.0,-1.0
2024-05-06,-1.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,-1.0
2024-05-05,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-04,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-03,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-05-02,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,-1.0
2024-05-01,-1.0,3.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,2.0,3.0,3.0,3.0,-1.0
2024-04-30,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,-1.0
2024-04-29,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0
