date,Ostseebad_Binz.in,Ostseebad_Binz.out,Bergen_auf_Rügen.in,Bergen_auf_Rügen.out,Stralsund_Hbf.in,Stralsund_Hbf.out,Ribnitz-Damgarten_West.in,Ribnitz-Damgarten_West.out,Greifswald.in,Greifswald.out,Züssow.in,Züssow.out,Anklam.in,Anklam.out,Pasewalk.in,Pasewalk.out,Prenzlau.in,Prenzlau.out,Neustrelitz_Hbf.in,Neustrelitz_Hbf.out,Angermünde.in,Angermünde.out,Eberswalde_Hbf.in,Eberswalde_Hbf.out,Bernau(b_Berlin).in,Bernau(b_Berlin).out,Berlin_Gesundbrunnen.in,Berlin_Gesundbrunnen.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Lutherstadt_Wittenberg_Hbf.in,Lutherstadt_Wittenberg_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Erlangen.in,Erlangen.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,München_Hbf.in,München_Hbf.out
2024-05-15,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,7.0,7.0,7.0,0.0,0.0,6.0,6.0,5.0,4.0,4.0,0.0,3.0,5.0,4.0,50.0,50.0,51.0,52.0,53.0,49.0,50.0,47.0,47.0,50.0,51.0,53.0,61.0,65.0,-1.0
2024-05-13,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,10.0,13.0,13.0,15.0,16.0,23.0,29.0,27.0,27.0,23.0,23.0,28.0,29.0,25.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,6.0,6.0,6.0,6.0,5.0,6.0,10.0,11.0,14.0,12.0,11.0,12.0,57.0,58.0,65.0,68.0,59.0,-1.0
2024-05-11,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,4.0,3.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,5.0,4.0,8.0,8.0,9.0,9.0,11.0,11.0,10.0,11.0,11.0,7.0,6.0,5.0,4.0,1.0,-1.0
2024-05-09,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,10.0,22.0,7.0,7.0,6.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,6.0,39.0,-1.0
2024-05-08,-1.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,5.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,22.0,21.0,14.0,0.0,0.0,19.0,21.0,17.0,18.0,23.0,24.0,28.0,28.0,36.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,17.0,-1.0
2024-05-06,-1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,2.0,4.0,-1.0,-1.0,86.0,88.0,93.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,4.0,6.0,6.0,0.0,0.0,6.0,6.0,5.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,7.0,8.0,10.0,10.0,7.0,-1.0
2024-05-04,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,10.0,55.0,54.0,45.0,0.0,0.0,10.0,8.0,5.0,4.0,0.0,2.0,95.0,94.0,-1.0,-1.0
