date,München_Hbf.in,München_Hbf.out,München-Pasing.in,München-Pasing.out,Augsburg_Hbf.in,Augsburg_Hbf.out,Ulm_Hbf.in,Ulm_Hbf.out,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln_Hbf.in,Köln_Hbf.out,Düsseldorf_Hbf.in,Düsseldorf_Hbf.out,Wuppertal_Hbf.in,Wuppertal_Hbf.out,Duisburg_Hbf.in,Duisburg_Hbf.out,Hagen_Hbf.in,Hagen_Hbf.out,Oberhausen_Hbf.in,Oberhausen_Hbf.out,Essen_Hbf.in,Essen_Hbf.out,Bochum_Hbf.in,Bochum_Hbf.out,Solingen_Hbf.in,Solingen_Hbf.out,Dortmund_Hbf.in,Dortmund_Hbf.out,Münster(Westf)Hbf.in,Münster(Westf)Hbf.out,Osnabrück_Hbf.in,Osnabrück_Hbf.out,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Emden_Außenhafen.in,Emden_Außenhafen.out,Emden_Hbf.in,Emden_Hbf.out,Leer(Ostfriesl).in,Leer(Ostfriesl).out,Papenburg(Ems).in,Papenburg(Ems).out,Meppen.in,Meppen.out,Lingen(Ems).in,Lingen(Ems).out,Rheine.in,Rheine.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-30,-1.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,13.0,13.0,13.0,13.0,10.0,11.0,19.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,32.0,31.0,30.0,-1.0
2024-05-29,-1.0,4.0,0.0,0.0,0.0,0.0,14.0,14.0,12.0,10.0,8.0,4.0,5.0,7.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,20.0,21.0,26.0,24.0,22.0,22.0,27.0,27.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,31.0,33.0,32.0,30.0,-1.0
2024-05-28,-1.0,13.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,9.0,8.0,4.0,7.0,8.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,10.0,10.0,9.0,8.0,7.0,6.0,10.0,11.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,16.0,15.0,14.0,-1.0
2024-05-27,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,18.0,20.0,0.0,0.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,28.0,32.0,34.0,34.0,33.0,39.0,40.0,33.0,34.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,33.0,32.0,30.0,-1.0
2024-05-26,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,11.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,5.0,5.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,-1.0
2024-05-25,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0,9.0,10.0,9.0,11.0,12.0,6.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,11.0,11.0,9.0,-1.0
2024-05-23,-1.0,25.0,22.0,23.0,20.0,22.0,20.0,19.0,1.0,2.0,2.0,1.0,3.0,4.0,0.0,0.0,4.0,9.0,12.0,12.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,14.0,15.0,15.0,16.0,0.0,0.0,15.0,17.0,20.0,21.0,18.0,19.0,15.0,16.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,24.0,25.0,24.0,-1.0
2024-05-22,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,7.0,0.0,0.0,5.0,4.0,11.0,11.0,7.0,8.0,11.0,12.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,18.0,19.0,17.0,-1.0
2024-05-21,-1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,7.0,0.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,10.0,10.0,37.0,37.0,42.0,44.0,0.0,0.0,47.0,47.0,47.0,47.0,45.0,46.0,39.0,39.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,42.0,42.0,40.0,-1.0
2024-05-20,-1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,13.0,13.0,11.0,-1.0
2024-05-19,-1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,8.0,45.0,49.0,0.0,0.0,43.0,43.0,48.0,49.0,0.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,49.0,49.0,51.0,52.0,0.0,0.0,52.0,57.0,62.0,62.0,68.0,68.0,65.0,70.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,83.0,83.0,81.0,-1.0
2024-05-18,-1.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,3.0,5.0,4.0,4.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40.0,0.0,0.0,46.0,45.0,48.0,48.0,45.0,47.0,39.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,41.0,44.0,44.0,42.0,-1.0
2024-05-16,-1.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,26.0,27.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,42.0,42.0,40.0,-1.0
2024-05-12,-1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,7.0,100.0,102.0,98.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,101.0,101.0,100.0,99.0,-1.0
2024-05-11,-1.0,2.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,-1.0
2024-05-10,-1.0,0.0,-1.0,0.0,0.0,5.0,2.0,2.0,0.0,7.0,5.0,3.0,2.0,4.0,0.0,0.0,3.0,1.0,5.0,6.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,6.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,-1.0
2024-05-09,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,5.0,5.0,4.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,6.0,5.0,5.0,0.0,0.0,4.0,3.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0
2024-05-08,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,6.0,7.0,0.0,0.0,4.0,2.0,5.0,5.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,6.0,6.0,5.0,5.0,0.0,0.0,4.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,2.0,-1.0
2024-05-07,-1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,8.0,0.0,0.0,3.0,2.0,7.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,7.0,0.0,0.0,6.0,5.0,4.0,3.0,8.0,10.0,6.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,17.0,16.0,15.0,-1.0
2024-05-05,-1.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,10.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,49.0,48.0,52.0,-1.0
2024-05-04,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,5.0,4.0,5.0,6.0,3.0,4.0,-1.0,-1.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,13.0,13.0,12.0,-1.0
2024-05-03,-1.0,0.0,6.0,7.0,6.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,8.0,0.0,0.0,33.0,32.0,35.0,35.0,0.0,0.0,40.0,41.0,0.0,0.0,0.0,0.0,46.0,46.0,50.0,51.0,0.0,0.0,57.0,55.0,61.0,60.0,61.0,68.0,64.0,65.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,-1.0,-1.0,98.0,-1.0,-1.0
2024-05-02,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,5.0,10.0,12.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,14.0,14.0,13.0,15.0,0.0,0.0,14.0,14.0,24.0,24.0,21.0,23.0,22.0,23.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,26.0,25.0,24.0,-1.0
