date,Wiesbaden_Hbf.in,Wiesbaden_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Frankfurt(M)_Flughafen_Fernbf.in,Frankfurt(M)_Flughafen_Fernbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out,Fulda.in,Fulda.out,Bad_Hersfeld.in,Bad_Hersfeld.out,Eisenach.in,Eisenach.out,Gotha.in,Gotha.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out
2024-04-21,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,13.0,2.0,2.0,1.0,1.0,2.0,5.0,5.0,6.0,5.0,5.0,4.0,-1.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,6.0,6.0,6.0,7.0,6.0,6.0,4.0,-1.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,4.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,5.0,-1.0,0.0,0.0
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,10.0,10.0,9.0,9.0,11.0,11.0,26.0,26.0,22.0,-1.0,0.0,0.0
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,42.0,41.0,42.0,50.0,50.0,49.0,49.0,47.0,47.0,43.0,-1.0,0.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,7.0,33.0,34.0,32.0,31.0,31.0,31.0,31.0,32.0,29.0,26.0,20.0,-1.0
2024-04-12,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,49.0,50.0,48.0,47.0,47.0,47.0,45.0,45.0,42.0,42.0,35.0,-1.0
2024-04-11,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,15.0,17.0,16.0,20.0,20.0,18.0,18.0,16.0,16.0,15.0,-1.0,24.0,-1.0
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,10.0,10.0,10.0,9.0,9.0,10.0,8.0,8.0,6.0,-1.0,0.0,0.0
2024-04-09,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,7.0,7.0,16.0,16.0,16.0,16.0,14.0,14.0,12.0,-1.0,0.0,0.0
2024-04-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,12.0,12.0,11.0,11.0,11.0,10.0,11.0,8.0,8.0,0.0,-1.0
2024-04-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,52.0,52.0,52.0,51.0,49.0,50.0,48.0,48.0,46.0,46.0,35.0,-1.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,23.0,-1.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,4.0,6.0,7.0,6.0,9.0,10.0,9.0,8.0,5.0,4.0,10.0,-1.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,7.0,6.0,9.0,8.0,7.0,8.0,6.0,8.0,5.0,-1.0,0.0,0.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,-1.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,15.0,-1.0
